bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,2.0,0.0,2.0,1.0,Underweight,Severely obese
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,6,1,1,0.9245283018867925,0.9245283018867925,1.0,1.0,-1.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,11,0,1,0.4472135954999579,1.0,0.4472135954999579,19.0,0.0,21.0,1.0,Underweight,Normal
6,0,6,1,1,0.2923615195250011,0.6537402316630345,0.4472135954999579,1.0,0.0,-2.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,6,1,1,0.22423104956189274,0.9245283018867925,0.24253562503633297,18.0,0.0,14.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,14,0,1,0.21344285239770722,0.9545454545454546,0.223606797749979,11.0,0.0,15.0,2.0,Underweight,Severely obese
6,0,10,1,1,0.14122534594735514,0.6698906348083082,0.21081851067789195,5.0,1.0,-1.0,-2.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,7,1,1,0.13186614139074146,0.48,0.27472112789737807,14.0,-1.0,21.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
5,0,14,0,1,0.1183967921078808,0.6749655638598863,0.17541160386140586,3.0,1.0,11.0,0.0,Severely obese,Underweight
7,0,10,1,1,0.08577070677712283,0.9473684210526316,0.09053574604251853,0.0,1.0,-1.0,-10.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,6,1,1,0.0826923252056526,0.09245283018867925,0.8944271909999159,0.0,-10.0,5.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,1,10,1,1,0.07265984104869826,0.09473684210526316,0.7669649888473704,0.0,1.0,-13.0,0.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.0550646709839144,0.6698906348083082,0.08219949365267865,-10.0,-4.0,0.0,10.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,14,0,1,0.04969165151001102,0.2315112784437724,0.2146403054055949,27.0,15.0,15.0,0.0,Severely obese,Underweight
8,1,10,1,1,0.03780411558004526,0.06698906348083082,0.5643326479831003,-22.0,-11.0,0.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
