bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
9,0,33,1,1,0.18569533817705186,0.7071067811865476,0.2626128657194451,-2.0,1.0,-1.0,1.0,3.0,-5.0,"ArgumentError(""Day: -2 out of range (1:31)"")",0005-03-01
8,0,36,1,1,0.1643989873053573,0.98,0.16775406867893602,0.0,17.0,0.0,1.0,11.0,0.0,"ArgumentError(""Month: 17 out of range (1:12)"")",0000-11-01
9,0,1,2,1,0.15701857325533192,0.27196414661021057,0.5773502691896257,-3.0,2.0,-1.0,-4.0,0.0,0.0,"ArgumentError(""Day: -3 out of range (1:28)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
8,0,34,1,1,0.15249857033260467,1.0,0.15249857033260467,1.0,3.0,-3.0,-4.0,0.0,0.0,0003-03-01,"ArgumentError(""Month: 0 out of range (1:12)"")"
8,0,0,2,1,0.0888888888888889,0.1767766952966369,0.5028314888437672,0.0,19.0,0.0,0.0,18.0,0.0,"ArgumentError(""Month: 19 out of range (1:12)"")","ArgumentError(""Month: 18 out of range (1:12)"")"
10,0,1,2,1,0.08823682071944683,0.3846153846153846,0.22941573387056177,-4.0,0.0,-4.0,-1.0,1.0,-1.0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
9,0,36,1,1,0.07856742013183861,0.6932419423397524,0.11333333333333333,18.0,5.0,1.0,27.0,14.0,1.0,0001-05-18,"ArgumentError(""Month: 14 out of range (1:12)"")"
12,0,35,1,1,0.06624876258818489,1.0,0.06624876258818489,14.0,6.0,-31.0,3.0,-1.0,-38.0,0031-06-14,"ArgumentError(""Month: -1 out of range (1:12)"")"
9,0,0,2,1,0.05833220810869018,0.2583659392797001,0.22577359953604909,0.0,18.0,-1.0,0.0,20.0,0.0,"ArgumentError(""Month: 18 out of range (1:12)"")","ArgumentError(""Month: 20 out of range (1:12)"")"
13,0,35,1,1,0.05688812286133916,0.6935085738560369,0.08202944419999106,14.0,5.0,-32.0,-1.0,-1.0,-38.0,0032-05-14,"ArgumentError(""Month: -1 out of range (1:12)"")"
10,0,36,1,1,0.033557802760701215,0.9803921568627451,0.03422895881591524,3.0,-19.0,20.0,1.0,1.0,-2.0,"ArgumentError(""Month: -19 out of range (1:12)"")",0002-01-01
9,0,2,2,1,0.03046032214928538,0.2801743849984434,0.10871915414199844,-8.0,0.0,-7.0,0.0,1.0,-1.0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Day: 0 out of range (1:31)"")"
11,0,2,2,1,0.025683543763387648,0.2801743849984434,0.09166984970282113,1.0,13.0,-13.0,-1.0,10.0,2.0,"ArgumentError(""Month: 13 out of range (1:12)"")","ArgumentError(""Day: -1 out of range (1:31)"")"
11,0,36,1,1,0.02022369785697524,0.6932419423397524,0.029172640346483484,21.0,5.0,76.0,56.0,13.0,42.0,0076-05-21,"ArgumentError(""Month: 13 out of range (1:12)"")"
12,0,1,2,1,0.017443402397019785,0.40740740740740744,0.0428156240654122,-30.0,-3.0,-8.0,-46.0,1.0,6.0,"ArgumentError(""Month: -3 out of range (1:12)"")","ArgumentError(""Day: -46 out of range (1:31)"")"
10,0,2,2,1,0.012130011578655819,0.39622641509433965,0.030613838746131352,3.0,21.0,-23.0,-6.0,2.0,2.0,"ArgumentError(""Month: 21 out of range (1:12)"")","ArgumentError(""Day: -6 out of range (1:28)"")"
12,0,0,2,1,0.011809010353371984,0.39622641509433965,0.029803692796605483,10.0,74.0,-1.0,11.0,63.0,-1.0,"ArgumentError(""Month: 74 out of range (1:12)"")","ArgumentError(""Month: 63 out of range (1:12)"")"
14,0,0,2,1,0.010029883421085777,0.1504482513162867,0.06666666666666665,-1.0,-17.0,27.0,-1.0,-26.0,36.0,"ArgumentError(""Month: -17 out of range (1:12)"")","ArgumentError(""Month: -26 out of range (1:12)"")"
15,0,0,2,1,0.0097568231101947,0.14731391274719743,0.0662315115269404,-4.0,-6.0,-19.0,-13.0,-5.0,-18.0,"ArgumentError(""Month: -6 out of range (1:12)"")","ArgumentError(""Month: -5 out of range (1:12)"")"
8,0,1,2,1,0.008953588489170897,0.3846153846153846,0.023279330071844333,9.0,-1.0,4.0,21.0,0.0,1.0,"ArgumentError(""Month: -1 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
