bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
6,0,11,0,0,1.0,1.0,1.0,32.0,2.0,32.0,1.0,Normal,Underweight
8,0,11,0,0,1.0,1.0,1.0,95.0,17.0,96.0,17.0,Normal,Underweight
6,0,13,0,0,1.0,1.0,1.0,26.0,1.0,26.0,2.0,Underweight,Obese
6,0,16,0,0,1.0,1.0,1.0,32.0,3.0,32.0,2.0,Obese,Normal
6,0,15,0,0,1.0,1.0,1.0,37.0,3.0,36.0,3.0,Normal,Overweight
10,0,15,0,0,1.0,1.0,1.0,103.0,25.0,103.0,24.0,Overweight,Normal
10,0,18,0,0,1.0,1.0,1.0,104.0,26.0,104.0,27.0,Overweight,Obese
8,0,15,0,0,1.0,1.0,1.0,92.0,19.0,92.0,20.0,Normal,Overweight
8,0,18,0,0,1.0,1.0,1.0,91.0,21.0,92.0,21.0,Obese,Overweight
10,0,11,0,0,1.0,1.0,1.0,104.0,20.0,104.0,19.0,Normal,Underweight
6,0,18,0,0,1.0,1.0,1.0,53.0,8.0,53.0,7.0,Obese,Overweight
14,0,15,0,0,1.0,1.0,1.0,799.0,1462.0,798.0,1462.0,Normal,Overweight
14,0,18,0,0,1.0,1.0,1.0,758.0,1437.0,759.0,1437.0,Obese,Overweight
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,1.0,0.0,0.0,0.0,Underweight,Severely obese
6,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,15.0,1.0,15.0,0.0,Severely obese,Underweight
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,11.0,-1.0,11.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,185.0,-1.0,185.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,4,10,1,1,0.9473684210526316,0.9473684210526316,1.0,-1.0,34568.0,0.0,34568.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
