bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,0B,1B
3,0,1,0,0,1.0,1.0,1.0,0.0,-1.0,0B,-1B
4,0,0,0,0,1.0,1.0,1.0,-2.0,-1.0,-2B,-1B
6,0,0,0,0,1.0,1.0,1.0,-29.0,-30.0,-29B,-30B
5,0,1,0,0,1.0,1.0,1.0,-10.0,-9.0,-10B,-9B
7,0,1,0,0,1.0,1.0,1.0,-99.0,-100.0,-99B,-100B
9,0,1,0,0,1.0,1.0,1.0,-1000.0,-999.0,-1000B,-999B
7,0,2,0,0,1.0,1.0,1.0,1000.0,999.0,1.0 kB,999B
11,0,1,0,0,1.0,1.0,1.0,-9999.0,-10000.0,-9999B,-10000B
10,0,0,0,1,0.75,1.0,0.75,-1289.0,-1290.0,-1289B,-1290B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-124.0,-125.0,-124B,-125B
12,0,0,0,1,0.5,1.0,0.5,-10126.0,-10125.0,-10126B,-10125B
14,0,0,0,1,0.4444444444444444,0.8888888888888888,0.5,-215477.0,-215478.0,-215477B,-215478B
4,2,2,0,1,0.09090909090909091,0.09090909090909091,1.0,1.0,-10.0,1B,-10B
6,2,2,0,1,0.01098901098901099,0.01098901098901099,1.0,-9.0,-100.0,-9B,-100B
5,4,3,0,1,0.009900990099009901,0.009900990099009901,1.0,-100.0,1.0,-100B,1B
8,2,2,0,1,0.0010384215991692627,0.0011098779134295228,0.9356178608515057,-74.0,-1037.0,-74B,-1037B
6,2,3,0,1,0.001026694045174538,0.0011098779134295228,0.9250513347022588,38.0,1012.0,38B,1.0 kB
7,4,3,0,1,0.001004016064257028,0.0010090817356205853,0.9949799196787148,-5.0,-1001.0,-5B,-1001B
5,4,4,0,1,0.0010030090270812437,0.0010090817356205853,0.9939819458375125,3.0,1000.0,3B,1.0 kB
6,8,4,0,1,0.000999000999000999,0.000999000999000999,1.0,-1001.0,0.0,-1001B,0B
8,0,1,0,1,0.0008116883116883117,0.7777777777777778,0.0010435992578849721,-138.0,1094.0,-138B,1.1 kB
9,0,0,0,1,0.0004035512510088781,0.00980392156862745,0.04116222760290557,1463.0,-1015.0,1.5 kB,-1015B
8,2,3,0,1,0.00010813148788927336,0.00011108642523883582,0.9733996539792388,10105.0,857.0,10.1 kB,857B
10,2,2,0,1,0.00010344470880314473,0.000111000111000111,0.9319333816075308,-367.0,-10034.0,-367B,-10034B
5,4,5,0,1,0.00010049241282283188,0.00010058338362502515,0.9990955682845946,9951.0,0.0,10.0 kB,0B
