bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
12,0,9,0,0,1.0,-77.0,-22.0,-76.0,-22.0,out,in,1.0,1.0
10,0,9,0,0,1.0,80.0,-12.0,79.0,-12.0,out,in,1.0,1.0
8,0,9,0,0,1.0,13.0,79.0,13.0,78.0,out,in,1.0,1.0
6,0,9,0,0,1.0,80.0,0.0,80.0,1.0,in,out,1.0,1.0
7,0,9,0,0,1.0,80.0,-1.0,80.0,0.0,out,in,1.0,1.0
8,1,9,0,0,1.0,1.0,-79.0,1.0,-80.0,in,out,1.0,1.0
9,0,9,0,0,1.0,0.0,-80.0,-1.0,-80.0,in,out,1.0,1.0
5,0,5,1,1,0.9811320754716981,-1.0,0.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.9811320754716981,1.0
4,0,5,1,1,0.9811320754716981,1.0,0.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.9811320754716981,1.0
11,0,9,0,1,0.7071067811865476,-9.0,-79.0,-10.0,-80.0,in,out,0.7071067811865476,1.0
6,0,5,1,1,0.6937651438056692,0.0,0.0,-1.0,-1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.6937651438056692,1.0
6,1,5,1,1,0.09811320754716982,0.0,0.0,-10.0,0.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.09811320754716982,1.0
7,0,5,1,1,0.09762629036022535,-1.0,-10.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.09762629036022535,1.0
10,1,9,0,1,0.09578262852211514,-10.0,-83.0,0.0,-80.0,out,in,0.1,0.9578262852211513
8,1,5,1,1,0.0570271435347038,-10.0,-14.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.06937651438056693,0.8219949365267865
9,2,9,0,1,0.04343722427630694,0.0,-101.0,1.0,-78.0,out,in,0.05,0.8687444855261387
13,0,9,0,1,0.04163054471218133,-19.0,-77.0,-18.0,-101.0,in,out,0.047619047619047616,0.8742414389558081
11,1,9,0,1,0.035990787537434725,-13.0,-102.0,1.0,-78.0,out,in,0.04218245406095978,0.8532170149565694
5,0,9,0,1,0.013867504905630728,0.0,9.0,4.0,81.0,in,out,0.014084507042253521,0.9845928482997817
6,1,9,0,1,0.012322225062419364,0.0,-81.0,5.0,0.0,out,in,0.0125,0.9857780049935491
6,1,6,1,1,0.012116132017194033,0.0,0.0,1.0,-81.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.9876562141341951
5,0,6,1,1,0.012116132017194033,1.0,81.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.012267560152816277,0.9876562141341951
14,0,9,0,1,0.012016835362522193,-106.0,-101.0,-61.0,-31.0,out,in,0.015809412247806517,0.7601063957446915
6,0,6,1,1,0.011750267355611445,44.0,71.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.012267560152816277,0.9578324629542512
8,1,6,1,1,0.010966444668877012,0.0,0.0,-21.0,-87.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.8939385283029921
8,2,9,0,1,0.009975589671416268,-100.0,6.0,0.0,-1.0,out,in,0.01098901098901099,0.9077786600988803
7,2,9,0,1,0.009593677930575894,8.0,-104.0,1.0,0.0,out,in,0.01,0.9593677930575895
7,0,6,1,1,0.0095356900334934,0.0,0.0,55.0,-87.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.7773094172523198
9,1,9,0,1,0.00952942943868137,0.0,-1.0,-104.0,13.0,in,out,0.010988347541611645,0.8672304368417985
