bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,0.0,0.0,1.0,0.0,Severely obese,Underweight
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,6,1,1,0.9245283018867925,0.9245283018867925,1.0,1.0,0.0,1.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
5,0,14,0,1,0.6749655638598863,0.6749655638598863,1.0,9.0,1.0,10.0,0.0,Severely obese,Underweight
6,0,10,1,1,0.6698906348083082,0.6698906348083082,1.0,-1.0,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,6,1,1,0.6537402316630345,0.9245283018867925,0.7071067811865476,78.0,0.0,77.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,6,1,1,0.41346162602826303,0.6537402316630345,0.6324555320336759,-1.0,-1.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,14,0,1,0.33748278192994313,0.9545454545454546,0.35355339059327373,14.0,2.0,12.0,0.0,Severely obese,Underweight
9,0,6,1,1,0.3081761006289308,0.9245283018867925,0.3333333333333333,114.0,1.0,114.0,-2.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.2995841993843728,0.9473684210526316,0.31622776601683794,12.0,1.0,11.0,-2.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,11,0,1,0.2,1.0,0.2,49.0,0.0,49.0,5.0,Underweight,Normal
6,0,17,0,1,0.11704114719613057,1.0,0.11704114719613057,21.0,1.0,13.0,4.0,Normal,Severely obese
6,0,20,0,1,0.09745586289152093,0.7857142857142857,0.12403473458920845,11.0,2.0,19.0,1.0,Severely obese,Obese
7,0,9,1,1,0.09609690621771018,0.49,0.19611613513818404,29.0,-1.0,19.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
6,1,10,1,1,0.09473684210526316,0.09473684210526316,1.0,0.0,-10.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
