bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
76,0,6,1,1,1.3157128799202505e-16,6167320100931335725,-774140102891035588,6173292417143450981,-778840971344262563,"DomainError(-1.4460596385637699e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0,1.3157128799202505e-16
78,0,6,1,1,1.2398245074890105e-17,7562177477690241038,-1504844486571080268,7586304701331336885,-1427881116182855612,"DomainError(-6.618530449791793e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0,1.2398245074890105e-17
80,0,6,1,1,6.3326558426297e-18,-8184111560906714319,-5580448870660693012,-8115842681933641960,-5722840733970691286,"DomainError(-1.0020730916676442e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.0,6.3326558426297e-18
75,0,6,1,1,5.908306759487964e-18,7113208595103247511,-116672431912914142,6955719292687954937,-54674243830465814,out,"DomainError(-3.032937778329025e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.386880703122415e-17,0.24753255375348132
78,0,0,2,1,5.526649888709006e-18,-9112547098829299941,2175411908883629723,-9159511603881536793,2157746392753250020,"DomainError(-8.335665277984231e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-6.14649042834748e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.31707317073170727,1.7430203495159176e-17
74,0,6,1,1,3.974663734698715e-18,444050231655848303,6046682555825686446,599125753589988664,6244801023919875111,out,"DomainError(-7.634205584677651e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.0,3.974663734698715e-18
77,0,6,1,1,3.28033628019332e-18,-856016705880881280,8502765412485143766,-1149000377948677770,8418550591714868261,out,"DomainError(-4.1345534244566057e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.499236235041987e-17,0.13125354995256025
73,0,6,1,1,3.157300810372988e-18,36476079128189356,4224788430244153815,164029611832885893,4514694629809529679,out,"DomainError(-6.546287394547267e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",1.874908103283848e-17,0.16839762998746796
76,0,0,2,1,2.903530339443646e-18,2270764239332051563,1038800051971403072,2349049803014696194,1084165548745101215,"DomainError(-4.779035985252706e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-5.844577593263081e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",0.30578512396694213,9.495328947910302e-18
79,0,6,1,1,2.4276470235762135e-18,-1096705804678332743,-2509660640492010465,-937125871772509287,-2129906027597419156,"DomainError(-2.410074742794806e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.878030713074318e-17,0.12926556560953037
