bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
76,0,6,1,1,2.233590967745812e-16,1.0,2.233590967745812e-16,2338725712574344250,6989707503456865455,2335391169727322488,6992695012090280334,out,"DomainError(-4.850772394239315e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
78,0,6,1,1,1.9544916994876945e-16,1.0,1.9544916994876945e-16,7820054035461697285,-4785985994514143823,7824855206139893953,-4784217800087455452,"DomainError(-3.814210570246457e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
76,1,6,1,1,1.5670102785456253e-16,1.0,1.5670102785456253e-16,701186877921915882,-5968628131439319639,707165049399289153,-5970861070588965974,"DomainError(-3.3603531879021373e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
80,0,6,1,1,5.3637130948042873e-17,1.0,5.3637130948042873e-17,-7060837574419772073,-3697188232804137058,-7077959602992985289,-3704565729420207315,"DomainError(-4.87105016704993e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
74,0,6,1,1,4.64828658611397e-17,1.0,4.64828658611397e-17,902326925536205913,6452948257712330939,881011855574498853,6455862021472687324,"DomainError(-1.6559802875843256e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
72,1,6,1,1,3.5520158428479854e-17,1.0,3.5520158428479854e-17,8837093306816157230,64766427590483936,8818711074586279362,86089806786863802,"DomainError(-8.062239085055249e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
73,4,6,1,1,2.189022337507028e-17,2.189022337507028e-17,1.0,-2227425114642600,-2177682228813866520,8841246141755710,-2133360960972503590,"DomainError(-7.417352152972614e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
73,0,6,1,1,1.3578964178734841e-17,1.874908103283848e-17,0.7242469193530965,-37687774222280014,1892791547977282593,29758914852018463,1863223276687269268,"DomainError(-2.0538619031667302e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
78,0,0,2,1,1.180910952945227e-17,0.31707317073170727,3.7244114669811015e-17,-2014056312915391180,-137719202412392121,-2033880196120094885,-139231490539199959,"DomainError(-3.3748523524354324e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-3.6322138759502633e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,0,6,1,1,1.1523270311250084e-17,2.386880703122415e-17,0.48277529313366335,-721173674597765235,-100874165739312482,-766285178343290743,-26739960943955091,out,"DomainError(-2.2155301751435126e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,2,6,1,1,8.013409598551502e-18,1.5918017552200018e-17,0.503417562662756,-6850706850035599787,-67618934096870045,-6756840053335057000,14611076490844118,"DomainError(-1.3808226645323948e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
74,3,6,1,1,7.63829313277115e-18,1.0,7.63829313277115e-18,-3324337648387338063,2336858263019688,-3200466369458268068,-40039664801767279,"DomainError(-5.055126291691239e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
76,0,0,2,1,7.40807839322213e-18,0.30578512396694213,2.4226418529185888e-17,5963287703580461029,4805513952431615039,5945988710934561694,4771959979631771965,"DomainError(-5.215702944929445e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.433481912017904e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
80,0,0,2,1,7.234133388927099e-18,0.31707317073170727,2.2815343765077776e-17,-8631124632514456077,-4533553543773131542,-8606262828752328818,-4567309330685555946,"DomainError(-1.6486773437208717e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.1933748991512105e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
74,0,0,2,1,7.10230877051164e-18,0.30000000000000004,2.3674362568372132e-17,155302650201843779,8616467501596357531,164953775079071122,8574052694600354998,"DomainError(-1.9012707374063264e16, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-2.9178430022135337e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
79,0,6,1,1,6.774822875258106e-18,1.878030713074318e-17,0.3607407923679686,-7261610398240664838,-1043023121048423153,-7341230305654986427,-918733116378586239,"DomainError(-6.41443496742012e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
