bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1B,0B
3,0,1,0,0,1.0,1.0,1.0,0.0,-1.0,0B,-1B
4,0,0,0,0,1.0,1.0,1.0,-1.0,-2.0,-1B,-2B
6,0,0,0,0,1.0,1.0,1.0,-29.0,-30.0,-29B,-30B
5,0,1,0,0,1.0,1.0,1.0,-10.0,-9.0,-10B,-9B
7,0,1,0,0,1.0,1.0,1.0,-100.0,-99.0,-100B,-99B
9,0,1,0,0,1.0,1.0,1.0,-1000.0,-999.0,-1000B,-999B
11,0,1,0,0,1.0,1.0,1.0,-10000.0,-9999.0,-10000B,-9999B
12,0,2,0,0,1.0,1.0,1.0,999950.0,999949.0,1.0 MB,999.9 kB
15,0,1,0,0,1.0,1.0,1.0,-1.0e6,-999999.0,-1000000B,-999999B
18,0,2,0,0,1.0,1.0,1.0,9.9995e8,9.99949999e8,1.0 GB,999.9 MB
17,0,1,0,0,1.0,1.0,1.0,-1.0e7,-9.999999e6,-10000000B,-9999999B
13,0,1,0,0,1.0,1.0,1.0,-100000.0,-99999.0,-100000B,-99999B
21,0,1,0,0,1.0,1.0,1.0,-9.99999999e8,-1.0e9,-999999999B,-1000000000B
19,0,1,0,0,1.0,1.0,1.0,-1.0e8,-9.9999999e7,-100000000B,-99999999B
24,0,2,0,0,1.0,1.0,1.0,9.9995e11,9.99949999999e11,1.0 TB,999.9 GB
25,0,1,0,0,1.0,1.0,1.0,-9.9999999999e10,-1.0e11,-99999999999B,-100000000000B
27,0,1,0,0,1.0,1.0,1.0,-1.0e12,-9.99999999999e11,-1000000000000B,-999999999999B
33,0,1,0,0,1.0,1.0,1.0,-1.0e15,-9.99999999999999e14,-1000000000000000B,-999999999999999B
37,0,1,0,0,1.0,1.0,1.0,-1.0e17,-1.0e17,-100000000000000000B,-99999999999999999B
31,0,1,0,0,1.0,1.0,1.0,-1.0e14,-9.9999999999999e13,-100000000000000B,-99999999999999B
23,0,1,0,0,1.0,1.0,1.0,-9.999999999e9,-1.0e10,-9999999999B,-10000000000B
29,0,1,0,0,1.0,1.0,1.0,-1.0e13,-9.999999999999e12,-10000000000000B,-9999999999999B
41,0,1,0,0,1.0,1.0,1.0,-1.0e19,-1.0e19,-9999999999999999999B,-10000000000000000000B
36,0,2,0,0,1.0,1.0,1.0,9.9995e17,9.9995e17,999.9 PB,1.0 EB
35,0,1,0,0,1.0,1.0,1.0,-1.0e16,-1.0e16,-9999999999999999B,-10000000000000000B
47,0,1,0,0,1.0,1.0,1.0,-1.0e22,-1.0e22,-10000000000000000000000B,-9999999999999999999999B
30,0,2,0,0,1.0,1.0,1.0,9.99949999999999e14,9.9995e14,999.9 TB,1.0 PB
39,0,1,0,0,1.0,1.0,1.0,-1.0e18,-1.0e18,-1000000000000000000B,-999999999999999999B
51,0,1,0,0,1.0,1.0,1.0,-1.0e24,-1.0e24,-1000000000000000000000000B,-999999999999999999999999B
59,0,1,0,0,1.0,1.0,1.0,-1.0e28,-1.0e28,-9999999999999999999999999999B,-10000000000000000000000000000B
43,0,1,0,0,1.0,1.0,1.0,-1.0e20,-1.0e20,-100000000000000000000B,-99999999999999999999B
55,0,1,0,0,1.0,1.0,1.0,-1.0e26,-1.0e26,-99999999999999999999999999B,-100000000000000000000000000B
49,0,1,0,0,1.0,1.0,1.0,-1.0e23,-1.0e23,-100000000000000000000000B,-99999999999999999999999B
45,0,1,0,0,1.0,1.0,1.0,-1.0e21,-1.0e21,-999999999999999999999B,-1000000000000000000000B
42,0,15,1,0,1.0,1.0,1.0,9.999999999999983e20,9.999999999999983e20,1000.0 EB,"BoundsError(""kMGTPE"", 7)"
63,0,1,0,0,1.0,1.0,1.0,-1.0e30,-1.0e30,-999999999999999999999999999999B,-1000000000000000000000000000000B
65,0,1,0,0,1.0,1.0,1.0,-1.0e31,-1.0e31,-10000000000000000000000000000000B,-9999999999999999999999999999999B
57,0,1,0,0,1.0,1.0,1.0,-1.0e27,-1.0e27,-999999999999999999999999999B,-1000000000000000000000000000B
61,0,1,0,0,1.0,1.0,1.0,-1.0e29,-1.0e29,-99999999999999999999999999999B,-100000000000000000000000000000B
53,0,1,0,0,1.0,1.0,1.0,-1.0e25,-1.0e25,-9999999999999999999999999B,-10000000000000000000000000B
67,0,1,0,0,1.0,1.0,1.0,-1.0e32,-1.0e32,-100000000000000000000000000000000B,-99999999999999999999999999999999B
69,0,1,0,0,1.0,1.0,1.0,-1.0e33,-1.0e33,-999999999999999999999999999999999B,-1000000000000000000000000000000000B
75,0,1,0,0,1.0,1.0,1.0,-1.0e36,-1.0e36,-1000000000000000000000000000000000000B,-999999999999999999999999999999999999B
71,0,1,0,0,1.0,1.0,1.0,-1.0e34,-1.0e34,-9999999999999999999999999999999999B,-10000000000000000000000000000000000B
73,0,1,0,0,1.0,1.0,1.0,-1.0e35,-1.0e35,-100000000000000000000000000000000000B,-99999999999999999999999999999999999B
79,0,1,0,0,1.0,1.0,1.0,-1.0e38,-1.0e38,-100000000000000000000000000000000000000B,-99999999999999999999999999999999999999B
77,0,1,0,0,1.0,1.0,1.0,-1.0e37,-1.0e37,-10000000000000000000000000000000000000B,-9999999999999999999999999999999999999B
16,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950001e7,9.995e7,100.0 MB,99.9 MB
28,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950000000001e13,9.995e13,100.0 TB,99.9 TB
22,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950000001e10,9.995e10,100.0 GB,99.9 GB
34,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950000000001e16,9.9950000000001e16,99.9 PB,100.0 PB
42,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9995e20,9.999499999999999e20,1000.0 EB,999.9 EB
40,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.995e19,9.995e19,100.0 EB,99.9 EB
20,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.950000001e9,9.95e9,10.0 GB,9.9 GB
32,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.950000000001e15,9.950000000001e15,9.9 PB,10.0 PB
26,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e12,9.950000000001e12,9.9 TB,10.0 TB
38,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e18,9.95e18,9.9 EB,10.0 EB
8,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9950.0,9951.0,9.9 kB,10.0 kB
14,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e6,9.950001e6,9.9 MB,10.0 MB
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-125.0,-126.0,-125B,-126B
10,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-9998.0,-9997.0,-9998B,-9997B
16,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.999998e6,-9.999997e6,-9999998B,-9999997B
20,0,0,0,1,0.6666666666666667,0.7777777777777778,0.8571428571428572,-9.99999998e8,-9.99999997e8,-999999998B,-999999997B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-99998.0,-99997.0,-99998B,-99997B
18,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.9999998e7,-9.9999997e7,-99999998B,-99999997B
24,0,0,0,1,0.6666666666666667,0.7,0.9523809523809526,-9.9999999997e10,-9.9999999998e10,-99999999997B,-99999999998B
36,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e17,-1.0e17,-99999999999999997B,-99999999999999996B
22,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.999999997e9,-9.999999998e9,-9999999997B,-9999999998B
32,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-9.99999999999998e14,-9.99999999999997e14,-999999999999998B,-999999999999997B
