bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
4,0,5,1,1,0.9811320754716981,0.0,1.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.9811320754716981,1.0
5,0,5,1,1,0.9811320754716981,0.0,0.0,0.0,-1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.9811320754716981,1.0
6,0,5,1,1,0.6937651438056692,0.0,0.0,-1.0,-1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.6937651438056692,1.0
8,1,9,0,1,0.24253562503633297,-77.0,0.0,-81.0,1.0,in,out,1.0,0.24253562503633297
7,0,9,0,1,0.22360679774997896,-1.0,80.0,1.0,76.0,out,in,1.0,0.22360679774997896
6,1,5,1,1,0.09811320754716982,0.0,0.0,-10.0,0.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in,0.09811320754716982,1.0
7,0,5,1,1,0.08882752441907478,-1.0,-11.0,0.0,0.0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.09762629036022535,0.909872986992699
12,0,9,0,1,0.06063390625908324,-83.0,-36.0,-67.0,-32.0,out,in,1.0,0.06063390625908324
11,0,9,0,1,0.05965499862718936,-79.0,-7.0,-95.0,-12.0,in,out,0.7071067811865476,0.08436490812191955
9,0,9,0,1,0.05439282932204212,-83.0,-7.0,-66.0,0.0,out,in,1.0,0.05439282932204212
6,0,9,0,1,0.05,3.0,97.0,3.0,77.0,out,in,1.0,0.05
10,1,9,0,1,0.037267799624996496,-90.0,-12.0,-66.0,0.0,out,in,0.1,0.37267799624996495
10,0,9,0,1,0.037139067635410375,-28.0,70.0,-38.0,95.0,in,out,1.0,0.037139067635410375
8,0,9,0,1,0.0351581276967315,4.0,105.0,-1.0,77.0,out,in,1.0,0.0351581276967315
13,0,9,0,1,0.021739130434782608,-67.0,-39.0,-113.0,-39.0,in,out,0.047619047619047616,0.4565217391304348
11,1,9,0,1,0.018569533817705187,-52.0,0.0,-102.0,-20.0,in,out,0.04218245406095978,0.44021938104571895
9,2,9,0,1,0.012657213851396142,-29.0,0.0,-108.0,1.0,in,out,0.05,0.2531442770279228
5,0,9,0,1,0.0125,1.0,1.0,1.0,81.0,in,out,0.014084507042253521,0.8875000000000001
5,0,6,1,1,0.012116132017194033,0.0,0.0,81.0,1.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,0.012267560152816277,0.9876562141341951
6,1,9,0,1,0.012047318414773371,1.0,0.0,-82.0,1.0,in,out,0.0125,0.9637854731818697
6,1,6,1,1,0.011969286359530262,0.0,-82.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",0.012267560152816277,0.9756859726326641
