bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
3,0,1,0,0,1.0,1.0,1.0,0.0,-1.0,0B,-1B
2,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1B,2B
4,0,0,0,0,1.0,1.0,1.0,-1.0,-2.0,-1B,-2B
7,0,1,0,0,1.0,1.0,1.0,-99.0,-100.0,-99B,-100B
5,0,1,0,0,1.0,1.0,1.0,-9.0,-10.0,-9B,-10B
9,0,1,0,0,1.0,1.0,1.0,-999.0,-1000.0,-999B,-1000B
11,0,1,0,0,1.0,1.0,1.0,-10000.0,-9999.0,-10000B,-9999B
7,0,2,0,0,1.0,1.0,1.0,999.0,1000.0,999B,1.0 kB
6,0,0,0,0,1.0,1.0,1.0,219.0,220.0,219B,220B
6,0,0,0,0,1.0,1.0,1.0,469.0,470.0,469B,470B
8,0,0,0,0,1.0,1.0,1.0,-500.0,-499.0,-500B,-499B
4,0,0,0,0,1.0,1.0,1.0,22.0,23.0,22B,23B
6,0,0,0,0,1.0,1.0,1.0,780.0,779.0,780B,779B
6,0,0,0,0,1.0,1.0,1.0,260.0,259.0,260B,259B
6,0,0,0,0,1.0,1.0,1.0,990.0,989.0,990B,989B
6,0,0,0,0,1.0,1.0,1.0,399.0,400.0,399B,400B
6,0,0,0,0,1.0,1.0,1.0,120.0,119.0,120B,119B
7,0,2,0,0,1.0,1.0,1.0,1000.0,999.0,1.0 kB,999B
4,0,0,0,0,1.0,1.0,1.0,86.0,87.0,86B,87B
6,0,0,0,0,1.0,1.0,1.0,290.0,289.0,290B,289B
6,0,0,0,0,1.0,1.0,1.0,179.0,180.0,179B,180B
6,0,0,0,0,1.0,1.0,1.0,209.0,210.0,209B,210B
8,0,0,0,0,1.0,1.0,1.0,-799.0,-800.0,-799B,-800B
6,0,0,0,0,1.0,1.0,1.0,-79.0,-80.0,-79B,-80B
6,0,0,0,0,1.0,1.0,1.0,409.0,410.0,409B,410B
6,0,0,0,0,1.0,1.0,1.0,539.0,540.0,539B,540B
12,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-17000.0,-16999.0,-17000B,-16999B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-4800.0,-4799.0,-4800B,-4799B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-2099.0,-2100.0,-2099B,-2100B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-2600.0,-2599.0,-2600B,-2599B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-8300.0,-8299.0,-8300B,-8299B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-140.0,-139.0,-140B,-139B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-950.0,-949.0,-950B,-949B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-759.0,-760.0,-759B,-760B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-620.0,-619.0,-620B,-619B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-990.0,-989.0,-990B,-989B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-669.0,-670.0,-669B,-670B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-939.0,-940.0,-939B,-940B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-339.0,-340.0,-339B,-340B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-839.0,-840.0,-839B,-840B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-879.0,-880.0,-879B,-880B
6,0,0,0,1,0.8,1.0,0.8,163.0,164.0,163B,164B
6,0,0,0,1,0.8,1.0,0.8,906.0,905.0,906B,905B
6,0,0,0,1,0.8,1.0,0.8,746.0,745.0,746B,745B
6,0,0,0,1,0.8,1.0,0.8,793.0,792.0,793B,792B
6,0,0,0,1,0.8,1.0,0.8,551.0,552.0,551B,552B
6,0,0,0,1,0.8,1.0,0.8,848.0,847.0,848B,847B
6,0,0,0,1,0.8,1.0,0.8,812.0,811.0,812B,811B
6,0,0,0,1,0.8,1.0,0.8,236.0,235.0,236B,235B
6,0,0,0,1,0.8,1.0,0.8,821.0,820.0,821B,820B
6,0,0,0,1,0.8,1.0,0.8,602.0,603.0,602B,603B
6,0,0,0,1,0.8,1.0,0.8,377.0,376.0,377B,376B
6,0,0,0,1,0.8,1.0,0.8,366.0,367.0,366B,367B
6,0,0,0,1,0.8,1.0,0.8,771.0,772.0,771B,772B
6,0,0,0,1,0.8,1.0,0.8,908.0,907.0,908B,907B
6,0,0,0,1,0.8,1.0,0.8,203.0,202.0,203B,202B
6,0,0,0,1,0.8,1.0,0.8,466.0,467.0,466B,467B
6,0,0,0,1,0.8,1.0,0.8,307.0,308.0,307B,308B
6,0,0,0,1,0.8,1.0,0.8,602.0,601.0,602B,601B
6,0,0,0,1,0.8,1.0,0.8,698.0,697.0,698B,697B
6,0,0,0,1,0.8,1.0,0.8,855.0,854.0,855B,854B
6,0,0,0,1,0.8,1.0,0.8,965.0,964.0,965B,964B
6,0,0,0,1,0.8,1.0,0.8,208.0,209.0,208B,209B
6,0,0,0,1,0.8,1.0,0.8,404.0,403.0,404B,403B
6,0,0,0,1,0.8,1.0,0.8,464.0,465.0,464B,465B
6,0,0,0,1,0.8,1.0,0.8,985.0,984.0,985B,984B
6,0,0,0,1,0.8,1.0,0.8,887.0,886.0,887B,886B
6,0,0,0,1,0.8,1.0,0.8,858.0,859.0,858B,859B
6,0,0,0,1,0.8,1.0,0.8,331.0,332.0,331B,332B
6,0,0,0,1,0.8,1.0,0.8,307.0,306.0,307B,306B
6,0,0,0,1,0.8,1.0,0.8,981.0,982.0,981B,982B
6,0,0,0,1,0.8,1.0,0.8,293.0,294.0,293B,294B
6,0,0,0,1,0.8,1.0,0.8,753.0,752.0,753B,752B
6,0,0,0,1,0.8,1.0,0.8,919.0,918.0,919B,918B
6,0,0,0,1,0.8,1.0,0.8,149.0,148.0,149B,148B
6,0,0,0,1,0.8,1.0,0.8,916.0,917.0,916B,917B
6,0,0,0,1,0.8,1.0,0.8,421.0,422.0,421B,422B
6,0,0,0,1,0.8,1.0,0.8,448.0,449.0,448B,449B
6,0,0,0,1,0.8,1.0,0.8,231.0,232.0,231B,232B
6,0,0,0,1,0.8,1.0,0.8,754.0,753.0,754B,753B
6,0,0,0,1,0.8,1.0,0.8,292.0,293.0,292B,293B
6,0,0,0,1,0.8,1.0,0.8,751.0,750.0,751B,750B
10,0,0,0,1,0.8,1.0,0.8,14950.0,14951.0,14.9 kB,15.0 kB
10,0,0,0,1,0.8,1.0,0.8,51949.0,51950.0,51.9 kB,52.0 kB
14,0,0,0,1,0.8,0.8888888888888888,0.9000000000000001,-117000.0,-116999.0,-117000B,-116999B
10,0,0,0,1,0.75,1.0,0.75,-1679.0,-1680.0,-1679B,-1680B
10,0,0,0,1,0.75,1.0,0.75,-1410.0,-1409.0,-1410B,-1409B
10,0,0,0,1,0.75,1.0,0.75,-1049.0,-1050.0,-1049B,-1050B
10,0,0,0,1,0.75,1.0,0.75,-2120.0,-2119.0,-2120B,-2119B
10,0,0,0,1,0.75,1.0,0.75,-1230.0,-1229.0,-1230B,-1229B
10,0,0,0,1,0.75,1.0,0.75,-1489.0,-1490.0,-1489B,-1490B
10,0,0,0,1,0.75,1.0,0.75,-5729.0,-5730.0,-5729B,-5730B
10,0,0,0,1,0.75,1.0,0.75,-1649.0,-1650.0,-1649B,-1650B
10,0,0,0,1,0.75,1.0,0.75,-1429.0,-1430.0,-1429B,-1430B
10,0,0,0,1,0.75,1.0,0.75,-9879.0,-9880.0,-9879B,-9880B
10,0,0,0,1,0.75,1.0,0.75,-4329.0,-4330.0,-4329B,-4330B
8,0,0,0,1,0.75,1.0,0.75,8951.0,8950.0,9.0 kB,8.9 kB
10,0,0,0,1,0.75,1.0,0.75,-1650.0,-1649.0,-1650B,-1649B
10,0,0,0,1,0.75,1.0,0.75,-4850.0,-4849.0,-4850B,-4849B
10,0,0,0,1,0.75,1.0,0.75,-7380.0,-7379.0,-7380B,-7379B
10,0,0,0,1,0.75,1.0,0.75,-4980.0,-4979.0,-4980B,-4979B
10,0,0,0,1,0.75,1.0,0.75,-7629.0,-7630.0,-7629B,-7630B
10,0,0,0,1,0.75,1.0,0.75,-6909.0,-6910.0,-6909B,-6910B
10,0,0,0,1,0.75,1.0,0.75,-2149.0,-2150.0,-2149B,-2150B
10,0,0,0,1,0.75,1.0,0.75,-7939.0,-7940.0,-7939B,-7940B
10,0,0,0,1,0.75,1.0,0.75,-2259.0,-2260.0,-2259B,-2260B
8,0,0,0,1,0.75,1.0,0.75,2950.0,2949.0,3.0 kB,2.9 kB
10,0,0,0,1,0.75,1.0,0.75,-6570.0,-6569.0,-6570B,-6569B
10,0,0,0,1,0.75,1.0,0.75,-9010.0,-9009.0,-9010B,-9009B
10,0,0,0,1,0.75,1.0,0.75,-6139.0,-6140.0,-6139B,-6140B
10,0,0,0,1,0.75,1.0,0.75,-5740.0,-5739.0,-5740B,-5739B
10,0,0,0,1,0.75,1.0,0.75,-4270.0,-4269.0,-4270B,-4269B
6,0,0,0,1,0.75,1.0,0.75,999.0,998.0,999B,998B
10,0,0,0,1,0.75,1.0,0.75,-8070.0,-8069.0,-8070B,-8069B
10,0,0,0,1,0.75,1.0,0.75,-5939.0,-5940.0,-5939B,-5940B
8,0,0,0,1,0.75,1.0,0.75,5950.0,5951.0,5.9 kB,6.0 kB
10,0,0,0,1,0.75,1.0,0.75,-4219.0,-4220.0,-4219B,-4220B
10,0,0,0,1,0.75,1.0,0.75,-6040.0,-6039.0,-6040B,-6039B
10,0,0,0,1,0.75,1.0,0.75,-2860.0,-2859.0,-2860B,-2859B
14,0,0,0,1,0.7272727272727273,0.8888888888888888,0.8181818181818182,-106700.0,-106699.0,-106700B,-106699B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-103.0,-104.0,-103B,-104B
10,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-9997.0,-9998.0,-9997B,-9998B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-386.0,-387.0,-386B,-387B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-768.0,-769.0,-768B,-769B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-357.0,-356.0,-357B,-356B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-982.0,-983.0,-982B,-983B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-477.0,-476.0,-477B,-476B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-224.0,-223.0,-224B,-223B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-846.0,-847.0,-846B,-847B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-261.0,-262.0,-261B,-262B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-493.0,-494.0,-493B,-494B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-469.0,-468.0,-469B,-468B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-676.0,-677.0,-676B,-677B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-256.0,-255.0,-256B,-255B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-467.0,-466.0,-467B,-466B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-134.0,-133.0,-134B,-133B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-275.0,-274.0,-275B,-274B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-842.0,-843.0,-842B,-843B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-754.0,-755.0,-754B,-755B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-733.0,-734.0,-733B,-734B
10,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-1116.0,-1117.0,-1116B,-1117B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-219.0,-218.0,-219B,-218B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-371.0,-372.0,-371B,-372B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-985.0,-986.0,-985B,-986B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-577.0,-578.0,-577B,-578B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-395.0,-394.0,-395B,-394B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-617.0,-618.0,-617B,-618B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-456.0,-455.0,-456B,-455B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-163.0,-162.0,-163B,-162B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-542.0,-543.0,-542B,-543B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-15030.0,-15029.0,-15030B,-15029B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-12139.0,-12140.0,-12139B,-12140B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-10550.0,-10549.0,-10550B,-10549B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-408.0,-409.0,-408B,-409B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-281.0,-282.0,-281B,-282B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-18460.0,-18459.0,-18460B,-18459B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-10540.0,-10539.0,-10540B,-10539B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-606.0,-607.0,-606B,-607B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-15190.0,-15189.0,-15190B,-15189B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-792.0,-793.0,-792B,-793B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-16379.0,-16380.0,-16379B,-16380B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-17839.0,-17840.0,-17839B,-17840B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-455.0,-454.0,-455B,-454B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-47550.0,-47549.0,-47550B,-47549B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-10329.0,-10330.0,-10329B,-10330B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-12740.0,-12739.0,-12740B,-12739B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-546.0,-547.0,-546B,-547B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-627.0,-626.0,-627B,-626B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-305.0,-306.0,-305B,-306B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-11079.0,-11080.0,-11079B,-11080B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-345.0,-346.0,-345B,-346B
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-447.0,-446.0,-447B,-446B
