bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
8,1,9,0,0,1.0,-81.0,0.0,-80.0,0.0,out,in,1.0,1.0
9,0,9,0,0,1.0,-80.0,0.0,-80.0,-1.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-80.0,-1.0,-79.0,-1.0,out,in,1.0,1.0
6,0,9,0,0,1.0,79.0,3.0,80.0,3.0,in,out,1.0,1.0
8,0,9,0,0,1.0,80.0,-2.0,79.0,-2.0,out,in,1.0,1.0
7,0,9,0,0,1.0,80.0,0.0,80.0,-1.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-11.0,-79.0,-11.0,-80.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-74.0,28.0,-75.0,28.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-78.0,-19.0,-77.0,-19.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-78.0,-18.0,-78.0,-17.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-69.0,42.0,-68.0,42.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-58.0,-56.0,-58.0,-55.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-75.0,29.0,-74.0,29.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-79.0,-7.0,-80.0,-7.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-80.0,-5.0,-79.0,-5.0,out,in,1.0,1.0
8,1,9,0,0,1.0,-80.0,1.0,-80.0,0.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-52.0,61.0,-52.0,60.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-79.0,-1.0,-80.0,-1.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-79.0,-11.0,-80.0,-11.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-79.0,-14.0,-78.0,-14.0,out,in,1.0,1.0
10,0,9,0,0,1.0,70.0,-39.0,69.0,-39.0,out,in,1.0,1.0
8,0,9,0,0,1.0,78.0,16.0,79.0,16.0,in,out,1.0,1.0
10,0,9,0,0,1.0,78.0,-15.0,79.0,-15.0,in,out,1.0,1.0
8,0,9,0,0,1.0,43.0,68.0,42.0,68.0,out,in,1.0,1.0
8,0,9,0,0,1.0,75.0,27.0,75.0,28.0,in,out,1.0,1.0
8,0,9,0,0,1.0,60.0,53.0,59.0,53.0,out,in,1.0,1.0
6,0,9,0,0,1.0,80.0,5.0,79.0,5.0,out,in,1.0,1.0
8,0,9,0,0,1.0,64.0,49.0,64.0,48.0,out,in,1.0,1.0
10,0,9,0,0,1.0,43.0,-68.0,43.0,-67.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-24.0,-77.0,-24.0,-76.0,out,in,1.0,1.0
10,0,9,0,0,1.0,15.0,-78.0,15.0,-79.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-29.0,-75.0,-29.0,-74.0,out,in,1.0,1.0
10,0,9,0,0,1.0,26.0,-75.0,26.0,-76.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-13.0,-78.0,-13.0,-79.0,in,out,1.0,1.0
10,0,9,0,0,1.0,34.0,-73.0,34.0,-72.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-60.0,-53.0,-59.0,-53.0,out,in,1.0,1.0
8,1,9,0,0,1.0,-79.0,2.0,-80.0,2.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-61.0,51.0,-61.0,52.0,in,out,1.0,1.0
