bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,0B,1B
3,0,1,0,0,1.0,1.0,1.0,-1.0,0.0,-1B,0B
4,0,0,0,0,1.0,1.0,1.0,-1.0,-2.0,-1B,-2B
5,0,1,0,0,1.0,1.0,1.0,-10.0,-9.0,-10B,-9B
6,0,0,0,0,1.0,1.0,1.0,120.0,119.0,120B,119B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-280.0,-279.0,-280B,-279B
10,0,0,0,1,0.6,1.0,0.6,-1111.0,-1112.0,-1111B,-1112B
7,0,1,0,1,0.2,1.0,0.2,-95.0,-100.0,-95B,-100B
7,0,2,0,1,0.1,1.0,0.1,1006.0,996.0,1.0 kB,996B
4,2,2,0,1,0.09090909090909091,0.09090909090909091,1.0,-10.0,1.0,-10B,1B
12,0,0,0,1,0.044444444444444446,1.0,0.044444444444444446,-11583.0,-11598.0,-11583B,-11598B
8,0,1,0,1,0.014957264957264958,0.7777777777777778,0.019230769230769232,9995.0,9943.0,10.0 kB,9.9 kB
9,0,1,0,1,0.011363636363636364,1.0,0.011363636363636364,-936.0,-1024.0,-936B,-1024B
6,2,2,0,1,0.01098901098901099,0.01098901098901099,1.0,-100.0,-9.0,-100B,-9B
5,4,3,0,1,0.009900990099009901,0.009900990099009901,1.0,0.0,-101.0,0B,-101B
11,0,1,0,1,0.006369426751592357,1.0,0.006369426751592357,-10007.0,-9850.0,-10007B,-9850B
9,0,0,0,1,0.0026455026455026454,0.00980392156862745,0.2698412698412698,10161.0,9972.0,10.2 kB,10.0 kB
14,0,0,0,1,0.001208215867901732,0.8888888888888888,0.0013592428513894484,-130370.0,-129606.0,-130370B,-129606B
6,2,3,0,1,0.0011061946902654867,0.0011098779134295228,0.9966814159292035,96.0,1000.0,96B,1.0 kB
8,2,2,0,1,0.001092896174863388,0.0011098779134295228,0.9846994535519126,-1005.0,-90.0,-1005B,-90B
5,4,4,0,1,0.0010090817356205853,0.0010090817356205853,1.0,9.0,1000.0,9B,1.0 kB
7,4,3,0,1,0.0010090817356205853,0.0010090817356205853,1.0,-1000.0,-9.0,-1000B,-9B
6,8,4,0,1,0.000999000999000999,0.000999000999000999,1.0,-1000.0,1.0,-1000B,1B
18,0,0,0,1,0.00024278916189181314,0.8,0.0003034864523647664,-5.8597507e7,-5.8594565e7,-58597507B,-58594565B
7,0,3,0,1,0.00011125945705384957,0.00011168192986374804,0.9962171784601691,971.0,9959.0,971B,10.0 kB
8,2,3,0,1,0.00011058277120424638,0.00011108642523883582,0.9954661063806259,971.0,10014.0,971B,10.0 kB
10,2,2,0,1,0.00010789814415192059,0.000111000111000111,0.9720543806646526,-982.0,-10250.0,-982B,-10250B
6,2,4,0,1,0.0001013890297069857,0.00010150223304912708,0.9988847206732232,9952.0,89.0,10.0 kB,89B
7,4,4,0,1,0.00010089799212995662,0.000100999899000101,0.9989910200787004,93.0,10004.0,93B,10.0 kB
5,4,5,0,1,0.00010055304172951231,0.00010058338362502515,0.9996983408748114,7.0,9952.0,7B,10.0 kB
9,4,3,0,1,0.00010041168792047395,0.00010098969905069682,0.9942765337885331,-67.0,-10026.0,-67B,-10026B
6,8,5,0,1,0.00010006003602161297,0.00010009008107296567,0.9996998198919351,10000.0,6.0,10.0 kB,6B
8,8,4,0,1,0.00010005002501250626,0.00010009008107296567,0.9995997998999501,-10000.0,-5.0,-10000B,-5B
7,12,5,0,1,9.999000099990002e-5,9.999000099990002e-5,1.0,-10001.0,0.0,-10001B,0B
8,0,2,0,1,9.928514694201747e-5,9.934432743890324e-5,0.9994042891183479,9953.0,-119.0,10.0 kB,-119B
9,0,2,0,1,9.86679822397632e-5,9.890218573830482e-5,0.9976319684262457,-120.0,10015.0,-120B,10.0 kB
13,0,1,0,1,9.863197451349778e-5,1.0,9.863197451349778e-5,-91869.0,-101086.0,-91869B,-101086B
16,0,0,0,1,9.785852918630633e-5,0.8,0.0001223231614828829,-1.933441e6,-1.9422e6,-1933441B,-1942200B
10,2,1,0,1,9.004141905276428e-5,9.088430428065073e-5,0.9907257338375653,1009.0,-10097.0,1.0 kB,-10097B
10,0,1,0,1,8.959770629871875e-5,0.8181818181818181,0.00010950830769843403,-1143.0,10018.0,-1143B,10.0 kB
11,0,0,0,1,4.6963790917202836e-5,0.007936507936507936,0.005917437655567558,11033.0,-10260.0,11.0 kB,-10260B
10,2,0,0,1,4.564750992833341e-5,4.7440580672707434e-5,0.9622038617793399,-11912.0,9995.0,-11912B,10.0 kB
13,0,2,0,1,4.088474590130423e-5,0.0196078431372549,0.002085122040966516,1.018613e6,994154.0,1.0 MB,994.2 kB
15,0,1,0,1,2.3426335886803945e-5,1.0,2.3426335886803945e-5,-968812.0,-1.011499e6,-968812B,-1011499B
12,2,2,0,1,1.0930634195396016e-5,1.110790216159776e-5,0.9840412740747219,-8546.0,-100032.0,-8546B,-100032B
8,2,4,0,1,1.0096624698363337e-5,1.0104174034293567e-5,0.9992528497723211,99992.0,949.0,100.0 kB,949B
9,4,4,0,1,1.0096216947509768e-5,1.0099275881919266e-5,0.9996971134915746,100012.0,965.0,100.0 kB,965B
11,4,3,0,1,1.0087967072875474e-5,1.0095707305253806e-5,0.9992333145024614,-924.0,-100052.0,-924B,-100052B
7,4,5,0,1,1.0011813940449731e-5,1.0013919347893571e-5,0.9997897519072506,99964.0,82.0,100.0 kB,82B
8,8,5,0,1,1.0005803365952252e-5,1.0009509033581903e-5,0.9996297852754596,100003.0,61.0,100.0 kB,61B
6,8,6,0,1,1.0005102602327188e-5,1.0005703250852986e-5,0.9999399693843861,2.0,99951.0,2B,100.0 kB
7,12,6,0,1,1.000030000900027e-5,1.000060003600216e-5,0.9999699990999731,100005.0,8.0,100.0 kB,8B
9,12,5,0,1,9.99960001599936e-6,1.000060003600216e-5,0.99990000399984,-4.0,-100008.0,-4B,-100008B
8,18,6,0,1,9.999300048996571e-6,9.99990000099999e-6,0.999940004199706,1.0,-100006.0,1B,-100006B
10,8,4,0,1,9.985520994557892e-6,1.0008206729518205e-5,0.9977332867342354,-100201.0,-56.0,-100201B,-56B
10,2,3,0,1,9.984424298094971e-6,9.98771511041419e-6,0.9996705139981628,-142.0,100014.0,-142B,100.0 kB
10,0,2,0,1,9.880446596186148e-6,9.892371003482115e-6,0.9987945855152653,99956.0,-1254.0,100.0 kB,-1254B
11,4,2,0,1,9.852993339376503e-6,9.899421873762572e-6,0.9953099751704568,-100287.0,1205.0,-100287B,1.2 kB
11,0,2,0,1,9.806998273968305e-6,9.885721064494444e-6,0.9920367174015379,100340.0,-1628.0,100.3 kB,-1628B
12,2,1,0,1,8.949907368458737e-6,9.0046283789868e-6,0.9939230128968165,-100086.0,11647.0,-100086B,11.6 kB
12,0,1,0,1,8.920049595475751e-6,8.99733678831066e-6,0.991409992239557,-11884.0,100223.0,-11884B,100.2 kB
11,4,1,0,1,7.918722234980163e-6,8.328033675539808e-6,0.9508513706228362,9963.0,-116320.0,10.0 kB,-116320B
20,0,0,0,1,6.2709352762298754e-6,0.7777777777777778,8.06263106943841e-6,-1.45733059e8,-1.45862625e8,-145733059B,-145862625B
13,0,0,0,1,4.656035385868933e-6,4.733705402577976e-6,0.9835921313001978,-112899.0,101876.0,-112899B,101.9 kB
12,2,0,0,1,4.635724749207291e-6,4.737270952949425e-6,0.9785644087596655,-115732.0,99984.0,-115732B,100.0 kB
17,0,1,0,1,1.1748548173159501e-6,1.0,1.1748548173159501e-6,-1.0584183e7,-9.733014e6,-10584183B,-9733014B
14,2,2,0,1,1.0992586599597231e-6,1.110385659147135e-6,0.989979158055807,-93033.0,-1.002737e6,-93033B,-1002737B
13,4,3,0,1,1.0085911796684156e-6,1.0097511670199113e-6,0.9988512146463577,-1.000643e6,-9161.0,-1000643B,-9161B
11,4,0,0,1,1.0076744486005417e-6,1.0098776129320888e-6,0.9978183848187797,9148.0,1.001532e6,9.1 kB,1.0 MB
9,4,2,0,1,1.0010180353419427e-6,1.0010260517029956e-6,0.9999919918557172,996.0,999979.0,996B,1.0 MB
12,8,4,0,1,1.0007315347519036e-6,1.0008968035359683e-6,0.9998348792967657,-1.000178e6,-909.0,-1000178B,-909B
10,8,2,0,1,1.0004772276375832e-6,1.0009188434983314e-6,0.9995587895426119,1.000199e6,676.0,1.0 MB,676B
8,8,3,0,1,1.000109011882295e-6,1.0001310171632484e-6,0.9999779976017386,999978.0,87.0,1.0 MB,87B
9,12,3,0,1,1.0000510026011326e-6,1.000089007921705e-6,0.9999619980619011,77.0,1.000026e6,77B,1.0 MB
7,12,4,0,1,1.0000490024011176e-6,1.0000520027041405e-6,0.9999969998529928,999953.0,2.0,1.0 MB,2B
8,18,4,0,1,9.99998000004e-7,1.0000070000490004e-6,0.999991000018,1.000007e6,5.0,1.0 MB,5B
10,18,6,0,1,9.999530022088963e-7,9.99999000001e-7,0.9999540021618984,15.0,-1.000032e6,15B,-1000032B
9,24,7,0,1,9.99939003720773e-7,9.99998000004e-7,0.9999410035987805,0.0,-1.000061e6,0B,-1000061B
11,12,5,0,1,9.995901680311073e-7,1.0000540029161574e-6,0.9995361901620338,-1.000297e6,113.0,-1000297B,113B
12,8,3,0,1,9.973381045988257e-7,9.988333626324454e-7,0.9985029955049971,-1.001331e6,1338.0,-1001331B,1.3 kB
13,4,2,0,1,9.855217006950884e-7,9.890981600796025e-7,0.9963841208801498,14445.0,-1.000246e6,14.4 kB,-1000246B
14,2,1,0,1,8.960734063334469e-7,8.996996802467337e-7,0.9959694618183121,-1.002004e6,113976.0,-1002004B,114.0 kB
14,0,2,0,1,8.953208740480501e-7,9.089942251596875e-7,0.9849577139951188,1.006547e6,-110371.0,1.0 MB,-110371B
15,0,3,0,1,4.934859849980261e-7,4.989746071822405e-7,0.989000197394394,1.016797e6,-1.009603e6,1.0 MB,-1009603B
12,8,2,0,1,3.394731580271314e-7,9.126959196864099e-7,0.37194551953707633,9959.0,-2.935782e6,10.0 kB,-2935782B
15,0,0,0,1,3.3433229035589254e-7,9.977251865746098e-6,0.033509456797790396,1.2364444e7,9.971615e6,12.4 MB,10.0 MB
14,0,1,0,1,2.5166819159614473e-7,0.7777777777777778,3.235733891950432e-7,6.862442e6,9.952931e6,6.9 MB,10.0 MB
