bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,0B,1B
3,0,1,0,0,1.0,1.0,1.0,-1.0,0.0,-1B,0B
4,0,0,0,0,1.0,1.0,1.0,-1.0,-2.0,-1B,-2B
5,0,1,0,0,1.0,1.0,1.0,-10.0,-9.0,-10B,-9B
6,0,0,0,0,1.0,1.0,1.0,120.0,119.0,120B,119B
6,0,0,0,0,1.0,1.0,1.0,360.0,359.0,360B,359B
4,0,0,0,0,1.0,1.0,1.0,35.0,34.0,35B,34B
8,0,0,0,0,1.0,1.0,1.0,-900.0,-899.0,-900B,-899B
6,0,0,0,0,1.0,1.0,1.0,260.0,259.0,260B,259B
6,0,0,0,0,1.0,1.0,1.0,409.0,410.0,409B,410B
6,0,0,0,0,1.0,1.0,1.0,590.0,589.0,590B,589B
6,0,0,0,0,1.0,1.0,1.0,-69.0,-70.0,-69B,-70B
6,0,0,0,0,1.0,1.0,1.0,350.0,349.0,350B,349B
6,0,0,0,0,1.0,1.0,1.0,239.0,240.0,239B,240B
6,0,0,0,0,1.0,1.0,1.0,-59.0,-60.0,-59B,-60B
6,0,0,0,0,1.0,1.0,1.0,579.0,580.0,579B,580B
6,0,0,0,0,1.0,1.0,1.0,779.0,780.0,779B,780B
6,0,0,0,0,1.0,1.0,1.0,-49.0,-50.0,-49B,-50B
6,0,0,0,0,1.0,1.0,1.0,469.0,470.0,469B,470B
6,0,0,0,0,1.0,1.0,1.0,949.0,950.0,949B,950B
6,0,0,0,0,1.0,1.0,1.0,770.0,769.0,770B,769B
6,0,0,0,0,1.0,1.0,1.0,979.0,980.0,979B,980B
6,0,0,0,0,1.0,1.0,1.0,950.0,949.0,950B,949B
6,0,0,0,0,1.0,1.0,1.0,-40.0,-39.0,-40B,-39B
6,0,0,0,0,1.0,1.0,1.0,290.0,289.0,290B,289B
8,0,0,0,0,1.0,1.0,1.0,-700.0,-699.0,-700B,-699B
6,0,0,0,0,1.0,1.0,1.0,839.0,840.0,839B,840B
8,0,0,0,0,1.0,1.0,1.0,-699.0,-700.0,-699B,-700B
6,0,0,0,0,1.0,1.0,1.0,340.0,339.0,340B,339B
7,0,1,0,0,1.0,1.0,1.0,-99.0,-100.0,-99B,-100B
6,0,0,0,0,1.0,1.0,1.0,140.0,139.0,140B,139B
6,0,0,0,0,1.0,1.0,1.0,859.0,860.0,859B,860B
6,0,0,0,0,1.0,1.0,1.0,829.0,830.0,829B,830B
6,0,0,0,0,1.0,1.0,1.0,480.0,479.0,480B,479B
6,0,0,0,0,1.0,1.0,1.0,-90.0,-89.0,-90B,-89B
6,0,0,0,0,1.0,1.0,1.0,-50.0,-49.0,-50B,-49B
6,0,0,0,0,1.0,1.0,1.0,229.0,230.0,229B,230B
6,0,0,0,0,1.0,1.0,1.0,130.0,129.0,130B,129B
8,0,0,0,0,1.0,1.0,1.0,-500.0,-499.0,-500B,-499B
6,0,0,0,0,1.0,1.0,1.0,299.0,300.0,299B,300B
6,0,0,0,0,1.0,1.0,1.0,560.0,559.0,560B,559B
6,0,0,0,0,1.0,1.0,1.0,990.0,989.0,990B,989B
6,0,0,0,0,1.0,1.0,1.0,359.0,360.0,359B,360B
6,0,0,0,0,1.0,1.0,1.0,420.0,419.0,420B,419B
6,0,0,0,0,1.0,1.0,1.0,989.0,990.0,989B,990B
6,0,0,0,0,1.0,1.0,1.0,129.0,130.0,129B,130B
6,0,0,0,0,1.0,1.0,1.0,759.0,760.0,759B,760B
6,0,0,0,0,1.0,1.0,1.0,459.0,460.0,459B,460B
6,0,0,0,0,1.0,1.0,1.0,830.0,829.0,830B,829B
6,0,0,0,0,1.0,1.0,1.0,379.0,380.0,379B,380B
6,0,0,0,0,1.0,1.0,1.0,749.0,750.0,749B,750B
6,0,0,0,0,1.0,1.0,1.0,840.0,839.0,840B,839B
6,0,0,0,0,1.0,1.0,1.0,209.0,210.0,209B,210B
6,0,0,0,0,1.0,1.0,1.0,470.0,469.0,470B,469B
6,0,0,0,0,1.0,1.0,1.0,180.0,179.0,180B,179B
6,0,0,0,0,1.0,1.0,1.0,190.0,189.0,190B,189B
6,0,0,0,0,1.0,1.0,1.0,809.0,810.0,809B,810B
6,0,0,0,0,1.0,1.0,1.0,550.0,549.0,550B,549B
6,0,0,0,0,1.0,1.0,1.0,549.0,550.0,549B,550B
6,0,0,0,0,1.0,1.0,1.0,700.0,699.0,700B,699B
6,0,0,0,0,1.0,1.0,1.0,-79.0,-80.0,-79B,-80B
6,0,0,0,0,1.0,1.0,1.0,189.0,190.0,189B,190B
8,0,0,0,0,1.0,1.0,1.0,-399.0,-400.0,-399B,-400B
6,0,0,0,0,1.0,1.0,1.0,179.0,180.0,179B,180B
4,0,0,0,0,1.0,1.0,1.0,64.0,63.0,64B,63B
6,0,0,0,0,1.0,1.0,1.0,230.0,229.0,230B,229B
6,0,0,0,0,1.0,1.0,1.0,730.0,729.0,730B,729B
6,0,0,0,0,1.0,1.0,1.0,389.0,390.0,389B,390B
8,0,0,0,0,1.0,1.0,1.0,-299.0,-300.0,-299B,-300B
6,0,0,0,0,1.0,1.0,1.0,630.0,629.0,630B,629B
6,0,0,0,0,1.0,1.0,1.0,170.0,169.0,170B,169B
6,0,0,0,0,1.0,1.0,1.0,599.0,600.0,599B,600B
6,0,0,0,0,1.0,1.0,1.0,610.0,609.0,610B,609B
4,0,0,0,0,1.0,1.0,1.0,96.0,97.0,96B,97B
6,0,0,0,0,1.0,1.0,1.0,860.0,859.0,860B,859B
6,0,0,0,0,1.0,1.0,1.0,489.0,490.0,489B,490B
6,0,0,0,0,1.0,1.0,1.0,609.0,610.0,609B,610B
8,0,0,0,0,1.0,1.0,1.0,-899.0,-900.0,-899B,-900B
6,0,0,0,0,1.0,1.0,1.0,139.0,140.0,139B,140B
4,0,0,0,0,1.0,1.0,1.0,58.0,57.0,58B,57B
6,0,0,0,0,1.0,1.0,1.0,269.0,270.0,269B,270B
6,0,0,0,0,1.0,1.0,1.0,399.0,400.0,399B,400B
6,0,0,0,0,1.0,1.0,1.0,899.0,900.0,899B,900B
6,0,0,0,0,1.0,1.0,1.0,370.0,369.0,370B,369B
6,0,0,0,0,1.0,1.0,1.0,769.0,770.0,769B,770B
4,0,0,0,0,1.0,1.0,1.0,55.0,54.0,55B,54B
6,0,0,0,0,1.0,1.0,1.0,869.0,870.0,869B,870B
6,0,0,0,0,1.0,1.0,1.0,160.0,159.0,160B,159B
6,0,0,0,0,1.0,1.0,1.0,510.0,509.0,510B,509B
9,0,1,0,0,1.0,1.0,1.0,-999.0,-1000.0,-999B,-1000B
6,0,0,0,0,1.0,1.0,1.0,639.0,640.0,639B,640B
6,0,0,0,0,1.0,1.0,1.0,439.0,440.0,439B,440B
6,0,0,0,0,1.0,1.0,1.0,509.0,510.0,509B,510B
6,0,0,0,0,1.0,1.0,1.0,-20.0,-19.0,-20B,-19B
4,0,0,0,0,1.0,1.0,1.0,43.0,42.0,43B,42B
6,0,0,0,0,1.0,1.0,1.0,629.0,630.0,629B,630B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-2200.0,-2199.0,-2200B,-2199B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-3599.0,-3600.0,-3599B,-3600B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-3099.0,-3100.0,-3099B,-3100B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-4700.0,-4699.0,-4700B,-4699B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-5699.0,-5700.0,-5699B,-5700B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-5300.0,-5299.0,-5300B,-5299B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-2599.0,-2600.0,-2599B,-2600B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-9799.0,-9800.0,-9799B,-9800B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-4300.0,-4299.0,-4300B,-4299B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-1600.0,-1599.0,-1600B,-1599B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-1699.0,-1700.0,-1699B,-1700B
10,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-6399.0,-6400.0,-6399B,-6400B
12,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-24999.0,-25000.0,-24999B,-25000B
12,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-78000.0,-77999.0,-78000B,-77999B
12,0,0,0,1,0.8888888888888888,1.0,0.8888888888888888,-68999.0,-69000.0,-68999B,-69000B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-280.0,-279.0,-280B,-279B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-860.0,-859.0,-860B,-859B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-829.0,-830.0,-829B,-830B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-690.0,-689.0,-690B,-689B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-389.0,-390.0,-389B,-390B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-880.0,-879.0,-880B,-879B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-730.0,-729.0,-730B,-729B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-520.0,-519.0,-520B,-519B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-540.0,-539.0,-540B,-539B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-190.0,-189.0,-190B,-189B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-759.0,-760.0,-759B,-760B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-340.0,-339.0,-340B,-339B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-270.0,-269.0,-270B,-269B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-430.0,-429.0,-430B,-429B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-959.0,-960.0,-959B,-960B
8,0,0,0,1,0.8571428571428572,1.0,0.8571428571428572,-160.0,-159.0,-160B,-159B
