bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
10,0,9,0,0,1.0,67.0,-43.0,67.0,-44.0,in,out,1.0,1.0
6,0,9,0,0,1.0,80.0,6.0,79.0,6.0,out,in,1.0,1.0
8,0,9,0,0,1.0,49.0,63.0,50.0,63.0,in,out,1.0,1.0
8,0,9,0,0,1.0,79.0,-9.0,80.0,-9.0,in,out,1.0,1.0
8,0,9,0,0,1.0,79.0,-4.0,80.0,-4.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-22.0,-76.0,-22.0,-77.0,in,out,1.0,1.0
8,0,9,0,0,1.0,78.0,14.0,79.0,14.0,in,out,1.0,1.0
8,0,9,0,0,1.0,74.0,31.0,73.0,31.0,out,in,1.0,1.0
10,0,9,0,0,1.0,16.0,-79.0,16.0,-78.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-39.0,70.0,-39.0,69.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-80.0,-2.0,-79.0,-2.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-78.0,-14.0,-79.0,-14.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-79.0,13.0,-79.0,12.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-34.0,72.0,-35.0,72.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-67.0,-43.0,-67.0,-44.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-16.0,78.0,-16.0,79.0,in,out,1.0,1.0
8,1,9,0,0,1.0,-79.0,8.0,-80.0,8.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-59.0,55.0,-58.0,55.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-57.0,-56.0,-58.0,-56.0,in,out,1.0,1.0
6,0,9,0,0,1.0,79.0,7.0,80.0,7.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-26.0,-75.0,-26.0,-76.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-67.0,-44.0,-66.0,-44.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-24.0,-76.0,-25.0,-76.0,in,out,1.0,1.0
8,0,9,0,0,1.0,79.0,11.0,80.0,11.0,in,out,1.0,1.0
10,0,9,0,0,1.0,69.0,-40.0,70.0,-40.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-45.0,-66.0,-45.0,-67.0,in,out,1.0,1.0
10,0,9,0,0,1.0,44.0,-67.0,44.0,-66.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-19.0,78.0,-19.0,77.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-14.0,78.0,-14.0,79.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-71.0,37.0,-71.0,36.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-25.0,76.0,-24.0,76.0,out,in,1.0,1.0
8,1,9,0,0,1.0,-80.0,3.0,-79.0,3.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-79.0,-3.0,-80.0,-3.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-72.0,36.0,-71.0,36.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-73.0,-33.0,-72.0,-33.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-35.0,-72.0,-34.0,-72.0,out,in,1.0,1.0
10,0,9,0,0,1.0,65.0,-46.0,65.0,-47.0,in,out,1.0,1.0
10,0,9,0,0,1.0,77.0,-20.0,78.0,-20.0,in,out,1.0,1.0
8,0,9,0,0,1.0,80.0,11.0,79.0,11.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-73.0,-33.0,-73.0,-32.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-63.0,50.0,-63.0,49.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-76.0,-26.0,-75.0,-26.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-66.0,-46.0,-66.0,-45.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-55.0,-59.0,-55.0,-58.0,out,in,1.0,1.0
8,0,9,0,0,1.0,80.0,-6.0,79.0,-6.0,out,in,1.0,1.0
8,1,9,0,0,1.0,4.0,-79.0,4.0,-80.0,in,out,1.0,1.0
10,0,9,0,0,1.0,39.0,-69.0,39.0,-70.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-77.0,22.0,-77.0,21.0,out,in,1.0,1.0
10,0,9,0,0,1.0,73.0,-34.0,72.0,-34.0,out,in,1.0,1.0
10,0,9,0,0,1.0,75.0,-27.0,76.0,-27.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-80.0,-7.0,-79.0,-7.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-73.0,33.0,-73.0,32.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-74.0,-29.0,-75.0,-29.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-49.0,-63.0,-49.0,-64.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-17.0,-78.0,-18.0,-78.0,in,out,1.0,1.0
8,0,9,0,0,1.0,64.0,47.0,65.0,47.0,in,out,1.0,1.0
10,0,9,0,0,1.0,26.0,-76.0,26.0,-75.0,out,in,1.0,1.0
10,0,9,0,0,1.0,68.0,-42.0,68.0,-43.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-24.0,76.0,-25.0,76.0,in,out,1.0,1.0
8,0,9,0,0,1.0,53.0,60.0,53.0,59.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-24.0,76.0,-24.0,77.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-67.0,44.0,-66.0,44.0,out,in,1.0,1.0
8,0,9,0,0,1.0,25.0,76.0,24.0,76.0,out,in,1.0,1.0
