bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
18,0,15,0,0,1.0,1.0,1.0,6003.0,82698.0,6002.0,82698.0,Normal,Overweight
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,2.0,1.0,2.0,0.0,Severely obese,Underweight
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,-1.0,1.0,0.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,48.0,-1.0,48.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
16,0,11,0,1,0.7071067811865476,1.0,0.7071067811865476,2176.0,8745.0,2177.0,8744.0,Normal,Underweight
6,0,20,0,1,0.5555838995037159,0.7857142857142857,0.7071067811865475,27.0,2.0,28.0,3.0,Obese,Severely obese
5,0,6,1,1,0.46226415094339623,0.9245283018867925,0.5,-1.0,0.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
18,0,18,0,1,0.4472135954999579,1.0,0.4472135954999579,6037.0,90987.0,6039.0,90988.0,Obese,Overweight
6,0,6,1,1,0.32687011583151726,0.6537402316630345,0.5,-1.0,-2.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
18,0,18,0,1,0.2773500981126146,1.0,0.2773500981126146,6096.0,92644.0,6093.0,92642.0,Overweight,Obese
6,0,13,0,1,0.22360679774997896,1.0,0.22360679774997896,28.0,2.0,24.0,0.0,Obese,Underweight
7,0,6,1,1,0.21791341055434485,0.9245283018867925,0.23570226039551587,27.0,1.0,24.0,-2.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,10,1,1,0.16747265870207706,0.6698906348083082,0.25,1.0,7.0,-3.0,11.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
16,0,11,0,1,0.14907119849998599,1.0,0.14907119849998599,1708.0,5358.0,1702.0,5355.0,Underweight,Normal
7,0,6,1,1,0.14618075976250056,0.9245283018867925,0.15811388300841897,53.0,-6.0,51.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,14,0,1,0.1422952349318048,0.9545454545454546,0.14907119849998596,28.0,3.0,22.0,0.0,Severely obese,Underweight
7,0,10,1,1,0.13397812696166164,0.9473684210526316,0.1414213562373095,3.0,17.0,-4.0,18.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
16,0,15,0,1,0.12403473458920845,1.0,0.12403473458920845,1841.0,7807.0,1848.0,7811.0,Overweight,Normal
7,0,10,1,1,0.08758424150924671,0.9473684210526316,0.09245003270420485,5.0,21.0,-1.0,12.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.07867466512459577,0.9473684210526316,0.08304547985373997,18.0,8.0,17.0,-4.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
5,0,14,0,1,0.07819941059499932,0.6749655638598863,0.11585688927269847,0.0,10.0,7.0,0.0,Severely obese,Underweight
7,0,14,0,1,0.07342657342657342,0.2315112784437724,0.3171619712013585,53.0,1.0,58.0,13.0,Underweight,Severely obese
7,0,14,0,1,0.07017957756349984,0.2315112784437724,0.3031367544391341,53.0,0.0,49.0,13.0,Underweight,Severely obese
6,1,10,1,1,0.06965191156678179,0.09473684210526316,0.7352146220938077,-11.0,0.0,0.0,8.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,1,6,1,1,0.0660377358490566,0.09245283018867925,0.7142857142857142,1.0,0.0,-13.0,0.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
5,0,14,0,1,0.06555845097551068,0.6749655638598863,0.09712858623572643,15.0,4.0,1.0,0.0,Severely obese,Underweight
7,0,20,0,1,0.06436822232649604,0.7857142857142857,0.08192319205190406,45.0,17.0,52.0,7.0,Severely obese,Obese
10,0,15,0,1,0.06388765649999399,1.0,0.06388765649999399,206.0,99.0,213.0,85.0,Overweight,Normal
8,0,10,1,1,0.05875329533173033,0.6698906348083082,0.08770580193070292,45.0,12.0,47.0,-4.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.05563138921718244,0.6698906348083082,0.08304547985373997,5.0,15.0,-12.0,14.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,15,0,1,0.05234239225902137,1.0,0.05234239225902137,323.0,218.0,321.0,237.0,Normal,Overweight
12,0,11,0,1,0.04975185951049946,1.0,0.04975185951049946,280.0,154.0,282.0,134.0,Normal,Underweight
9,0,6,1,1,0.04872691992083352,0.9245283018867925,0.05270462766947299,105.0,-2.0,123.0,4.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,0.0447090800383903,0.6698906348083082,0.06674086442659999,1.0,23.0,-19.0,30.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,14,0,1,0.04412387924518868,0.2315112784437724,0.19059062496562185,31.0,19.0,43.0,1.0,Severely obese,Underweight
8,0,6,1,1,0.04324760984249889,0.6537402316630345,0.06615412016556226,34.0,0.0,30.0,-21.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,7,1,1,0.04138853890168578,0.0789115139065715,0.5244930283645093,23.0,1.0,0.0,-2.0,Normal,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,18,0,1,0.0404888165089458,1.0,0.0404888165089458,322.0,292.0,331.0,269.0,Obese,Overweight
7,0,10,1,1,0.03780411558004526,0.9473684210526316,0.03990434422338111,10.0,-3.0,32.0,9.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.036960362272462285,0.9473684210526316,0.03901371573204352,1.0,62.0,-8.0,38.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.034252177550314136,0.07840476839390854,0.43686344914929015,-16.0,159.0,11.0,153.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,17,0,1,0.03367175148507369,0.2773500981126146,0.12140522651411391,50.0,32.0,71.0,11.0,Severely obese,Normal
16,0,15,0,1,0.03307706008278113,1.0,0.03307706008278113,1842.0,7597.0,1817.0,7614.0,Normal,Overweight
7,0,10,1,1,0.03253276514574214,0.9473684210526316,0.03434014098717226,16.0,2.0,44.0,-6.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.03236148879561261,0.9473684210526316,0.034159349284257755,30.0,-17.0,26.0,12.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,10,1,1,0.03150900498494555,0.6698906348083082,0.047036043419179864,-3.0,44.0,27.0,46.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.030496868525351866,0.9473684210526316,0.03219113899898252,-21.0,13.0,10.0,15.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.030170356829928097,0.9473684210526316,0.0318464877649241,8.0,79.0,-11.0,104.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.02969238035402634,0.9473684210526316,0.031341957040361135,38.0,13.0,21.0,-14.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,6,1,1,0.029091058491367998,0.6537402316630345,0.04449941594899848,90.0,5.0,97.0,-26.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.02865555492721122,0.9473684210526316,0.030247530200945175,-15.0,66.0,18.0,68.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.02838417715477799,0.9473684210526316,0.029961075885598987,15.0,-10.0,10.0,23.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,6,1,1,0.027051963267030178,0.6537402316630345,0.0413802944301184,91.0,-8.0,123.0,4.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,10,1,1,0.025765024415704163,0.9473684210526316,0.02719641466102106,-13.0,70.0,21.0,84.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
