bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,1.0,1.0,1.0,0,1B,0B
3,0,1,0,0,1.0,1.0,1.0,-1.0,0,-1B,0B
4,0,0,0,0,1.0,1.0,1.0,-4.0,-5,-4B,-5B
6,0,0,0,0,1.0,1.0,1.0,119.0,120,119B,120B
5,0,1,0,0,1.0,1.0,1.0,-9.0,-10,-9B,-10B
7,0,1,0,0,1.0,1.0,1.0,-99.0,-100,-99B,-100B
13,0,1,0,0,1.0,1.0,1.0,-100000.0,-99999,-100000B,-99999B
9,0,1,0,0,1.0,1.0,1.0,-1000.0,-999,-1000B,-999B
11,0,1,0,0,1.0,1.0,1.0,-10000.0,-9999,-10000B,-9999B
17,0,1,0,0,1.0,1.0,1.0,-9.999999e6,-10000000,-9999999B,-10000000B
12,0,2,0,0,1.0,1.0,1.0,999950.0,999949,1.0 MB,999.9 kB
15,0,1,0,0,1.0,1.0,1.0,-999999.0,-1000000,-999999B,-1000000B
23,0,1,0,0,1.0,1.0,1.0,-9.999999999e9,-10000000000,-9999999999B,-10000000000B
19,0,1,0,0,1.0,1.0,1.0,-9.9999999e7,-100000000,-99999999B,-100000000B
21,0,1,0,0,1.0,1.0,1.0,-1.0e9,-999999999,-1000000000B,-999999999B
24,0,2,0,0,1.0,1.0,1.0,9.9995e11,999949999999,1.0 TB,999.9 GB
18,0,2,0,0,1.0,1.0,1.0,9.99949999e8,999950000,999.9 MB,1.0 GB
27,0,1,0,0,1.0,1.0,1.0,-1.0e12,-999999999999,-1000000000000B,-999999999999B
25,0,1,0,0,1.0,1.0,1.0,-9.9999999999e10,-100000000000,-99999999999B,-100000000000B
37,0,1,0,0,1.0,1.0,1.0,-1.0e17,-100000000000000000,-99999999999999999B,-100000000000000000B
31,0,1,0,0,1.0,1.0,1.0,-1.0e14,-99999999999999,-100000000000000B,-99999999999999B
33,0,1,0,0,1.0,1.0,1.0,-1.0e15,-999999999999999,-1000000000000000B,-999999999999999B
29,0,1,0,0,1.0,1.0,1.0,-1.0e13,-9999999999999,-10000000000000B,-9999999999999B
30,0,2,0,0,1.0,1.0,1.0,9.9995e14,999949999999999,1.0 PB,999.9 TB
36,0,2,0,0,1.0,1.0,1.0,9.9995e17,999949999999999999,1.0 EB,999.9 PB
41,0,1,0,0,1.0,1.0,1.0,-1.0e19,-10000000000000000000,-9999999999999999999B,-10000000000000000000B
39,0,1,0,0,1.0,1.0,1.0,-1.0e18,-999999999999999999,-1000000000000000000B,-999999999999999999B
42,0,15,1,0,1.0,1.0,1.0,9.999999999999983e20,999999999999998341340,1000.0 EB,"BoundsError(""kMGTPE"", 7)"
35,0,1,0,0,1.0,1.0,1.0,-1.0e16,-10000000000000000,-9999999999999999B,-10000000000000000B
45,0,1,0,0,1.0,1.0,1.0,-1.0e21,-1000000000000000000000,-999999999999999999999B,-1000000000000000000000B
43,0,1,0,0,1.0,1.0,1.0,-1.0e20,-99999999999999999999,-100000000000000000000B,-99999999999999999999B
47,0,1,0,0,1.0,1.0,1.0,-1.0e22,-9999999999999999999999,-10000000000000000000000B,-9999999999999999999999B
55,0,1,0,0,1.0,1.0,1.0,-1.0e26,-100000000000000000000000000,-99999999999999999999999999B,-100000000000000000000000000B
51,0,1,0,0,1.0,1.0,1.0,-1.0e24,-999999999999999999999999,-1000000000000000000000000B,-999999999999999999999999B
61,0,1,0,0,1.0,1.0,1.0,-1.0e29,-100000000000000000000000000000,-99999999999999999999999999999B,-100000000000000000000000000000B
59,0,1,0,0,1.0,1.0,1.0,-1.0e28,-10000000000000000000000000000,-9999999999999999999999999999B,-10000000000000000000000000000B
53,0,1,0,0,1.0,1.0,1.0,-1.0e25,-9999999999999999999999999,-10000000000000000000000000B,-9999999999999999999999999B
65,0,1,0,0,1.0,1.0,1.0,-1.0e31,-9999999999999999999999999999999,-10000000000000000000000000000000B,-9999999999999999999999999999999B
57,0,1,0,0,1.0,1.0,1.0,-1.0e27,-1000000000000000000000000000,-999999999999999999999999999B,-1000000000000000000000000000B
63,0,1,0,0,1.0,1.0,1.0,-1.0e30,-1000000000000000000000000000000,-999999999999999999999999999999B,-1000000000000000000000000000000B
69,0,1,0,0,1.0,1.0,1.0,-1.0e33,-999999999999999999999999999999999,-1000000000000000000000000000000000B,-999999999999999999999999999999999B
49,0,1,0,0,1.0,1.0,1.0,-1.0e23,-99999999999999999999999,-100000000000000000000000B,-99999999999999999999999B
73,0,1,0,0,1.0,1.0,1.0,-1.0e35,-99999999999999999999999999999999999,-100000000000000000000000000000000000B,-99999999999999999999999999999999999B
79,0,1,0,0,1.0,1.0,1.0,-1.0e38,-100000000000000000000000000000000000000,-99999999999999999999999999999999999999B,-100000000000000000000000000000000000000B
67,0,1,0,0,1.0,1.0,1.0,-1.0e32,-100000000000000000000000000000000,-99999999999999999999999999999999B,-100000000000000000000000000000000B
71,0,1,0,0,1.0,1.0,1.0,-1.0e34,-10000000000000000000000000000000000,-9999999999999999999999999999999999B,-10000000000000000000000000000000000B
77,0,1,0,0,1.0,1.0,1.0,-1.0e37,-9999999999999999999999999999999999999,-10000000000000000000000000000000000000B,-9999999999999999999999999999999999999B
75,0,1,0,0,1.0,1.0,1.0,-1.0e36,-1000000000000000000000000000000000000,-999999999999999999999999999999999999B,-1000000000000000000000000000000000000B
16,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950001e7,99950000,100.0 MB,99.9 MB
28,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950000000001e13,99950000000000,100.0 TB,99.9 TB
22,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.995e10,99950000001,99.9 GB,100.0 GB
10,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,99950.0,99951,99.9 kB,100.0 kB
40,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.995e19,99950000000000001000,99.9 EB,100.0 EB
34,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9950000000001e16,99950000000001000,99.9 PB,100.0 PB
42,0,1,0,1,0.8181818181818181,0.8181818181818181,1.0,9.9995e20,999949999999999999999,1000.0 EB,999.9 EB
26,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e12,9950000000001,9.9 TB,10.0 TB
20,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e9,9950000001,9.9 GB,10.0 GB
14,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e6,9950001,9.9 MB,10.0 MB
32,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.950000000001e15,9950000000001000,9.9 PB,10.0 PB
38,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9.95e18,9950000000000001000,9.9 EB,10.0 EB
8,0,1,0,1,0.7777777777777778,0.7777777777777778,1.0,9950.0,9951,9.9 kB,10.0 kB
8,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-125.0,-124,-125B,-124B
12,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-99997.0,-99998,-99997B,-99998B
22,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.999999998e9,-9999999997,-9999999998B,-9999999997B
16,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.999998e6,-9999997,-9999998B,-9999997B
18,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.9999998e7,-99999997,-99999998B,-99999997B
14,0,0,0,1,0.6666666666666667,0.8888888888888888,0.7500000000000001,-999997.0,-999998,-999997B,-999998B
10,0,0,0,1,0.6666666666666667,1.0,0.6666666666666667,-9997.0,-9998,-9997B,-9998B
24,0,0,0,1,0.6666666666666667,0.7,0.9523809523809526,-9.9999999998e10,-99999999997,-99999999998B,-99999999997B
26,0,0,0,1,0.6666666666666667,0.6666666666666667,1.0,-9.99999999998e11,-999999999997,-999999999998B,-999999999997B
20,0,0,0,1,0.6666666666666667,0.7777777777777778,0.8571428571428572,-9.99999997e8,-999999998,-999999997B,-999999998B
36,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e17,-99999999999999997,-99999999999999998B,-99999999999999997B
40,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e19,-9999999999999999997,-9999999999999999998B,-9999999999999999997B
30,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-9.9999999999998e13,-99999999999997,-99999999999998B,-99999999999997B
28,0,0,0,1,0.6666666666666667,0.8,0.8333333333333334,-9.999999999997e12,-9999999999998,-9999999999997B,-9999999999998B
32,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-9.99999999999998e14,-999999999999997,-999999999999998B,-999999999999997B
38,0,0,0,1,0.6666666666666667,0.6666666666666667,1.0,-1.0e18,-999999999999999997,-999999999999999998B,-999999999999999997B
44,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e21,-999999999999999999998,-999999999999999999997B,-999999999999999999998B
42,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e20,-99999999999999999998,-99999999999999999997B,-99999999999999999998B
46,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e22,-9999999999999999999998,-9999999999999999999997B,-9999999999999999999998B
50,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e24,-999999999999999999999997,-999999999999999999999998B,-999999999999999999999997B
34,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-9.999999999999996e15,-9999999999999998,-9999999999999997B,-9999999999999998B
58,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e28,-9999999999999999999999999997,-9999999999999999999999999998B,-9999999999999999999999999997B
64,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e31,-9999999999999999999999999999996,-9999999999999999999999999999997B,-9999999999999999999999999999996B
60,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e29,-99999999999999999999999999998,-99999999999999999999999999997B,-99999999999999999999999999998B
48,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e23,-99999999999999999999997,-99999999999999999999998B,-99999999999999999999997B
54,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e26,-99999999999999999999999998,-99999999999999999999999997B,-99999999999999999999999998B
72,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e35,-99999999999999999999999999999999991,-99999999999999999999999999999999992B,-99999999999999999999999999999999991B
56,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e27,-999999999999999999999999997,-999999999999999999999999998B,-999999999999999999999999997B
52,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e25,-9999999999999999999999997,-9999999999999999999999998B,-9999999999999999999999997B
62,0,0,0,1,0.6666666666666667,0.6666666666666667,1.0,-1.0e30,-999999999999999999999999999997,-999999999999999999999999999998B,-999999999999999999999999999997B
66,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e32,-99999999999999999999999999999997,-99999999999999999999999999999998B,-99999999999999999999999999999997B
78,0,0,0,1,0.6666666666666667,0.6666666666666667,1.0,-1.0e38,-99999999999999999999999999999999999998,-99999999999999999999999999999999999997B,-99999999999999999999999999999999999998B
68,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e33,-999999999999999999999999999999997,-999999999999999999999999999999998B,-999999999999999999999999999999997B
76,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e37,-9999999999999999999999999999999999997,-9999999999999999999999999999999999998B,-9999999999999999999999999999999999997B
70,0,0,0,1,0.6666666666666667,0.7142857142857143,0.9333333333333335,-1.0e34,-9999999999999999999999999999999997,-9999999999999999999999999999999998B,-9999999999999999999999999999999997B
74,0,0,0,1,0.6666666666666667,0.75,0.888888888888889,-1.0e36,-999999999999999999999999999999999997,-999999999999999999999999999999999998B,-999999999999999999999999999999999997B
80,0,0,0,1,0.5714285714285714,0.6666666666666667,0.857142857142857,-1.0e38,-100000000000000000000000000000000000001,-100000000000000000000000000000000000002B,-100000000000000000000000000000000000001B
22,0,0,0,1,0.5,0.8,0.625,8.335e10,83350000001,83.3 GB,83.4 GB
26,0,0,0,1,0.47058823529411764,0.6666666666666667,0.7058823529411764,-3.24142662299e11,-324142662300,-324142662299B,-324142662300B
26,0,0,0,1,0.47058823529411764,0.6666666666666667,0.7058823529411764,-7.872256104e11,-787225610399,-787225610400B,-787225610399B
26,0,0,0,1,0.47058823529411764,0.6666666666666667,0.7058823529411764,-9.54563359099e11,-954563359100,-954563359099B,-954563359100B
26,0,0,0,1,0.47058823529411764,0.6666666666666667,0.7058823529411764,-9.497638474e11,-949763847399,-949763847400B,-949763847399B
32,0,0,0,1,0.47058823529411764,0.75,0.6274509803921569,-5.729129122756e14,-572912912275599,-572912912275600B,-572912912275599B
26,0,0,0,1,0.46153846153846156,0.6666666666666667,0.6923076923076923,-1.1322322356e11,-113223223559,-113223223560B,-113223223559B
24,0,0,0,1,0.4444444444444444,0.7,0.6349206349206349,3.63250000001e11,363250000000,363.3 GB,363.2 GB
30,0,0,0,1,0.4444444444444444,0.7142857142857143,0.6222222222222221,-5.29878711832e13,-52987871183199,-52987871183200B,-52987871183199B
26,0,0,0,1,0.4375,0.6666666666666667,0.6562499999999999,-3.25728673299e11,-325728673300,-325728673299B,-325728673300B
