bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
8,0,9,0,0,1.0,29.0,74.0,29.0,75.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-74.0,32.0,-73.0,32.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-79.0,-9.0,-80.0,-9.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-78.0,13.0,-79.0,13.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-45.0,67.0,-45.0,66.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-68.0,43.0,-67.0,43.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-7.0,-80.0,-7.0,-79.0,out,in,1.0,1.0
10,0,9,0,0,1.0,22.0,-76.0,22.0,-77.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-32.0,-73.0,-33.0,-73.0,in,out,1.0,1.0
10,0,9,0,0,1.0,36.0,-71.0,37.0,-71.0,in,out,1.0,1.0
8,0,9,0,0,1.0,75.0,27.0,76.0,27.0,in,out,1.0,1.0
6,0,9,0,0,1.0,80.0,1.0,80.0,0.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-30.0,75.0,-30.0,74.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-20.0,-78.0,-20.0,-77.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-40.0,-69.0,-40.0,-70.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-31.0,-74.0,-31.0,-73.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-10.0,-79.0,-10.0,-80.0,in,out,1.0,1.0
10,0,9,0,0,1.0,19.0,-77.0,19.0,-78.0,in,out,1.0,1.0
12,0,9,0,0,1.0,-36.0,-72.0,-36.0,-71.0,out,in,1.0,1.0
10,0,9,0,0,1.0,56.0,-57.0,56.0,-58.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-6.0,-79.0,-6.0,-80.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-75.0,28.0,-74.0,28.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-24.0,-76.0,-24.0,-77.0,in,out,1.0,1.0
8,1,9,0,0,1.0,5.0,-80.0,5.0,-79.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-19.0,-78.0,-19.0,-77.0,out,in,1.0,1.0
10,0,9,0,0,1.0,32.0,-74.0,32.0,-73.0,out,in,1.0,1.0
10,0,9,0,0,1.0,20.0,-78.0,20.0,-77.0,out,in,1.0,1.0
8,1,9,0,0,1.0,2.0,-79.0,2.0,-80.0,in,out,1.0,1.0
10,0,9,0,0,1.0,-80.0,10.0,-79.0,10.0,out,in,1.0,1.0
12,0,9,0,0,1.0,-13.0,-79.0,-13.0,-78.0,out,in,1.0,1.0
10,0,9,0,0,1.0,-66.0,45.0,-66.0,46.0,in,out,1.0,1.0
8,1,9,0,0,1.0,1.0,-80.0,1.0,-79.0,out,in,1.0,1.0
