bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,14,0,1,1.2935348439334202,0.0,1835109,0.9545454545454546,0.9545454545454546,1.0,2,0,2,1,Underweight,Severely obese
5,0,10,1,1,4.229996248333471,-0.5,6188851,0.9473684210526316,0.9473684210526316,1.0,0,-1,0,0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,6,1,1,2.537458924040787,-0.5,2683890,0.9245283018867925,0.9245283018867925,1.0,1,-1,1,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,11,0,1,4.7907242868417494,0.0,15308884,0.4472135954999579,1.0,0.4472135954999579,19,0,21,1,Underweight,Normal
6,0,6,1,1,2.912903581567769,-0.5,2843416,0.2923615195250011,0.6537402316630345,0.4472135954999579,1,0,-2,-1,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,6,1,1,5.033181585678386,0.0,21321035,0.22423104956189274,0.9245283018867925,0.24253562503633297,18,0,14,-1,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,14,0,1,3.2824281815767473,-0.5,5754610,0.21344285239770722,0.9545454545454546,0.223606797749979,11,0,15,2,Underweight,Severely obese
6,0,10,1,1,0.21518805736311364,0.0,1753845,0.14122534594735514,0.6698906348083082,0.21081851067789195,5,1,-1,-2,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,7,1,1,3.0556990342412313,2.0,2900787,0.13186614139074146,0.48,0.27472112789737807,14,-1,21,1,"DomainError(""Height or Weight cannot be negative."", """")",Normal
5,0,14,0,1,0.3336173850253118,-0.5,1776269,0.1183967921078808,0.6749655638598863,0.17541160386140586,3,1,11,0,Severely obese,Underweight
7,0,10,1,1,1.57211836679104,-0.5,2403839,0.08577070677712283,0.9473684210526316,0.09053574604251853,0,1,-1,-10,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,6,1,1,1.4764559924804452,0.0,2268157,0.0826923252056526,0.09245283018867925,0.8944271909999159,0,-10,5,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,1,10,1,1,2.620266617095958,0.0,2818400,0.07265984104869826,0.09473684210526316,0.7669649888473704,0,1,-13,0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,5.0921269479998,0.0,28790389,0.0550646709839144,0.6698906348083082,0.08219949365267865,-10,-4,0,10,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,14,0,1,1.3844719088129376,0.0,1994070,0.04969165151001102,0.2315112784437724,0.2146403054055949,27,15,15,0,Severely obese,Underweight
8,1,10,1,1,4.281780545603118,1.0,6554775,0.03780411558004526,0.06698906348083082,0.5643326479831003,-22,-11,0,1,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,6,1,1,1.327541638353198,-0.5,1867322,0.03384938610469095,0.6537402316630345,0.05177803730784977,-13,11,12,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
10,0,11,0,1,4.340334079729156,0.0,13451149,0.029411764705882353,1.0,0.029411764705882353,207,48,207,82,Underweight,Normal
9,0,13,0,1,4.243975910937976,0.0,6443444,0.013867504905630728,0.15811388300841897,0.08770580193070292,149,60,109,0,Obese,Underweight
8,0,13,0,1,0.06148861971301372,0.0,1542151,0.013678111675535445,0.2773500981126146,0.04931713299766571,128,13,55,9,Underweight,Obese
9,0,10,1,1,4.808868230534114,0.0,21150095,0.012797602743749192,0.9473684210526316,0.01350858067395748,-56,-25,2,21,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,14,0,1,0.04781050803658097,0.0,1540807,0.011706267593754906,0.15692630606420468,0.07459722902650505,58,69,103,1,Severely obese,Underweight
10,0,13,0,1,3.0689756469051113,0.0,5570395,0.01131117507947817,0.15811388300841897,0.07153815252817422,136,23,190,93,Underweight,Obese
9,0,11,0,1,4.31091988491854,0.0,12899499,0.010037712264569912,0.7071067811865476,0.014195468819753521,149,1,207,82,Underweight,Normal
6,1,14,0,1,1.6059442375586384,-0.5,2592637,0.009545454545454546,0.01048951048951049,0.91,0,2,100,2,Severely obese,Underweight
8,2,10,1,1,2.546149852456844,-0.5,2688902,0.008689990688995113,0.009473210561839146,0.9173226576426928,1,1,-1,-108,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,2,6,1,1,1.4853082425167636,0.0,2298873,0.008254716981132075,0.009245283018867925,0.8928571428571428,-109,0,3,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,2,6,1,1,1.5928984327983482,-0.5,2532094,0.007666167031492054,0.009168136839588425,0.8361750228671546,2,0,-10,-120,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,1,10,1,1,0.02106301948453113,0.0,1403297,0.007598424297083228,0.009473684210526316,0.8020558980254519,1,14,14,-110,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,2,6,1,1,1.6128582412550483,0.0,2613008,0.006913146147417917,0.009243434516796292,0.747897995583352,-126,14,7,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
7,2,10,1,1,1.5850178424409354,-0.5,2511789,0.0063135450566006585,0.009473684210526316,0.6664297559745139,0,1,4,-149,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,6,1,1,0.010923482863375997,-0.5,1340497,0.006163385049988184,0.062190503595885495,0.09910492267497817,-18,0,132,1,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
12,0,17,0,1,4.293928277808188,0.0,8796122,0.0059438579301791,0.04873701788285793,0.12195776820948473,308,300,437,408,Severely obese,Normal
10,0,10,1,1,0.0739627114125847,-0.5,1748084,0.005913434751396012,0.0861244019138756,0.0686615479467648,127,50,-2,-45,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,14,0,1,4.287978498009742,0.0,8512222,0.005465711372996015,0.08862732049359294,0.06167072797141761,39,160,109,0,Severely obese,Underweight
9,2,10,1,1,2.9183327847151532,1.0,2866857,0.0054026073602092195,0.009426668117778845,0.573119504442913,-153,-76,2,6,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,6,1,1,1.3337506766252354,-0.5,1903047,0.00527192721159388,0.6537402316630345,0.008064253898192477,123,7,-2,-116,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,13,0,1,0.3387788171415236,0.0,1778672,0.0051614321162118315,0.3333333333333333,0.015484296348635495,1,0,177,81,Underweight,Obese
