bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
3,0,1,0,0,1.0,-137.5,8282,1.0,1.0,1.0,0,-1,0B,-1B
2,0,0,0,0,2.0,-137.5,10584,1.0,1.0,1.0,1,0,1B,0B
4,0,0,0,0,3.0,-137.5,77418,1.0,1.0,1.0,-2,-1,-2B,-1B
6,0,0,0,0,4.1018147298286065,-137.5,3501925,1.0,1.0,1.0,-20,-19,-20B,-19B
5,0,1,0,0,5.185656368916119,-137.5,22951758,1.0,1.0,1.0,-10,-9,-10B,-9B
11,0,1,0,0,6.85405393897631,-137.5,63464873,1.0,1.0,1.0,-9999,-10000,-9999B,-10000B
15,0,1,0,0,8.35405393897631,-137.5,63536692,1.0,1.0,1.0,-1000000,-999999,-1000000B,-999999B
25,0,1,0,0,9.35405393897631,-137.5,65080008,1.0,1.0,1.0,-100000000000,-99999999999,-100000000000B,-99999999999B
13,0,1,0,0,11.172235757158129,-137.5,66538916,1.0,1.0,1.0,-100000,-99999,-100000B,-99999B
23,0,1,0,0,13.616680201692196,-137.5,67020456,1.0,1.0,1.0,-9999999999,-10000000000,-9999999999B,-10000000000B
49,0,1,0,0,14.616680201692196,-137.5,67128576,1.0,1.0,1.0,-99999999999999999999999,-100000000000000000000000,-99999999999999999999999B,-100000000000000000000000B
42,0,15,1,0,15.616680201692196,-137.5,67164573,1.0,1.0,1.0,999999999999998341339,999999999999998341340,1000.0 EB,"BoundsError(""kMGTPE"", 7)"
33,0,1,0,0,17.283346868359807,-137.5,68576146,1.0,1.0,1.0,-999999999999999,-1000000000000000,-999999999999999B,-1000000000000000B
69,0,1,0,0,19.616680201700802,-137.5,68902694,1.0,1.0,1.0,-1000000000000000000000000000000000,-999999999999999999999999999999999,-1000000000000000000000000000000000B,-999999999999999999999999999999999B
47,0,1,0,0,21.283346868367467,-137.5,68920657,1.0,1.0,1.0,-9999999999999999999999,-10000000000000000000000,-9999999999999999999999B,-10000000000000000000000B
24,0,2,0,0,22.28334686836747,-137.5,69053377,1.0,1.0,1.0,999950000000,999949999999,1.0 TB,999.9 GB
30,0,2,0,0,23.28334686836747,-137.5,69859925,1.0,1.0,1.0,999949999999999,999950000000000,999.9 TB,1.0 PB
19,0,1,0,0,25.616680210809132,-137.5,70316413,1.0,1.0,1.0,-99999999,-100000000,-99999999B,-100000000B
35,0,1,0,0,26.61668021090105,-137.5,70866775,1.0,1.0,1.0,-10000000000000000,-9999999999999999,-10000000000000000B,-9999999999999999B
45,0,1,0,0,27.61668021090105,-137.5,71002422,1.0,1.0,1.0,-1000000000000000000000,-999999999999999999999,-1000000000000000000000B,-999999999999999999999B
55,0,1,0,0,29.283346877567716,-137.5,71071949,1.0,1.0,1.0,-100000000000000000000000000,-99999999999999999999999999,-100000000000000000000000000B,-99999999999999999999999999B
