bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
6,0,11,0,0,8.19570182078359,-1238.0,4598242,1.0,1.0,1.0,32,2,32,1,Normal,Underweight
8,0,11,0,0,9.19570182078359,-1143.0,4638252,1.0,1.0,1.0,95,17,96,17,Normal,Underweight
6,0,13,0,0,10.19570182078359,-1197.5,4641846,1.0,1.0,1.0,26,1,26,2,Underweight,Obese
6,0,16,0,0,11.239139045059897,-1149.0,4698544,1.0,1.0,1.0,32,3,32,2,Obese,Normal
6,0,15,0,0,13.186624437490197,-1142.5,4776179,1.0,1.0,1.0,37,3,36,3,Normal,Overweight
10,0,15,0,0,16.21039788534341,-1168.5,4885173,1.0,1.0,1.0,103,25,103,24,Overweight,Normal
10,0,18,0,0,17.885363449203297,-1164.0,4943169,1.0,1.0,1.0,104,26,104,27,Overweight,Obese
8,0,15,0,0,18.885363449203297,-1114.0,5129204,1.0,1.0,1.0,92,19,92,20,Normal,Overweight
8,0,18,0,0,19.885363449203297,-1118.5,5176893,1.0,1.0,1.0,91,21,92,21,Obese,Overweight
10,0,11,0,0,25.796772940605376,-1042.0,6837794,1.0,1.0,1.0,104,20,104,19,Normal,Underweight
6,0,18,0,0,31.82855959439437,-561.0,16697251,1.0,1.0,1.0,53,8,53,7,Obese,Overweight
14,0,15,0,0,33.538259073028634,-476.0,18806247,1.0,1.0,1.0,799,1462,798,1462,Normal,Overweight
14,0,18,0,0,35.17200350558945,-408.5,19505795,1.0,1.0,1.0,758,1437,759,1437,Obese,Overweight
4,0,14,0,1,0.9553844526738664,-1193.0,1334113,0.9545454545454546,0.9545454545454546,1.0,1,0,0,0,Underweight,Severely obese
6,0,14,0,1,5.483499868719432,-1153.5,4426045,0.9545454545454546,0.9545454545454546,1.0,15,1,15,0,Severely obese,Underweight
5,0,10,1,1,1.9866459974930843,-1145.5,4356041,0.9473684210526316,0.9473684210526316,1.0,0,-1,0,0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,4.5289544141739775,-1130.0,4419142,0.9473684210526316,0.9473684210526316,1.0,0,11,-1,11,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,12.186624437490197,-1106.0,4762718,0.9473684210526316,0.9473684210526316,1.0,0,185,-1,185,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,4,10,1,1,30.736874776359283,-744.5,11960297,0.9473684210526316,0.9473684210526316,1.0,-1,34568,0,34568,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,6,1,1,3.581064934188185,-1103.5,4372390,0.9245283018867925,0.9245283018867925,1.0,1,-1,1,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
7,0,6,1,1,7.195701820783591,-1109.0,4524383,0.9245283018867925,0.9245283018867925,1.0,15,0,15,-1,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,6,1,1,23.026950517861753,-1003.5,5888129,0.9245283018867925,0.9245283018867925,1.0,104,-1,104,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,19,0,1,14.086624437490197,-962.5,4834884,0.9,0.9,1.0,36,3,36,4,Overweight,Severely obese
6,0,20,0,1,6.2711735188967985,-913.5,4448972,0.7857142857142857,0.7857142857142857,1.0,26,3,26,2,Severely obese,Obese
10,0,20,0,1,20.69969451907356,-857.0,5510145,0.7857142857142857,0.7857142857142857,1.0,101,30,100,30,Obese,Severely obese
8,0,20,0,1,22.10242221597496,-833.5,5841103,0.7857142857142857,0.7857142857142857,1.0,99,29,98,29,Obese,Severely obese
14,0,20,0,1,36.72076296814535,-285.0,20659967,0.7857142857142857,0.7857142857142857,1.0,697,1453,696,1453,Obese,Severely obese
12,0,20,0,1,38.18542496915613,-166.5,24462192,0.7857142857142857,0.7857142857142857,1.0,440,581,441,581,Severely obese,Obese
6,0,17,0,1,15.210397885343411,-834.0,4849428,0.7071067811865476,1.0,0.7071067811865476,36,4,37,3,Severely obese,Normal
9,0,15,0,1,24.718201512033946,-715.5,6764751,0.7071067811865476,0.7071067811865476,1.0,100,23,99,22,Overweight,Normal
