bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,-14118.0,3884,1.0,1.0,1.0,0,1,0B,1B
3,0,1,0,0,2.0000000000014397,-14308.5,17621,1.0,1.0,1.0,0,-1,0B,-1B
4,0,0,0,0,3.090909090919073,-14405.0,60063,1.0,1.0,1.0,-2,-1,-2B,-1B
6,0,0,0,0,4.105147425140127,-14243.5,2785017,1.0,1.0,1.0,-29,-30,-29B,-30B
5,0,1,0,0,5.107242251972482,-14311.5,3004595,1.0,1.0,1.0,-10,-9,-10B,-9B
7,0,1,0,0,7.523908918639149,-14112.5,3300653,1.0,1.0,1.0,-99,-100,-99B,-100B
9,0,1,0,0,8.52390891863915,-13511.5,3876757,1.0,1.0,1.0,-1000,-999,-1000B,-999B
7,0,2,0,0,9.52390891863915,-12706.5,5215268,1.0,1.0,1.0,1000,999,1.0 kB,999B
11,0,1,0,0,11.468756914334602,-7176.0,14854705,1.0,1.0,1.0,-9999,-10000,-9999B,-10000B
10,0,0,0,1,6.523908918639149,-10724.0,3075643,0.75,1.0,0.75,-1289,-1290,-1289B,-1290B
8,0,0,0,1,5.773908918639149,-9418.5,3006232,0.6666666666666667,1.0,0.6666666666666667,-124,-125,-124B,-125B
12,0,0,0,1,10.024312469890159,-5016.0,9914881,0.5,1.0,0.5,-10126,-10125,-10126B,-10125B
14,0,0,0,1,10.468756914334602,-3673.0,13177305,0.4444444444444444,0.8888888888888888,0.5,-215477,-215478,-215477B,-215478B
4,2,2,0,1,2.0909090909190713,-1348.5,27129,0.09090909090909091,0.09090909090909091,1.0,1,-10,1B,-10B
6,2,2,0,1,11.480606532527778,-2.0,29286915,0.01098901098901099,0.01098901098901099,1.0,-9,-100,-9B,-100B
5,4,3,0,1,3.100917269361197,-138.5,368256,0.009900990099009901,0.009900990099009901,1.0,-100,1,-100B,1B
8,2,2,0,1,4.106185846749819,-11.5,2803634,0.0010384215991692627,0.0011098779134295228,0.9356178608515057,-74,-1037,-74B,-1037B
6,2,3,0,1,3.103067934367662,-12.0,843790,0.001026694045174538,0.0011098779134295228,0.9250513347022588,38,1012,38B,1.0 kB
7,4,3,0,1,3.101929828721638,-15.0,419541,0.001004016064257028,0.0010090817356205853,0.9949799196787148,-5,-1001,-5B,-1001B
5,4,4,0,1,3.104070943564396,-12.5,880619,0.0010030090270812437,0.0010090817356205853,0.9939819458375125,3,1000,3B,1.0 kB
6,8,4,0,1,4.107195601878946,-13.5,2898976,0.000999000999000999,0.000999000999000999,1.0,-1001,0,-1001B,0B
8,0,1,0,1,11.469617521538767,0.5,28054295,0.0008116883116883117,0.7777777777777778,0.0010435992578849721,-138,1094,-138B,1.1 kB
9,0,0,0,1,9.524312469890159,-3.5,9134035,0.0004035512510088781,0.00980392156862745,0.04116222760290557,1463,-1015,1.5 kB,-1015B
8,2,3,0,1,3.102037979011647,-2.0,485893,0.00010813148788927336,0.00011108642523883582,0.9733996539792388,10105,857,10.1 kB,857B
10,2,2,0,1,3.1045141201014292,-1.0,1938839,0.00010344470880314473,0.000111000111000111,0.9319333816075308,-367,-10034,-367B,-10034B
5,4,5,0,1,3.104390704038774,-1.5,1727262,0.00010049241282283188,0.00010058338362502515,0.9990955682845946,9951,0,10.0 kB,0B
6,2,4,0,1,3.1051365034473464,-1.0,2630844,0.00010006003602161297,0.00010150223304912708,0.9857914748849309,-1,9993,-1B,10.0 kB
6,8,5,0,1,3.10417090120944,-1.5,941953,9.995002498750625e-5,0.00010009008107296567,0.998600699650175,0,10005,0B,10.0 kB
7,4,4,0,1,3.1047976024731714,-0.5,2155389,9.96512207274539e-5,0.000100999899000101,0.9866467364225211,44,10079,44B,10.1 kB
8,8,4,0,1,3.1048966431441665,-2.5,2230888,9.902951079421667e-5,0.00010009008107296567,0.9894038423450188,-10103,-5,-10103B,-5B
7,12,5,0,1,3.104695560598477,-1.0,2106568,9.871668311944718e-5,9.999000099990002e-5,0.9872655478775912,-10129,1,-10129B,1B
9,4,3,0,1,3.105036443317564,-1.5,2588423,9.845426799251748e-5,0.00010098969905069682,0.9748941616619081,-10036,121,-10036B,121B
9,0,2,0,1,3.1042717847185006,-1.0,1342802,9.338812103100486e-5,9.890218573830482e-5,0.9442472917444901,10075,-633,10.1 kB,-633B
