bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
12,0,9,0,0,3.857454791452877,-2306.5,3438191,1.0,1.0,1.0,-77,-22,-76,-22,out,in
10,0,9,0,0,4.857454791452877,-2351.0,3537313,1.0,1.0,1.0,80,-12,79,-12,out,in
8,0,9,0,0,5.858106981747937,-2192.5,3707625,1.0,1.0,1.0,13,79,13,78,out,in
6,0,9,0,0,6.858106981747937,-2246.5,3795681,1.0,1.0,1.0,80,0,80,1,in,out
7,0,9,0,0,7.858106981747937,-2232.5,3797569,1.0,1.0,1.0,80,-1,80,0,out,in
8,1,9,0,0,8.865129758434199,-2219.5,4467510,1.0,1.0,1.0,1,-79,1,-80,in,out
9,0,9,0,0,9.865129758434199,-2158.0,4587831,1.0,1.0,1.0,0,-80,-1,-80,in,out
5,0,5,1,1,1.0123217283684958,-2321.0,253623,0.9811320754716981,0.9811320754716981,1.0,-1,0,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
4,0,5,1,1,2.002217039405065,-2270.0,286711,0.9811320754716981,0.9811320754716981,1.0,1,0,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
11,0,9,0,1,10.572236539620746,-1405.0,6363663,0.7071067811865476,0.7071067811865476,1.0,-9,-79,-10,-80,in,out
6,0,5,1,1,2.848977968354835,-1601.5,2132380,0.6937651438056692,0.6937651438056692,1.0,0,0,-1,-1,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
6,1,5,1,1,2.1007488089283157,-234.0,459901,0.09811320754716982,0.09811320754716982,1.0,0,0,-10,0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
7,0,5,1,1,10.825194405702034,-87.0,18522151,0.09762629036022535,0.09762629036022535,1.0,-1,-10,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
10,1,9,0,1,10.932935707658785,-30.5,26315120,0.09578262852211514,0.1,0.9578262852211513,-10,-83,0,-80,out,in
8,1,5,1,1,10.98996285119349,-13.5,27620809,0.0570271435347038,0.06937651438056693,0.8219949365267865,-10,-14,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
9,2,9,0,1,10.71759252567039,-43.0,17271737,0.04343722427630694,0.05,0.8687444855261387,0,-101,1,-78,out,in
13,0,9,0,1,10.66203916937689,-78.5,10683762,0.04163054471218133,0.047619047619047616,0.8742414389558081,-19,-77,-18,-101,in,out
11,1,9,0,1,10.60822732715818,-72.5,6521036,0.035990787537434725,0.04218245406095978,0.8532170149565694,-13,-102,1,-78,out,in
5,0,9,0,1,2.1421645221490055,-26.5,1152873,0.013867504905630728,0.014084507042253521,0.9845928482997817,0,9,4,81,in,out
6,1,9,0,1,11.002285076255909,-1.0,27789510,0.012322225062419364,0.0125,0.9857780049935491,0,-81,5,0,out,in
6,1,6,1,1,0.01211616703351283,-20.0,127214,0.012116132017194033,0.012267560152816277,0.9876562141341951,0,0,1,-81,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
5,0,6,1,1,10.674155301394084,-9.0,17151910,0.012116132017194033,0.012267560152816277,0.9876562141341951,1,81,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
14,0,9,0,1,10.620244162520702,-14.5,8310707,0.012016835362522193,0.015809412247806517,0.7601063957446915,-106,-101,-61,-31,out,in
6,0,6,1,1,10.83715307913667,-5.5,24592132,0.011750267355611445,0.012267560152816277,0.9578324629542512,44,71,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
