bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
6,0,35,1,0,2.3224977606544153,-851.5,4277594,1.0,1.0,1.0,1,1,0,1,0,0,0000-01-01,"ArgumentError(""Month: 0 out of range (1:12)"")"
6,0,33,1,0,3.899420837577492,-841.0,4284093,1.0,1.0,1.0,0,1,0,1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",0000-01-01
8,0,34,1,0,6.553741214263998,-786.0,4307983,1.0,1.0,1.0,1,0,-1,1,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
8,0,32,1,0,8.925555723993414,-803.0,4353445,1.0,1.0,1.0,1,1,-1,0,1,-1,0001-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
14,1,32,1,0,14.230781812527027,-828.5,4600383,1.0,1.0,1.0,1,12,-169,0,12,-169,0169-12-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,1,32,1,0,17.153004559170615,-833.0,4722421,1.0,1.0,1.0,0,7,-49,1,7,-49,"ArgumentError(""Day: 0 out of range (1:31)"")",0049-07-01
12,0,32,1,0,19.803759934368006,-788.0,4790030,1.0,1.0,1.0,0,10,-47,1,10,-47,"ArgumentError(""Day: 0 out of range (1:31)"")",0047-10-01
12,2,32,1,0,22.622567821526417,-763.0,4908255,1.0,1.0,1.0,1,9,-178,0,9,-178,0178-09-01,"ArgumentError(""Day: 0 out of range (1:30)"")"
10,1,34,1,0,31.541150815641373,-717.5,6367922,1.0,1.0,1.0,2,0,-56,2,1,-56,"ArgumentError(""Month: 0 out of range (1:12)"")",0056-01-02
12,0,35,1,0,40.257208806114875,-311.5,19093740,1.0,1.0,1.0,18,0,253,18,1,253,"ArgumentError(""Month: 0 out of range (1:12)"")",0253-01-18
10,1,35,1,0,44.86182464663464,-13.0,29416196,1.0,1.0,1.0,9,0,227,9,1,227,"ArgumentError(""Month: 0 out of range (1:12)"")",0227-01-09
14,1,35,1,1,13.230781812527027,-768.5,4559716,0.9803921568627451,1.0,0.9803921568627451,3,13,-166,3,12,-166,"ArgumentError(""Month: 13 out of range (1:12)"")",0166-12-03
10,0,36,1,1,29.62319540184239,-720.5,5990603,0.9803921568627451,0.9803921568627451,1.0,7,12,41,7,13,41,0041-12-07,"ArgumentError(""Month: 13 out of range (1:12)"")"
14,0,35,1,1,35.067216288402165,-568.5,10508833,0.9803921568627451,0.9807692307692307,0.9996155324875048,10,12,-33,10,13,-33,0033-12-10,"ArgumentError(""Month: 13 out of range (1:12)"")"
