bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,0.0,988481,1.0,1.0,1.0,3,2,3B,2B
3,0,1,0,0,2.0000000000000098,0.0,3776689,1.0,1.0,1.0,-1,0,-1B,0B
4,0,0,0,0,3.0000000000000098,0.0,3781184,1.0,1.0,1.0,-1,-2,-1B,-2B
5,0,1,0,0,4.129800749014279,0.0,7742166,1.0,1.0,1.0,-10,-9,-10B,-9B
6,0,0,0,0,5.130303217168181,0.0,12854401,1.0,1.0,1.0,120,119,120B,119B
8,0,0,0,1,5.482273990928526,0.0,18089153,0.33333333333333337,1.0,0.33333333333333337,-121,-123,-121B,-123B
4,2,2,0,1,3.0909091015579278,0.0,3910721,0.09090909090909091,0.09090909090909091,1.0,1,-10,1B,-10B
7,0,1,0,1,5.541205793513789,0.0,18675328,0.058823529411764705,1.0,0.058823529411764705,-108,-91,-108B,-91B
7,0,2,0,1,3.1188007283407098,0.0,6460983,0.01694915254237288,1.0,0.01694915254237288,991,1050,991B,1.1 kB
6,2,2,0,1,3.129800749004334,0.0,7394674,0.010869565217391304,0.01098901098901099,0.9891304347826085,-101,-9,-101B,-9B
5,4,3,0,1,3.1008101016774616,0.0,4418317,0.009900990099009901,0.009900990099009901,1.0,-101,0,-101B,0B
10,0,0,0,1,5.147671731454775,0.0,16111146,0.009768009768009768,1.0,0.009768009768009768,-2792,-2883,-2792B,-2883B
9,0,1,0,1,5.137777942456517,0.0,15602472,0.007462686567164179,1.0,0.007462686567164179,-1075,-941,-1075B,-941B
12,0,0,0,1,5.148940637569987,0.0,17442368,0.0012590494176896443,1.0,0.0012590494176896443,162892,162539,162.9 kB,162.5 kB
6,2,3,0,1,5.54637178742861,0.0,27138948,0.0011013215859030838,0.0011098779134295228,0.9922907488986785,95,1003,95B,1.0 kB
8,2,2,0,1,5.542297248539342,0.0,19519235,0.0010893246187363835,0.0011098779134295228,0.9814814814814815,-94,-1012,-94B,-1012B
5,4,4,0,1,5.547376822519853,0.0,27611721,0.0010050251256281408,0.0010090817356205853,0.9959798994974876,8,1003,8B,1.0 kB
7,4,3,0,1,5.545259370280977,0.0,26630380,0.0010030090270812437,0.0010090817356205853,0.9939819458375125,-8,-1005,-8B,-1005B
6,8,4,0,1,5.5439141092735715,0.0,22151193,0.000998003992015968,0.000999000999000999,0.9990019960079839,0,-1002,0B,-1002B
8,0,1,0,1,3.1018515609225292,0.0,6136484,0.0008944543828264759,0.7777777777777778,0.0011500127779197546,1003,-115,1.0 kB,-115B
9,0,0,0,1,5.542916105271511,0.0,21966957,0.0004950495049504951,0.00980392156862745,0.0504950495049505,-1002,1018,-1002B,1.0 kB
11,0,1,0,1,5.54783442132268,0.0,29900494,0.00043159257660768235,1.0,0.00043159257660768235,-10319,-8002,-10319B,-8002B
7,0,3,0,1,4.130139269359248,0.0,9602232,0.00010933741526350318,0.00011168192986374804,0.9790072162694075,819,9965,819B,10.0 kB
8,2,3,0,1,4.1303032071600425,0.0,12464046,0.00010641694157709908,0.00011108642523883582,0.9579653080770458,10235,838,10.2 kB,838B
10,2,2,0,1,4.1300199633175625,0.0,9257669,0.00010611205432937182,0.000111000111000111,0.9559634974533107,-10274,-850,-10274B,-850B
7,4,4,0,1,3.1189301850483497,0.0,7376363,0.00010095911155981827,0.000100999899000101,0.9995961635537607,98,10003,98B,10.0 kB
6,2,4,0,1,4.129901755134774,0.0,8242239,0.00010090817356205853,0.00010150223304912708,0.9941473259334006,9985,75,10.0 kB,75B
5,4,5,0,1,5.13787844496908,0.0,15715105,0.00010050251256281407,0.00010058338362502515,0.9991959798994975,9952,2,10.0 kB,2B
6,8,5,0,1,3.1009102322738933,0.0,4862914,0.00010003000900270081,0.00010009008107296567,0.9993998199459838,3,10000,3B,10.0 kB
7,12,5,0,1,5.54415147701069,0.0,23057419,9.995002498750625e-5,9.999000099990002e-5,0.9996001999000499,1,-10004,1B,-10004B
8,8,4,0,1,5.547934191850466,0.0,29907464,9.977052778609199e-5,0.00010009008107296567,0.9968073431108451,-2,-10025,-2B,-10025B
9,4,3,0,1,5.482372845326632,0.0,18352591,9.885330170027679e-5,0.00010098969905069682,0.9788453934361409,-10140,-24,-10140B,-24B
9,0,2,0,1,5.542410725737683,0.0,20858711,9.795278675678323e-5,9.890218573830482e-5,0.9904006268978353,-163,10046,-163B,10.0 kB
10,2,1,0,1,5.544051526985702,0.0,22965432,8.94054537326777e-5,9.088430428065073e-5,0.9837282074206527,-10042,1143,-10042B,1.1 kB
10,0,1,0,1,5.544244511751346,0.0,23496004,8.845643520566122e-5,0.8181818181818181,0.00010811342080691927,-1135,10170,-1135B,10.2 kB
13,0,1,0,1,5.543962109336695,0.0,22280601,4.7996160307175425e-5,1.0,4.7996160307175425e-5,-97548,-118383,-97548B,-118383B
11,0,0,0,1,3.1009570234676183,0.0,5083748,4.679019277559424e-5,0.007936507936507936,0.005895564289724874,-10304,11068,-10304B,11.1 kB
10,2,0,0,1,3.118829142274904,0.0,6710203,2.8413934193328408e-5,4.7440580672707434e-5,0.5989373188611695,9951,-25243,10.0 kB,-25243B
14,0,0,0,1,5.13790372159104,0.0,15865107,2.527662102130187e-5,0.8888888888888888,2.8436198648964608e-5,1033119,1055726,1.0 MB,1.1 MB
16,0,0,0,1,4.130185789108556,0.0,12138869,1.6197742034760352e-5,0.8,2.024717754345044e-5,-2741936,-2789426,-2741936B,-2789426B
13,0,2,0,1,5.542312771883958,0.0,20740680,1.4520953736241397e-5,0.0196078431372549,0.0007405686405483113,1032625,963759,1.0 MB,963.8 kB
12,2,2,0,1,5.54242105565688,0.0,21261935,1.0229655772083269e-5,1.110790216159776e-5,0.9209349905375684,-101460,-3705,-101460B,-3705B
9,4,4,0,1,4.130169490548576,0.0,11922936,1.0033713276609408e-5,1.0099275881919266e-5,0.9935081875100337,451,100115,451B,100.1 kB
6,8,6,0,1,4.130151283345657,0.0,11305877,1.0002700729196883e-5,1.0005703250852986e-5,0.999699918978124,99974,1,100.0 kB,1B
8,8,5,0,1,4.1301957902087985,0.0,12363470,1.0001100121013312e-5,1.0009509033581903e-5,0.9991599075898349,100049,60,100.0 kB,60B
7,12,6,0,1,5.54526946609503,0.0,26694312,9.996001599360256e-6,1.000060003600216e-5,0.9995401839264294,100044,4,100.0 kB,4B
8,18,6,0,1,4.129911733783909,0.0,8878305,9.977550511349464e-6,9.99990000099999e-6,0.9977650286854577,-100222,3,-100222B,3B
9,12,5,0,1,4.1300299310667885,0.0,9346316,9.956787542067427e-6,1.000060003600216e-5,0.9956190134814903,59,-100375,59B,-100375B
10,8,4,0,1,5.547389576614001,0.0,28327045,9.82907243043474e-6,1.0008206729518205e-5,0.9821012591041783,-100989,750,-100989B,750B
10,2,3,0,1,5.547401821012173,0.0,29564039,9.806325079676391e-6,9.98771511041419e-6,0.9818386859524393,-153,101822,-153B,101.8 kB
11,0,2,0,1,5.544254336124625,0.0,24090970,9.722802889617019e-6,9.885721064494444e-6,0.9835198491020992,-1316,101535,-1316B,101.5 kB
11,4,2,0,1,5.482382156226902,0.0,18383595,9.310900270947198e-6,9.899421873762572e-6,0.9405499017700021,3459,-103942,3.5 kB,-103942B
11,4,3,0,1,5.130312592378476,0.0,14087933,9.081249943242188e-6,1.0095707305253806e-5,0.8995159693780251,-318,-110435,-318B,-110435B
12,0,1,0,1,5.147681318390362,0.0,16747465,8.599487470546756e-6,8.99733678831066e-6,0.9557814354264487,-11356,104930,-11356B,104.9 kB
12,2,1,0,1,4.130159456753011,0.0,11908738,8.17340700297512e-6,9.0046283789868e-6,0.9076895413083989,-105667,16681,-105667B,16.7 kB
13,0,0,0,1,5.54415605527955,0.0,23425073,4.479564227991901e-6,4.733705402577976e-6,0.946312422727517,102273,-120963,102.3 kB,-120963B
15,0,1,0,1,5.547379747341238,0.0,28140488,2.9038002256922884e-6,1.0,2.9038002256922884e-6,-849165,-1168943,-849165B,-1168943B
18,0,0,0,1,4.129913760064791,0.0,8934002,2.0262808627903912e-6,0.8,2.532851078487989e-6,126032441,126251781,126.0 MB,126.3 MB
10,8,2,0,1,5.542298250655118,0.0,20179444,1.0001140129974816e-6,1.0009188434983314e-6,0.99919590833355,1000159,273,1.0 MB,273B
9,12,3,0,1,4.1301967902184655,0.0,12463647,9.99910008099271e-7,1.000089007921705e-6,0.9998210161085502,1000088,-2,1.0 MB,-2B
8,18,4,0,1,5.130315254888317,0.0,15033762,9.996860985650505e-7,1.0000070000490004e-6,0.9996791007623606,1000319,5,1.0 MB,5B
11,4,0,0,1,5.5412079239073,0.0,19084995,9.996351331763906e-7,1.0098776129320888e-6,0.9898577019387923,6629,1006994,6.6 kB,1.0 MB
9,24,7,0,1,5.545270465759699,0.0,27027748,9.995991607365445e-7,9.99998000004e-7,0.999601159934866,0,-1000401,0B,-1000401B
10,18,6,0,1,3.118931183786943,0.0,7387032,9.98738593156843e-7,9.99999000001e-7,0.998739591895436,-1001182,81,-1001182B,81B
11,12,5,0,1,4.130141280011818,0.0,11243957,9.977869086366439e-7,1.0000540029161574e-6,0.9977330281435776,-1002100,118,-1002100B,118B
13,4,3,0,1,5.547402818700567,0.0,29724031,9.967048936216868e-7,1.0097511670199113e-6,0.9870797144639822,-1009268,-5962,-1009268B,-5962B
11,4,1,0,1,5.130313692512684,0.0,14641777,9.96176673925474e-7,8.328033675539808e-6,0.11961727254433846,-784,1003054,-784B,1.0 MB
12,8,4,0,1,5.54739170235688,0.0,29021027,9.939626707379377e-7,1.0008968035359683e-6,0.9930720801849564,-1006814,-740,-1006814B,-740B
