bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
40,0,0,0,1,8.166901669833579e-12,0.0,15620191,8.166901669833579e-12,0.7142857142857143,1.1433662337767009e-11,-6396436963795656737,-6396437043856147273,-6396436963795656737B,-6396437043856147273B
38,0,0,0,1,8.391528780106361e-12,0.0,102745604,2.2413700377546595e-13,0.6666666666666667,3.362055056631989e-13,-164574263255891599,-164570665226118206,-164574263255891599B,-164570665226118206B
36,0,0,0,1,8.494452199375552e-12,0.0,443730922,1.005201173434849e-13,0.7142857142857143,1.4072816428087886e-13,345952675681855035,345945440585572889,346.0 PB,345.9 PB
34,0,0,0,1,8.49963262904195e-12,0.0,501891614,5.155124691563465e-15,0.7142857142857143,7.21717456818885e-15,42809592856962424,42906583721377065,42.8 PB,42.9 PB
31,0,2,0,1,8.501826275588744e-12,0.0,574111700,1.8193571815369655e-15,1.9959941984450194e-11,9.115042433261263e-5,1040534416519130,490889734238977,1.0 PB,490.9 TB
35,0,1,0,1,8.393742436524653e-12,0.0,380280369,4.62037474359841e-16,1.0,4.62037474359841e-16,98877395569729857,100648208249622153,98.9 PB,100.6 PB
32,0,11,0,1,8.39293250292757e-12,0.0,326673511,3.9811463829524045e-16,9.086194130578866e-16,0.43815334844697756,-806709260705391,1705130053423027,-806709260705391B,1.7 PB
33,0,1,0,1,8.167391776330895e-12,0.0,102154836,3.733743083931547e-16,1.0,3.733743083931547e-16,-2858239842035962,-457025553896237,-2858239842035962B,-457025553896237B
37,0,1,0,1,8.393280399050293e-12,0.0,379661164,3.4372450650264993e-16,1.0,3.4372450650264993e-16,-102633621265185054,-99906146260452529,-102633621265185054B,-99906146260452529B
32,0,0,0,1,8.499970290484814e-12,0.0,502450243,3.3766144286492457e-16,0.75,4.502152571532327e-16,4956784325386546,2735624593210598,5.0 PB,2.7 PB
33,0,12,0,1,8.391762554596983e-12,0.0,105199207,2.337744906205298e-16,4.982866854376141e-16,0.4691566069344603,-3033002690737914,1244623997039718,-3033002690737914B,1.2 PB
37,0,2,0,1,8.392044292245087e-12,0.0,141131557,2.320007658487819e-16,1.9878359230542793e-14,0.011671021896632005,999771445189101813,1004081775787974922,999.8 PB,1.0 EB
39,0,1,0,1,8.392493877745776e-12,0.0,243644582,1.0284520165286982e-16,1.0,1.0284520165286982e-16,-1008628514005345815,-999199809951947607,-1008628514005345815B,-999199809951947607B
34,2,13,0,1,8.39212759567386e-12,0.0,157826451,8.242376819543347e-17,9.087044328030918e-17,0.9070470575474124,-10892027920635535,1240394824572116,-10892027920635535B,1.2 PB
34,0,11,0,1,8.393910315190868e-12,0.0,398613384,8.022415133191355e-17,8.994091853190331e-17,0.8919649992617866,-1863913817748237,10601160394912151,-1863913817748237B,10.6 PB
32,2,9,0,1,8.393828352646814e-12,0.0,395253651,7.552266531044841e-17,9.984194412142962e-17,0.7564222228945818,-65253689011432,13175804421018644,-65253689011432B,13.2 PB
34,2,2,0,1,8.166986802273259e-12,0.0,47926047,7.372384875951943e-17,1.1105588974038033e-16,0.6638445644969082,-114766415860304,-12803792920963236,-114766415860304B,-12803792920963236B
33,0,10,0,1,8.392237059599769e-12,0.0,168282666,7.267732994552614e-17,9.889724003044888e-17,0.7348772313883578,-425864225410254,13333584570376965,-425864225410254B,13.3 PB
30,8,1,0,1,8.392335527328471e-12,0.0,236596282,5.918803895239007e-17,1.0006676119090079e-16,0.5914855067555851,16903847577770877,8542078557019,16.9 PB,8.5 TB
33,4,11,0,1,8.392391032544124e-12,0.0,241260555,5.550521565377336e-17,9.883213728695784e-17,0.5616110020226992,557302715329193,-16675703730352610,557.3 TB,-16675703730352610B
32,2,1,0,1,8.391812291479237e-12,0.0,134929184,3.860843159802523e-17,1.1103479861955497e-16,0.34771469915761777,22002743685102466,810952557703571,22.0 PB,811.0 TB
35,0,12,0,1,8.392164382269823e-12,0.0,160425699,3.6786595964839015e-17,4.762479790053231e-17,0.7724252403479038,-17142816832396704,10040997646002160,-17142816832396704B,10.0 PB
33,4,3,0,1,8.392259590894325e-12,0.0,197077452,1.9807962451947208e-17,1.0095949383649108e-16,0.19619712519584526,-48810261594576667,-66366621956916,-48810261594576667B,-66366621956916B
31,4,0,0,1,8.499995849584937e-12,0.0,549478236,1.2612622378915978e-17,1.0099290745692351e-16,0.12488621920599363,32942382973053,79318595275559491,32.9 TB,79.3 PB
34,2,12,0,1,8.167014590689775e-12,0.0,68196030,1.2371196184021752e-17,4.7831713837037506e-17,0.2586400359010839,9999837483495392,-70833089674475682,10.0 PB,-70833089674475682B
36,0,2,0,1,8.39177368304764e-12,0.0,122312013,1.1128450657679334e-17,1.0,1.1128450657679334e-17,910122953169174757,999982721681509118,910.1 PB,1.0 EB
36,2,2,0,1,8.392533396383253e-12,0.0,320340436,1.0671641481396913e-17,1.1086950083889995e-17,0.9625407709649068,-100721269569958616,-7014973144687363,-100721269569958616B,-7014973144687363B
35,4,3,0,1,8.166997495856455e-12,0.0,61223323,9.796360771787126e-18,1.0092889873285978e-17,0.9706200002950879,-103012771813877702,-934048572086296,-103012771813877702B,-934048572086296B
35,0,10,0,1,8.39375208671027e-12,0.0,382444563,9.65018561782205e-18,9.880998016539622e-18,0.9766407807863923,102225633131345356,-1399316647153297,102.2 PB,-1399316647153297B
