bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
116,0,0,2,1,1.7625241620185355e-17,0.0,26353564,1.7405076144996543e-18,1.7125903374003173e-16,0.010163011997029686,1530598841283764192,5768361607085206130,-6720235904977926696,1577999606623705258,5997374930034574535,-6663344128665238084,"ArgumentError(""Month: 5768361607085206130 out of range (1:12)"")","ArgumentError(""Month: 5997374930034574535 out of range (1:12)"")"
117,0,0,2,1,1.585514976226631e-17,0.0,26133356,1.1790208538648414e-18,5.525872923739976e-18,0.2133637291584451,-1248062046864996758,8941651991111758017,-9047342606980414272,-967526962807361914,9204534530742228839,-9111026540001095060,"ArgumentError(""Month: 8941651991111758017 out of range (1:12)"")","ArgumentError(""Month: 9204534530742228839 out of range (1:12)"")"
114,0,0,2,1,2.1193157945075172e-17,0.0,29469350,1.123776838965123e-18,3.048675139892658e-16,0.0036861154022618838,3240283083545780731,-8636812360664769524,718750174102675633,3179660123696034454,-8282075394077649741,693670848466290255,"ArgumentError(""Month: -8636812360664769524 out of range (1:12)"")","ArgumentError(""Month: -8282075394077649741 out of range (1:12)"")"
119,0,1,2,1,1.2615826704290204e-17,0.0,21331094,1.0685455889699295e-18,2.7809963339793913e-18,0.38423121092034057,-3133952968385430741,-992120880102697854,-8394657921226771976,-3302379849828334466,-1263730736745835533,-8665111955294130879,"ArgumentError(""Month: -992120880102697854 out of range (1:12)"")","ArgumentError(""Month: -1263730736745835533 out of range (1:12)"")"
120,0,0,2,1,6.296373394626551e-18,0.0,10660007,7.985817590264319e-19,9.129579161427523e-18,0.08747191353577832,-4586961446830665134,-6053026025752541144,-4613918093494189454,-5026143299818545040,-6286655339578236573,-4614505152098774819,"ArgumentError(""Month: -6053026025752541144 out of range (1:12)"")","ArgumentError(""Month: -6286655339578236573 out of range (1:12)"")"
118,0,0,2,1,1.4191140446805258e-17,0.0,25408073,7.414397554192385e-19,2.6110343716003297e-17,0.028396399659986186,-6675739181585448125,-3693285171845684761,4126336271510898838,-6881901874185163218,-4249083550949404848,4238808896217918191,"ArgumentError(""Month: -3693285171845684761 out of range (1:12)"")","ArgumentError(""Month: -4249083550949404848 out of range (1:12)"")"
115,0,0,2,1,1.9993523769922075e-17,0.0,28986907,6.434812427874242e-19,2.1887095810752716e-17,0.0294000285991024,1256908370297848408,-4399375737541383418,1510149568312259981,679389084532008433,-4311048502727116073,1310638978937776628,"ArgumentError(""Month: -4399375737541383418 out of range (1:12)"")","ArgumentError(""Month: -4311048502727116073 out of range (1:12)"")"
113,1,0,2,1,9.720158315403967e-19,0.0,1735531,4.729519221577889e-19,1.3180930555207246e-16,0.0035881527497384842,91791206830068355,6654416278110251198,-4884291204258848280,106799577104516046,6287115816034796511,-5497226527735126061,"ArgumentError(""Month: 6654416278110251198 out of range (1:12)"")","ArgumentError(""Month: 6287115816034796511 out of range (1:12)"")"
115,0,1,2,1,1.819022969454803e-17,0.0,27590564,4.678647283828123e-19,9.587242284208524e-18,0.04880076194104829,5539951537508260365,-1559467616556244172,1632492317532115456,5459007762715946437,-626309838843143798,1824761511713482238,"ArgumentError(""Month: -1559467616556244172 out of range (1:12)"")","ArgumentError(""Month: -626309838843143798 out of range (1:12)"")"
114,0,1,2,1,8.027899257705972e-18,0.0,13276964,4.559451171388419e-19,5.344369459400885e-18,0.08531317316336029,-143796275549701568,-362342966441101095,-6639372008911727394,-71948228385228094,-52694053540069683,-5745796853366378668,"ArgumentError(""Month: -362342966441101095 out of range (1:12)"")","ArgumentError(""Month: -52694053540069683 out of range (1:12)"")"
