bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,-31.0,2503,1.0,1.0,1.0,1,0,1B,0B
3,0,1,0,0,2.0,-29.0,12822,1.0,1.0,1.0,-1,0,-1B,0B
4,0,0,0,0,3.0000011772590076,-22.5,118854,1.0,1.0,1.0,51,50,51B,50B
5,0,1,0,0,4.102874470814763,-26.0,1616726,1.0,1.0,1.0,-9,-10,-9B,-10B
7,0,1,0,0,6.583488900743612,-16.0,6701570,1.0,1.0,1.0,-100,-99,-100B,-99B
9,0,1,0,0,7.916926066957634,-20.5,9790482,1.0,1.0,1.0,-999,-1000,-999B,-1000B
7,0,2,0,0,8.916926222829387,-21.0,11627124,1.0,1.0,1.0,1000,999,1.0 kB,999B
13,0,1,0,0,12.368863324045195,-9.0,18737572,1.0,1.0,1.0,-100000,-99999,-100000B,-99999B
11,0,1,0,0,13.36886332891414,-7.0,20229847,1.0,1.0,1.0,-10000,-9999,-10000B,-9999B
12,0,2,0,0,14.368863329006857,-7.0,21005835,1.0,1.0,1.0,999950,999949,1.0 MB,999.9 kB
17,0,1,0,0,15.96887351803052,-2.5,24068128,1.0,1.0,1.0,-10000000,-9999999,-10000000B,-9999999B
6,0,0,0,1,4.915469021054469,-28.5,2899798,0.8,1.0,0.8,-14,-15,-14B,-15B
20,0,1,0,1,17.477750980099696,0.0,27778788,0.7777777777777778,0.7777777777777778,1.0,9950000001,9950000000,10.0 GB,9.9 GB
8,0,0,0,1,5.583487930161078,-23.0,5375412,0.6666666666666667,1.0,0.6666666666666667,-107,-108,-107B,-108B
10,0,0,0,1,10.852187611052702,-8.0,17394661,0.6666666666666667,1.0,0.6666666666666667,-9998,-9997,-9998B,-9997B
18,0,0,0,1,18.48433031209533,0.5,28692660,0.6666666666666667,0.8,0.8333333333333334,-99999998,-99999997,-99999998B,-99999997B
16,0,0,0,1,19.447915228943927,0.5,29470513,0.6666666666666667,0.8,0.8333333333333334,-9999998,-9999997,-9999998B,-9999997B
12,0,0,0,1,14.968873419934704,-3.5,23121732,0.6,1.0,0.6,-99999,-99998,-99999B,-99998B
14,0,0,0,1,10.185520944386035,-11.0,16611634,0.5714285714285714,0.8888888888888888,0.6428571428571429,-100002,-100001,-100002B,-100001B
19,0,1,0,1,16.46971001074502,-2.5,25086170,0.5,1.0,0.5,-99999998,-100000000,-99999998B,-100000000B
20,0,0,0,1,9.61409237269098,-11.5,15270984,0.36363636363636365,0.7777777777777778,0.4675324675324675,-189314890,-189314891,-189314890B,-189314891B
24,0,0,0,1,6.916925153481886,-20.0,9105950,0.33333333333333337,0.7,0.4761904761904763,-10651106454,-10651106453,-10651106454B,-10651106453B
22,0,0,0,1,9.2502605958369,-11.0,13366247,0.33333333333333337,0.8,0.4166666666666667,-1010211537,-1010211536,-1010211537B,-1010211536B
15,0,1,0,1,17.817663645428663,0.0,28662542,0.3333333333333333,1.0,0.3333333333333333,-1000002,-999999,-1000002B,-999999B
34,0,0,0,1,20.069512590578316,0.5,29722731,0.30000000000000004,0.7142857142857143,0.42000000000000004,-1424462780521719,-1424462780521720,-1424462780521719B,-1424462780521720B
32,0,0,0,1,18.778447959154157,1.0,28746756,0.2941176470588235,0.75,0.392156862745098,-455396133612459,-455396133612460,-455396133612459B,-455396133612460B
26,0,0,0,1,11.11886315666384,-8.0,17790923,0.2666666666666667,0.6666666666666667,0.4,-107118988736,-107118988735,-107118988736B,-107118988735B
28,0,0,0,1,11.368863323969016,-12.0,18586631,0.25,0.8,0.3125,-1519717423207,-1519717423206,-1519717423207B,-1519717423206B
38,0,0,0,1,19.654127975193703,1.0,29577463,0.19047619047619047,0.6666666666666667,0.28571428571428564,-139764069075923047,-139764069075923048,-139764069075923047B,-139764069075923048B
30,0,0,0,1,16.594710028199327,-1.0,25860694,0.125,0.7142857142857143,0.175,-12611273298774,-12611273298776,-12611273298774B,-12611273298776B
54,0,0,0,1,19.769512590578316,1.0,29621562,0.11538461538461542,0.75,0.15384615384615388,-12227907329628405418019179,-12227907329628405418019180,-12227907329628405418019179B,-12227907329628405418019180B
14,0,1,0,1,20.207634767567917,1.0,29968219,0.11111111111111112,0.7777777777777778,0.14285714285714288,9949996,9950003,9.9 MB,10.0 MB
36,0,0,0,1,16.69997320097413,0.5,26959392,0.10526315789473684,0.7142857142857143,0.14736842105263157,-11934841985683628,-11934841985683626,-11934841985683628B,-11934841985683626B
4,2,2,0,1,3.0909102681680984,-27.5,139793,0.09090909090909091,0.09090909090909091,1.0,0,-11,0B,-11B
25,0,1,0,1,20.09532336360596,1.0,29932324,0.0196078431372549,1.0,0.0196078431372549,-99999999960,-100000000011,-99999999960B,-100000000011B
13,0,2,0,1,19.46284060260043,0.5,29524708,0.014925373134328358,0.0196078431372549,0.7611940298507462,999949,1000016,999.9 kB,1.0 MB
