bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,5,1,1,0.9811320754799137,-3.5,16852,0.9811320754716981,0.9811320754716981,1.0,0,1,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
5,0,5,1,1,2.070426291994713,-3.0,397302,0.9811320754716981,0.9811320754716981,1.0,0,0,0,-1,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
6,0,5,1,1,2.801754432219019,-2.5,1188587,0.6937651438056692,0.6937651438056692,1.0,0,0,-1,-1,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
8,1,9,0,1,3.755715293232774,1.0,26074731,0.24253562503633297,1.0,0.24253562503633297,-77,0,-81,1,in,out
7,0,9,0,1,3.240478838536147,0.0,9504011,0.22360679774997896,1.0,0.22360679774997896,-1,80,1,76,out,in
6,1,5,1,1,1.079246316932839,-1.5,67551,0.09811320754716982,0.09811320754716982,1.0,0,0,-10,0,"DomainError(""The point should not be at the origin (0, 0)"", """")",in
7,0,5,1,1,2.9564577336996636,-3.0,2562851,0.08882752441907478,0.09762629036022535,0.909872986992699,-1,-11,0,0,in,"DomainError(""The point should not be at the origin (0, 0)"", """")"
12,0,9,0,1,3.508502029375343,0.0,18786620,0.06063390625908324,1.0,0.06063390625908324,-83,-36,-67,-32,out,in
11,0,9,0,1,3.3592704531098274,-0.5,15203367,0.05965499862718936,0.7071067811865476,0.08436490812191955,-79,-7,-95,-12,in,out
9,0,9,0,1,3.810171209400398,0.0,28622553,0.05439282932204212,1.0,0.05439282932204212,-83,-7,-66,0,out,in
6,0,9,0,1,3.4478681231162596,0.0,18734116,0.05,1.0,0.05,3,97,3,77,out,in
10,1,9,0,1,3.2996027060807425,1.5,13611896,0.037267799624996496,0.1,0.37267799624996495,-90,-12,-66,0,out,in
10,0,9,0,1,3.3964660888240235,1.0,16348969,0.037139067635410375,1.0,0.037139067635410375,-28,70,-38,95,in,out
8,0,9,0,1,3.0043193740316907,-2.0,4157617,0.0351581276967315,1.0,0.0351581276967315,4,105,-1,77,out,in
13,0,9,0,1,3.26221905953054,-2.5,9737482,0.021739130434782608,0.047619047619047616,0.4565217391304348,-67,-39,-113,-39,in,out
11,1,9,0,1,3.8414400656482877,0.0,29318798,0.018569533817705187,0.04218245406095978,0.44021938104571895,-52,0,-102,-20,in,out
9,2,9,0,1,3.822870531614255,0.0,29131671,0.012657213851396142,0.05,0.2531442770279228,-29,0,-108,1,in,out
5,0,9,0,1,2.8142554201630428,-5.5,1202103,0.0125,0.014084507042253521,0.8875000000000001,1,1,1,81,in,out
5,0,6,1,1,2.0974661084845247,-3.0,863288,0.012116132017194033,0.012267560152816277,0.9876562141341951,0,0,81,1,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
6,1,9,0,1,2.968782802922498,0.5,2904067,0.012047318414773371,0.0125,0.9637854731818697,1,0,-82,1,in,out
6,1,6,1,1,2.8458317586337256,-1.5,1718240,0.011969286359530262,0.012267560152816277,0.9756859726326641,0,-82,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
9,1,9,0,1,2.085349976146238,-0.5,838996,0.010750202576038457,0.010988347541611645,0.9783274996835184,-102,-1,-9,1,out,in
8,2,9,0,1,2.824438160894443,-1.0,1629926,0.009632320184260955,0.01098901098901099,0.8765411367677468,1,0,14,-103,in,out
7,2,9,0,1,2.8338616459947854,-3.0,1651999,0.009423484504566069,0.01,0.9423484504566069,0,6,-106,1,in,out
8,2,6,1,1,2.8648933802229513,0.5,2013271,0.009336862663032661,0.009814324110876562,0.9513505522693343,-5,-105,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
7,2,6,1,1,2.8550051188031778,-5.0,1855421,0.009172323561610326,0.009814814814814814,0.9345386270319954,0,0,-107,1,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
6,0,6,1,1,2.107989069355224,-5.5,1102458,0.008970130383602063,0.012267560152816277,0.7312073690172842,0,0,56,94,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
9,2,6,1,1,3.0140117786102807,0.5,6158042,0.008492345348132492,0.009766105755764708,0.86957335508267,-114,-19,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
7,0,6,1,1,1.0868961310521983,-4.5,168194,0.007648939789030186,0.012267560152816277,0.6235094585840861,119,48,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
12,1,9,0,1,3.5129960012761154,-1.0,21610707,0.004487012628577961,0.00717865656116727,0.6250490729491536,-180,-113,-5,25,out,in
12,2,9,0,1,3.016866075156267,0.0,8173194,0.00285275647757276,0.009629640197141817,0.29624746295500115,-261,-291,0,-57,out,in
11,2,9,0,1,1.0892941062893238,-2.5,338383,0.0023214606619946635,0.0070337124880089944,0.33004770467264155,-2,0,-416,-119,in,out
8,1,6,1,1,2.8665748681591516,-2.0,2194730,0.0016800181190781698,0.012267560152816277,0.13694802374313086,-70,580,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
10,3,9,0,1,2.071914125430984,-2.0,491084,0.0014878283922958072,0.007035801295960806,0.21146537966470955,9,0,-180,-645,in,out
9,3,9,0,1,2.0738139411145817,-4.0,757752,0.0009442866422674875,0.0010090817356205853,0.9357880624870801,39,0,-1020,1,in,out
8,4,9,0,1,2.0985020198836684,-5.0,998762,0.0009442832742897926,0.001,0.9442832742897925,0,-1059,3,0,out,in
13,1,9,0,1,3.3973877956382577,0.5,17279456,0.0009207521529079344,0.0010700206598908458,0.8604994159662875,54,-1160,-13,-76,out,in
13,2,9,0,1,2.0727675435999733,-3.5,496776,0.0008534181689848615,0.0010630480678150225,0.8028029915326105,-128,-1153,15,10,out,in
12,3,9,0,1,2.0745997389194226,-2.5,808702,0.0007857590872864099,0.000994004355935433,0.7904986357398317,-1012,-773,-1,0,out,in
14,1,9,0,1,3.004936953079027,-2.5,4365138,0.0006175789971946384,0.0010696851365449493,0.5773465257163429,-126,-1622,-63,-4,out,in
13,4,9,0,1,3.005513049590259,-3.5,5159443,0.0005760965111997265,0.0006997592227862846,0.8232781969001268,-1005,-1409,-1,7,out,in
