bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,14,0,1,1.0291557358216101,-0.5,1407431,0.9545454545454546,0.9545454545454546,1.0,1,0,1,1,Underweight,Severely obese
5,0,10,1,1,3.9598217788867904,1.0,23676852,0.9473684210526316,0.9473684210526316,1.0,-1,1,0,1,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,14,0,1,4.634793908234081,0.0,23906563,0.6749655638598863,0.9545454545454546,0.7071067811865475,11,1,12,0,Severely obese,Underweight
6,0,10,1,1,3.008347828550091,1.0,19098712,0.6698906348083082,0.6698906348083082,1.0,-1,-1,0,0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,14,0,1,1.4629968288769517,2.0,1947846,0.22498852128662877,0.6749655638598863,0.33333333333333337,9,3,12,0,Severely obese,Underweight
5,0,6,1,1,1.7338367713644152,-0.5,2477559,0.21791341055434485,0.9245283018867925,0.23570226039551587,5,-3,8,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,16,0,1,7.2047900356711185,0.0,32331709,0.17149858514250885,0.7071067811865476,0.24253562503633297,83,14,86,19,Normal,Obese
7,0,10,1,1,2.3384296689720836,0.0,18634022,0.1624723438192189,0.9473684210526316,0.17149858514250885,-4,66,1,63,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,17,0,1,2.155766356449223,0.0,13941488,0.09578262852211514,0.3333333333333333,0.28734788556634544,25,11,22,1,Severely obese,Normal
8,0,19,0,1,7.32849928526997,0.0,32331709,0.08049844718999243,0.40249223594996214,0.19999999999999998,94,21,92,32,Overweight,Severely obese
8,0,13,0,1,6.533760312344796,0.0,32331709,0.07692307692307693,0.2773500981126146,0.2773500981126146,90,24,85,12,Obese,Underweight
8,0,6,1,1,1.2010788681784168,0.0,1748355,0.06457185753341384,0.6537402316630345,0.09877295966495896,30,0,36,-13,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,6,1,1,0.07442664988427554,-0.5,1390222,0.06349686446684681,0.9245283018867925,0.0686802819743445,12,0,-2,-4,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,1.8071897605046905,1.0,2596829,0.06052514826315221,0.6698906348083082,0.09035079029052513,1,63,-13,70,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,10,1,1,1.8836318712039237,-0.5,2804180,0.05563138921718244,0.09473684210526316,0.5872202195147035,0,1,1,-16,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,5.727723402157767,0.0,32331709,0.0550646709839144,0.9473684210526316,0.058123819371909635,43,-9,33,5,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,10,1,1,5.388944908745001,0.0,32331709,0.05424615798762963,0.6698906348083082,0.0809776330178916,-8,-2,8,5,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,6,1,1,6.394321697211467,0.0,32331709,0.05401152010191003,0.9245283018867925,0.058420623783698604,35,0,52,-2,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,6,1,1,7.729202691065764,0.0,32331709,0.04806393773696563,0.08404802744425387,0.57186276940104,106,-4,115,13,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
