bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0,-6.5,5183,1.0,1.0,1.0,0,1,0B,1B
3,0,1,0,0,2.0,-6.0,9870,1.0,1.0,1.0,0,-1,0B,-1B
4,0,0,0,0,3.000009990878106,-6.0,54066,1.0,1.0,1.0,-3,-2,-3B,-2B
5,0,1,0,0,4.093499388959065,-6.0,612806,1.0,1.0,1.0,99,100,99B,100B
12,0,2,0,0,6.28448480077504,-6.0,6946855,1.0,1.0,1.0,999950,999949,1.0 MB,999.9 kB
15,0,1,0,0,7.301433953326134,-6.0,7234551,1.0,1.0,1.0,-1000000,-999999,-1000000B,-999999B
17,0,1,0,0,8.30143395341216,-6.0,7445416,1.0,1.0,1.0,-10000000,-9999999,-10000000B,-9999999B
7,0,1,0,0,9.301433953421512,-6.5,7595846,1.0,1.0,1.0,-99,-100,-99B,-100B
6,0,0,0,0,10.901433953422556,-6.0,7891831,1.0,1.0,1.0,-19,-20,-19B,-20B
24,0,2,0,0,11.901433953422556,-6.0,7974939,1.0,1.0,1.0,999950000000,999949999999,1.0 TB,999.9 GB
9,0,1,0,0,12.901433953422556,-6.0,8109333,1.0,1.0,1.0,-1000,-999,-1000B,-999B
13,0,1,0,0,13.901433953492134,-6.0,8316202,1.0,1.0,1.0,-100000,-99999,-100000B,-99999B
27,0,1,0,0,14.901433953652,-6.0,8572154,1.0,1.0,1.0,-1000000000000,-999999999999,-1000000000000B,-999999999999B
21,0,1,0,0,15.901543132087236,-6.0,10027534,1.0,1.0,1.0,-1000000000,-999999999,-1000000000B,-999999999B
18,0,2,0,0,16.901543132087234,-6.0,10374131,1.0,1.0,1.0,999950000,999949999,1.0 GB,999.9 MB
29,0,1,0,0,17.901543132087234,-6.0,10467031,1.0,1.0,1.0,-9999999999999,-10000000000000,-9999999999999B,-10000000000000B
47,0,1,0,0,19.5682097987539,-6.0,10617074,1.0,1.0,1.0,-9999999999999999999999,-10000000000000000000000,-9999999999999999999999B,-10000000000000000000000B
59,0,1,0,0,21.23487646542057,-6.0,10629825,1.0,1.0,1.0,-9999999999999999999999999999,-10000000000000000000000000000,-9999999999999999999999999999B,-10000000000000000000000000000B
11,0,1,0,0,23.615916066216837,-6.0,12454519,1.0,1.0,1.0,-9999,-10000,-9999B,-10000B
55,0,1,0,0,25.282582732883505,-6.0,12575085,1.0,1.0,1.0,-99999999999999999999999999,-100000000000000000000000000,-99999999999999999999999999B,-100000000000000000000000000B
51,0,1,0,0,26.882582732883506,-6.0,12580555,1.0,1.0,1.0,-1000000000000000000000000,-999999999999999999999999,-1000000000000000000000000B,-999999999999999999999999B
39,0,1,0,0,27.882582732883506,-6.5,12603329,1.0,1.0,1.0,-999999999999999999,-1000000000000000000,-999999999999999999B,-1000000000000000000B
75,0,1,0,0,30.149249399550172,-6.0,12622256,1.0,1.0,1.0,-999999999999999999999999999999999999,-1000000000000000000000000000000000000,-999999999999999999999999999999999999B,-1000000000000000000000000000000000000B
57,0,1,0,0,31.749249399550173,-6.0,12626979,1.0,1.0,1.0,-999999999999999999999999999,-1000000000000000000000000000,-999999999999999999999999999B,-1000000000000000000000000000B
19,0,1,0,0,34.127027178320056,-6.0,14312202,1.0,1.0,1.0,-100000000,-99999999,-100000000B,-99999999B
35,0,1,0,0,35.127027178329506,-6.0,14458127,1.0,1.0,1.0,-9999999999999999,-10000000000000000,-9999999999999999B,-10000000000000000B
33,0,1,0,0,37.57147162277395,-6.0,14733855,1.0,1.0,1.0,-1000000000000000,-999999999999999,-1000000000000000B,-999999999999999B
79,0,1,0,0,39.38965344095577,-6.0,14761062,1.0,1.0,1.0,-100000000000000000000000000000000000000,-99999999999999999999999999999999999999,-100000000000000000000000000000000000000B,-99999999999999999999999999999999999999B
61,0,1,0,0,40.96108201238439,-6.0,14912488,1.0,1.0,1.0,-100000000000000000000000000000,-99999999999999999999999999999,-100000000000000000000000000000B,-99999999999999999999999999999B
63,0,1,0,0,41.96108201238439,-6.0,15010342,1.0,1.0,1.0,-999999999999999999999999999999,-1000000000000000000000000000000,-999999999999999999999999999999B,-1000000000000000000000000000000B
