bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
6,0,11,0,0,8.491433181884581,-1197.5,4933324,1.0,1.0,1.0,23,0,23,1,Underweight,Normal
6,0,17,0,0,9.491433181884581,-1241.0,4945783,1.0,1.0,1.0,23,1,23,2,Normal,Severely obese
10,0,11,0,0,10.972018019914092,-1236.0,4985782,1.0,1.0,1.0,131,32,131,31,Normal,Underweight
10,0,15,0,0,11.972018019914092,-1200.5,5118778,1.0,1.0,1.0,124,36,124,35,Overweight,Normal
10,0,18,0,0,12.972018019914092,-1173.5,5124311,1.0,1.0,1.0,121,37,121,36,Obese,Overweight
6,0,18,0,0,13.972698658989303,-1157.5,5367114,1.0,1.0,1.0,44,5,45,5,Obese,Overweight
6,0,15,0,0,16.544127230417878,-1166.0,5407005,1.0,1.0,1.0,45,4,45,5,Normal,Overweight
6,0,16,0,0,17.75246056375121,-1176.0,5443979,1.0,1.0,1.0,44,5,44,4,Obese,Normal
7,0,15,0,0,19.474627373596224,-1172.5,5818605,1.0,1.0,1.0,66,9,66,10,Normal,Overweight
8,0,15,0,0,20.682960706929556,-1122.0,5889443,1.0,1.0,1.0,67,11,67,10,Overweight,Normal
8,0,18,0,0,21.682960706929556,-1138.0,5911216,1.0,1.0,1.0,68,11,68,12,Overweight,Obese
8,0,11,0,0,25.201779901860718,-979.0,8086024,1.0,1.0,1.0,83,13,84,13,Normal,Underweight
12,0,18,0,0,30.1742251754091,-636.5,13702905,1.0,1.0,1.0,364,330,363,330,Overweight,Obese
12,0,11,0,0,33.80891403123012,-554.5,15179357,1.0,1.0,1.0,407,305,406,305,Underweight,Normal
6,0,13,0,0,36.253082099523695,-400.5,18699263,1.0,1.0,1.0,20,0,20,1,Underweight,Obese
12,0,15,0,0,37.253082099523695,-396.5,18728777,1.0,1.0,1.0,376,326,377,326,Overweight,Normal
10,0,11,0,0,45.17577520751111,0.0,29999457,1.0,1.0,1.0,124,28,124,29,Underweight,Normal
10,0,11,0,0,46.9614894932254,0.0,29999457,1.0,1.0,1.0,122,28,122,27,Normal,Underweight
10,0,11,0,0,47.9614894932254,0.0,29999457,1.0,1.0,1.0,135,34,136,34,Normal,Underweight
10,0,18,0,0,48.9614894932254,0.0,29999457,1.0,1.0,1.0,111,30,111,31,Overweight,Obese
10,0,18,0,0,49.9614894932254,0.0,29999457,1.0,1.0,1.0,122,37,121,37,Overweight,Obese
10,0,18,0,0,51.51707339272912,0.0,29999457,1.0,1.0,1.0,111,31,111,30,Obese,Overweight
10,0,11,0,0,52.51707339272912,0.0,29999457,1.0,1.0,1.0,115,24,115,25,Underweight,Normal
10,0,15,0,0,54.22418017391566,0.0,29999457,1.0,1.0,1.0,120,33,119,33,Normal,Overweight
10,0,11,0,0,55.22418017391566,0.0,29999457,1.0,1.0,1.0,137,35,137,34,Normal,Underweight
10,0,11,0,0,56.22418017391566,0.0,29999457,1.0,1.0,1.0,144,38,143,38,Underweight,Normal
10,0,15,0,0,57.93128695510221,0.0,29999457,1.0,1.0,1.0,118,32,119,32,Overweight,Normal
10,0,11,0,0,58.93128695510221,0.0,29999457,1.0,1.0,1.0,128,30,127,30,Underweight,Normal
10,0,11,0,0,60.717001240816494,0.0,29999457,1.0,1.0,1.0,139,35,139,36,Underweight,Normal
10,0,11,0,0,61.717001240816494,0.0,29999457,1.0,1.0,1.0,142,38,142,37,Normal,Underweight
10,0,15,0,0,62.717001240816494,0.0,29999457,1.0,1.0,1.0,131,40,131,39,Overweight,Normal
10,0,11,0,0,64.50271552653078,0.0,29999457,1.0,1.0,1.0,135,34,135,33,Normal,Underweight
10,0,11,0,0,65.50271552653078,0.0,29999457,1.0,1.0,1.0,114,23,114,24,Underweight,Normal
10,0,11,0,0,66.50271552653078,0.0,29999457,1.0,1.0,1.0,137,34,137,35,Underweight,Normal
10,0,11,0,0,69.10591847365355,0.0,29999457,1.0,1.0,1.0,147,40,148,40,Normal,Underweight
10,0,18,0,0,70.10591847365355,0.0,29999457,1.0,1.0,1.0,130,42,129,42,Overweight,Obese
10,0,15,0,0,72.44721665887154,0.0,29999457,1.0,1.0,1.0,120,34,120,33,Overweight,Normal
10,0,15,0,0,73.44721665887154,0.0,29999457,1.0,1.0,1.0,125,35,125,36,Normal,Overweight
10,0,15,0,0,74.44721665887155,0.0,29999457,1.0,1.0,1.0,116,31,117,31,Overweight,Normal
10,0,15,0,0,75.89443025437151,0.0,29999457,1.0,1.0,1.0,119,33,120,33,Overweight,Normal
10,0,18,0,0,76.89443025437151,0.0,29999457,1.0,1.0,1.0,112,31,111,31,Overweight,Obese
10,0,11,0,0,78.68014454008579,0.0,29999457,1.0,1.0,1.0,117,25,116,25,Underweight,Normal
10,0,15,0,0,79.68014454008579,0.0,29999457,1.0,1.0,1.0,142,46,141,46,Normal,Overweight
10,0,15,0,0,80.68014454008579,0.0,29999457,1.0,1.0,1.0,136,43,137,43,Overweight,Normal
10,0,18,0,0,84.58717916935971,0.0,29999457,1.0,1.0,1.0,127,41,127,40,Obese,Overweight
10,0,18,0,0,86.372893455074,0.0,29999457,1.0,1.0,1.0,124,38,123,38,Overweight,Obese
10,0,11,0,0,89.90820019515357,0.0,29999457,1.0,1.0,1.0,140,36,139,36,Underweight,Normal
12,0,15,0,0,104.05847066898667,0.0,29999457,1.0,1.0,1.0,378,327,378,328,Normal,Overweight
12,0,18,0,0,107.39976885420468,0.0,29999457,1.0,1.0,1.0,366,335,367,335,Obese,Overweight
