bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
3,0,1,0,0,1.0000000000000009,-13882.0,999,1.0,1.0,1.0,0,-1,0B,-1B
2,0,0,0,0,2.000000000000001,-13740.5,3968,1.0,1.0,1.0,1,2,1B,2B
4,0,0,0,0,3.0000022684023353,-13808.0,99417,1.0,1.0,1.0,-1,-2,-1B,-2B
7,0,1,0,0,5.575068860139037,-13820.0,3008457,1.0,1.0,1.0,-99,-100,-99B,-100B
5,0,1,0,0,6.575068860139037,-13628.0,3052813,1.0,1.0,1.0,-9,-10,-9B,-10B
9,0,1,0,0,7.575068860139037,-12634.5,4377279,1.0,1.0,1.0,-999,-1000,-999B,-1000B
11,0,1,0,0,9.075082005548268,-8809.5,10079327,1.0,1.0,1.0,-10000,-9999,-10000B,-9999B
7,0,2,0,0,10.752501360386978,-6260.5,14850127,1.0,1.0,1.0,999,1000,999B,1.0 kB
6,0,0,0,0,20.41916802883477,0.0,29999340,1.0,1.0,1.0,219,220,219B,220B
6,0,0,0,0,21.460834695501436,0.0,29999340,1.0,1.0,1.0,469,470,469B,470B
8,0,0,0,0,23.927501362168105,0.0,29999340,1.0,1.0,1.0,-500,-499,-500B,-499B
4,0,0,0,0,26.584644219310963,0.0,29999340,1.0,1.0,1.0,22,23,22B,23B
6,0,0,0,0,32.175120409787155,0.0,29999340,1.0,1.0,1.0,780,779,780B,779B
6,0,0,0,0,36.965596600263346,0.0,29999340,1.0,1.0,1.0,260,259,260B,259B
6,0,0,0,0,40.365596600263345,0.0,29999340,1.0,1.0,1.0,990,989,990B,989B
6,0,0,0,0,44.070358505025254,0.0,29999340,1.0,1.0,1.0,399,400,399B,400B
6,0,0,0,0,47.33702517169192,0.0,29999340,1.0,1.0,1.0,120,119,120B,119B
