bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
8,1,9,0,0,3.9553063341379193,-1986.0,3165919,1.0,1.0,1.0,-81,0,-80,0,out,in
9,0,9,0,0,4.955306334137919,-1974.5,3237118,1.0,1.0,1.0,-80,0,-80,-1,in,out
10,0,9,0,0,5.955306334137919,-1973.0,3243975,1.0,1.0,1.0,-80,-1,-79,-1,out,in
6,0,9,0,0,6.955306335006133,-1762.5,4463041,1.0,1.0,1.0,79,3,80,3,in,out
8,0,9,0,0,7.955306335006133,-1734.5,4967770,1.0,1.0,1.0,80,-2,79,-2,out,in
7,0,9,0,0,8.955306335006133,-1755.0,5047553,1.0,1.0,1.0,80,0,80,-1,in,out
12,0,9,0,0,9.955306335910247,-1696.5,5537005,1.0,1.0,1.0,-11,-79,-11,-80,in,out
10,0,9,0,0,11.975588810526068,0.0,29999249,1.0,1.0,1.0,-74,28,-75,28,in,out
12,0,9,0,0,13.329142201119343,0.0,29999249,1.0,1.0,1.0,-78,-19,-77,-19,out,in
12,0,9,0,0,14.329142201119343,0.0,29999249,1.0,1.0,1.0,-78,-18,-78,-17,out,in
10,0,9,0,0,15.329142201119343,0.0,29999249,1.0,1.0,1.0,-69,42,-68,42,out,in
12,0,9,0,0,16.829142201119343,0.0,29999249,1.0,1.0,1.0,-58,-56,-58,-55,out,in
10,0,9,0,0,17.829142201119343,0.0,29999249,1.0,1.0,1.0,-75,29,-74,29,out,in
10,0,9,0,0,18.829142201119343,0.0,29999249,1.0,1.0,1.0,-79,-7,-80,-7,in,out
10,0,9,0,0,19.829142201119343,0.0,29999249,1.0,1.0,1.0,-80,-5,-79,-5,out,in
8,1,9,0,0,20.829142201119343,0.0,29999249,1.0,1.0,1.0,-80,1,-80,0,out,in
10,0,9,0,0,21.829142201119343,0.0,29999249,1.0,1.0,1.0,-52,61,-52,60,out,in
10,0,9,0,0,22.829142201119343,0.0,29999249,1.0,1.0,1.0,-79,-1,-80,-1,in,out
12,0,9,0,0,23.829142201119343,0.0,29999249,1.0,1.0,1.0,-79,-11,-80,-11,in,out
12,0,9,0,0,24.829142201119343,0.0,29999249,1.0,1.0,1.0,-79,-14,-78,-14,out,in
10,0,9,0,0,26.736824556411584,0.0,29999249,1.0,1.0,1.0,70,-39,69,-39,out,in
8,0,9,0,0,27.736824556411584,0.0,29999249,1.0,1.0,1.0,78,16,79,16,in,out
10,0,9,0,0,28.736824556411584,0.0,29999249,1.0,1.0,1.0,78,-15,79,-15,in,out
8,0,9,0,0,29.736824556411584,0.0,29999249,1.0,1.0,1.0,43,68,42,68,out,in
8,0,9,0,0,30.736824556411584,0.0,29999249,1.0,1.0,1.0,75,27,75,28,in,out
8,0,9,0,0,31.736824556411584,0.0,29999249,1.0,1.0,1.0,60,53,59,53,out,in
6,0,9,0,0,32.736824556411584,0.0,29999249,1.0,1.0,1.0,80,5,79,5,out,in
8,0,9,0,0,33.736824556411584,0.0,29999249,1.0,1.0,1.0,64,49,64,48,out,in
10,0,9,0,0,35.684038151911544,0.0,29999249,1.0,1.0,1.0,43,-68,43,-67,out,in
12,0,9,0,0,36.684038151911544,0.0,29999249,1.0,1.0,1.0,-24,-77,-24,-76,out,in
10,0,9,0,0,37.73348496955496,0.0,29999249,1.0,1.0,1.0,15,-78,15,-79,in,out
12,0,9,0,0,38.73348496955496,0.0,29999249,1.0,1.0,1.0,-29,-75,-29,-74,out,in
10,0,9,0,0,39.73348496955496,0.0,29999249,1.0,1.0,1.0,26,-75,26,-76,in,out
12,0,9,0,0,40.73348496955496,0.0,29999249,1.0,1.0,1.0,-13,-78,-13,-79,in,out
10,0,9,0,0,41.73348496955496,0.0,29999249,1.0,1.0,1.0,34,-73,34,-72,out,in
12,0,9,0,0,42.73348496955496,0.0,29999249,1.0,1.0,1.0,-60,-53,-59,-53,out,in
8,1,9,0,0,44.440591750741504,0.0,29999249,1.0,1.0,1.0,-79,2,-80,2,in,out
10,0,9,0,0,45.887805346241464,0.0,29999249,1.0,1.0,1.0,-61,51,-61,52,in,out
12,0,9,0,0,47.16515544435408,0.0,29999249,1.0,1.0,1.0,-49,-64,-49,-63,out,in
10,0,9,0,0,48.16515544435408,0.0,29999249,1.0,1.0,1.0,25,-75,25,-76,in,out
12,0,9,0,0,49.872262225540624,0.0,29999249,1.0,1.0,1.0,-32,-73,-32,-74,in,out
8,1,9,0,0,51.57936900672718,0.0,29999249,1.0,1.0,1.0,5,-80,5,-79,out,in
12,0,9,0,0,52.57936900672718,0.0,29999249,1.0,1.0,1.0,-41,-69,-41,-68,out,in
8,1,9,0,0,53.57936900672718,0.0,29999249,1.0,1.0,1.0,-80,0,-80,1,in,out
10,0,9,0,0,54.57936900672718,0.0,29999249,1.0,1.0,1.0,-80,11,-79,11,out,in
10,0,9,0,0,55.57936900672718,0.0,29999249,1.0,1.0,1.0,-70,38,-71,38,in,out
12,0,9,0,0,56.57936900672718,0.0,29999249,1.0,1.0,1.0,-70,-39,-69,-39,out,in
10,0,9,0,0,57.57936900672718,0.0,29999249,1.0,1.0,1.0,-17,78,-18,78,in,out
12,0,9,0,0,58.57936900672718,0.0,29999249,1.0,1.0,1.0,-61,-51,-61,-52,in,out
12,0,9,0,0,59.57936900672718,0.0,29999249,1.0,1.0,1.0,-69,-40,-69,-41,in,out
12,0,9,0,0,61.28647578791372,0.0,29999249,1.0,1.0,1.0,-72,-34,-73,-34,in,out
8,0,9,0,0,63.121538954646226,0.0,29999249,1.0,1.0,1.0,53,59,53,60,in,out
8,1,9,0,0,66.60309861503029,0.0,29999249,1.0,1.0,1.0,-79,9,-80,9,in,out
8,0,9,0,0,67.84563424006663,0.0,29999249,1.0,1.0,1.0,32,73,33,73,in,out
12,0,9,0,0,69.55274102125318,0.0,29999249,1.0,1.0,1.0,-74,-30,-75,-30,in,out
