bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
6,0,33,1,0,1.3221041511607199,-806.5,4187433,1.0,1.0,1.0,0,1,1,1,1,1,"ArgumentError(""Day: 0 out of range (1:31)"")",0001-01-01
8,0,35,1,0,2.32210415116072,-836.5,4194432,1.0,1.0,1.0,3,1,22,3,0,22,0022-01-03,"ArgumentError(""Month: 0 out of range (1:12)"")"
6,0,35,1,0,3.82210415116072,-827.5,4198873,1.0,1.0,1.0,1,0,1,1,1,1,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
8,0,33,1,0,4.82210415116072,-869.5,4204016,1.0,1.0,1.0,1,1,22,0,1,22,0022-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,0,35,1,0,6.529210932347268,-815.5,4206390,1.0,1.0,1.0,10,0,20,10,1,20,"ArgumentError(""Month: 0 out of range (1:12)"")",0020-01-10
12,2,32,1,0,16.280341036747565,-723.0,5739592,1.0,1.0,1.0,1,1,-127,0,1,-127,0127-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,0,34,1,0,21.07819896162242,-674.5,6860918,1.0,1.0,1.0,10,1,-1,10,0,-1,0001-01-10,"ArgumentError(""Month: 0 out of range (1:12)"")"
8,0,34,1,0,22.07819896162242,-637.0,6934575,1.0,1.0,1.0,6,1,-1,6,0,-1,0001-01-06,"ArgumentError(""Month: 0 out of range (1:12)"")"
14,1,34,1,0,26.045738009233787,-419.0,12966342,1.0,1.0,1.0,21,0,-109,21,1,-109,"ArgumentError(""Month: 0 out of range (1:12)"")",0109-01-21
12,0,34,1,0,29.107436710057407,-421.5,13520117,1.0,1.0,1.0,18,0,-99,18,1,-99,"ArgumentError(""Month: 0 out of range (1:12)"")",0099-01-18
10,1,32,1,0,34.547076505258474,-198.0,19585177,1.0,1.0,1.0,1,2,-64,0,2,-64,0064-02-01,"ArgumentError(""Day: 0 out of range (1:29)"")"
10,1,34,1,0,37.47148911880505,-157.0,21193320,1.0,1.0,1.0,1,1,-63,1,0,-63,0063-01-01,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,0,34,1,0,59.71613819057618,0.0,29998809,1.0,1.0,1.0,10,0,-1,10,1,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",-0001-01-10
10,0,35,1,0,63.80149618952315,0.0,29998809,1.0,1.0,1.0,14,1,25,14,0,25,0025-01-14,"ArgumentError(""Month: 0 out of range (1:12)"")"
