bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0000000011582602,0.0,2649558,1.0,1.0,1.0,0,1,0B,1B
3,0,1,0,0,2.00000000115826,0.0,3906060,1.0,1.0,1.0,0,-1,0B,-1B
4,0,0,0,0,3.0000000011592056,0.0,4140646,1.0,1.0,1.0,-2,-1,-2B,-1B
6,0,0,0,0,5.302770625152009,0.0,16437085,1.0,1.0,1.0,-39,-40,-39B,-40B
4,0,0,0,0,7.485179176997353,0.0,26999730,1.0,1.0,1.0,35,36,35B,36B
4,0,0,0,0,15.116131557949736,0.0,26999730,1.0,1.0,1.0,29,30,29B,30B
6,0,0,0,0,17.068512510330688,0.0,26999730,1.0,1.0,1.0,839,840,839B,840B
6,0,0,0,0,26.637560129378308,0.0,26999730,1.0,1.0,1.0,359,360,359B,360B
4,0,0,0,0,40.06286206801852,0.0,26999730,1.0,1.0,1.0,46,47,46B,47B
8,0,0,0,0,42.52952873468519,0.0,26999730,1.0,1.0,1.0,-300,-299,-300B,-299B
2,0,0,0,0,51.946195401351844,0.0,26999730,1.0,1.0,1.0,1,2,1B,2B
6,0,0,0,0,54.60333825849469,0.0,26999730,1.0,1.0,1.0,290,289,290B,289B
3,0,1,0,0,56.403338258494685,0.0,26999730,1.0,1.0,1.0,-1,0,-1B,0B
6,0,0,0,0,61.02622413698401,0.0,26999730,1.0,1.0,1.0,630,629,630B,629B
8,0,0,0,0,70.68019239095227,0.0,26999730,1.0,1.0,1.0,-899,-900,-899B,-900B
4,0,0,0,0,83.45756857005097,0.0,26999730,1.0,1.0,1.0,17,18,17B,18B
6,0,0,0,0,86.23375904624145,0.0,26999730,1.0,1.0,1.0,829,830,829B,830B
6,0,0,0,0,90.06891080293062,0.0,26999730,1.0,1.0,1.0,460,459,460B,459B
6,0,0,0,0,94.53573794130948,0.0,26999730,1.0,1.0,1.0,580,579,580B,579B
6,0,0,0,0,163.76788303892505,0.0,26999730,1.0,1.0,1.0,679,680,679B,680B
6,0,0,0,0,192.2653410518177,0.0,26999730,1.0,1.0,1.0,-50,-49,-50B,-49B
