bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
2,0,0,0,0,1.0909090909090908,-321.0,1592797,1.0,1.0,1.0,1,0,1B,0B
3,0,1,0,0,2.090909090909091,-331.0,2673334,1.0,1.0,1.0,-1,0,-1B,0B
4,0,0,0,0,3.090909090909091,-294.5,4170245,1.0,1.0,1.0,-4,-5,-4B,-5B
6,0,0,0,0,4.77971754954809,-321.5,24846015,1.0,1.0,1.0,119,120,119B,120B
5,0,1,0,0,5.827975976653274,-307.5,58573500,1.0,1.0,1.0,-9,-10,-9B,-10B
7,0,1,0,0,6.827976986192218,-338.5,62986123,1.0,1.0,1.0,-99,-100,-99B,-100B
13,0,1,0,0,7.827995353372631,-310.5,77861530,1.0,1.0,1.0,-100000,-99999,-100000B,-99999B
9,0,1,0,0,8.827995353372632,-296.0,78069234,1.0,1.0,1.0,-1000,-999,-1000B,-999B
11,0,1,0,0,9.82811217327693,-306.5,85335481,1.0,1.0,1.0,-10000,-9999,-10000B,-9999B
17,0,1,0,0,10.82811217327693,-313.5,85351533,1.0,1.0,1.0,-9999999,-10000000,-9999999B,-10000000B
12,0,2,0,0,12.495885940960473,-312.5,93919897,1.0,1.0,1.0,999950,999949,1.0 MB,999.9 kB
15,0,1,0,0,13.495885940960575,-299.0,94738477,1.0,1.0,1.0,-999999,-1000000,-999999B,-1000000B
23,0,1,0,0,14.495885940960575,-297.0,97295367,1.0,1.0,1.0,-9999999999,-10000000000,-9999999999B,-10000000000B
19,0,1,0,0,17.495885941056997,-286.5,101183048,1.0,1.0,1.0,-99999999,-100000000,-99999999B,-100000000B
21,0,1,0,0,19.31406776752671,-283.5,108090623,1.0,1.0,1.0,-1000000000,-999999999,-1000000000B,-999999999B
24,0,2,0,0,21.647401101038096,-293.5,115545011,1.0,1.0,1.0,999950000000,999949999999,1.0 TB,999.9 GB
18,0,2,0,0,24.09186604292079,-265.5,130075562,1.0,1.0,1.0,999949999,999950000,999.9 MB,1.0 GB
27,0,1,0,0,25.09186604292079,-278.5,131079424,1.0,1.0,1.0,-1000000000000,-999999999999,-1000000000000B,-999999999999B
25,0,1,0,0,26.09186604292079,-257.5,132025443,1.0,1.0,1.0,-99999999999,-100000000000,-99999999999B,-100000000000B
37,0,1,0,0,29.202978045624537,-250.0,144641757,1.0,1.0,1.0,-99999999999999999,-100000000000000000,-99999999999999999B,-100000000000000000B
31,0,1,0,0,31.030775248510004,-260.5,148159016,1.0,1.0,1.0,-100000000000000,-99999999999999,-100000000000000B,-99999999999999B
33,0,1,0,0,32.69744191517667,-269.0,150503143,1.0,1.0,1.0,-1000000000000000,-999999999999999,-1000000000000000B,-999999999999999B
29,0,1,0,0,33.69744191517667,-253.0,150600784,1.0,1.0,1.0,-10000000000000,-9999999999999,-10000000000000B,-9999999999999B
30,0,2,0,0,37.7783795400084,-256.5,166109006,1.0,1.0,1.0,999950000000000,999949999999999,1.0 PB,999.9 TB
36,0,2,0,0,40.7793876046255,-233.5,169037786,1.0,1.0,1.0,999950000000000000,999949999999999999,1.0 EB,999.9 PB
41,0,1,0,0,41.7793876046255,-240.0,171361739,1.0,1.0,1.0,-9999999999999999999,-10000000000000000000,-9999999999999999999B,-10000000000000000000B
39,0,1,0,0,42.7793876046255,-239.5,171956347,1.0,1.0,1.0,-1000000000000000000,-999999999999999999,-1000000000000000000B,-999999999999999999B
42,0,15,1,0,43.7793876046255,-240.5,172314272,1.0,1.0,1.0,999999999999998341339,999999999999998341340,1000.0 EB,"BoundsError(""kMGTPE"", 7)"
35,0,1,0,0,45.55716538240329,-244.0,174094393,1.0,1.0,1.0,-9999999999999999,-10000000000000000,-9999999999999999B,-10000000000000000B
45,0,1,0,0,48.819791645029554,-235.5,176171134,1.0,1.0,1.0,-999999999999999999999,-1000000000000000000000,-999999999999999999999B,-1000000000000000000000B
43,0,1,0,0,52.12282194805985,-247.5,177983354,1.0,1.0,1.0,-100000000000000000000,-99999999999999999999,-100000000000000000000B,-99999999999999999999B
47,0,1,0,0,53.789488615531276,-242.0,182353019,1.0,1.0,1.0,-10000000000000000000000,-9999999999999999999999,-10000000000000000000000B,-9999999999999999999999B
55,0,1,0,0,54.789488615531276,-248.0,182917546,1.0,1.0,1.0,-99999999999999999999999999,-100000000000000000000000000,-99999999999999999999999999B,-100000000000000000000000000B
