bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
8,0,9,0,0,4.114473957973202,0.0,29999616,1.0,1.0,1.0,29,74,29,75,in,out
10,0,9,0,0,6.555255528364938,0.0,29999616,1.0,1.0,1.0,-74,32,-73,32,out,in
10,0,9,0,0,7.555255528364938,0.0,29999616,1.0,1.0,1.0,-79,-9,-80,-9,in,out
10,0,9,0,0,8.555255528364938,0.0,29999616,1.0,1.0,1.0,-78,13,-79,13,in,out
10,0,9,0,0,9.555255528364938,0.0,29999616,1.0,1.0,1.0,-45,67,-45,66,out,in
10,0,9,0,0,10.555255528364938,0.0,29999616,1.0,1.0,1.0,-68,43,-67,43,out,in
10,0,9,0,0,11.555255528364938,0.0,29999616,1.0,1.0,1.0,-7,-80,-7,-79,out,in
10,0,9,0,0,12.555255528364938,0.0,29999616,1.0,1.0,1.0,22,-76,22,-77,in,out
12,0,9,0,0,13.555255528364938,0.0,29999616,1.0,1.0,1.0,-32,-73,-33,-73,in,out
10,0,9,0,0,14.555255528364938,0.0,29999616,1.0,1.0,1.0,36,-71,37,-71,in,out
8,0,9,0,0,15.555255528364938,0.0,29999616,1.0,1.0,1.0,75,27,76,27,in,out
6,0,9,0,0,16.55525552836494,0.0,29999616,1.0,1.0,1.0,80,1,80,0,out,in
10,0,9,0,0,18.120641379593536,0.0,29999616,1.0,1.0,1.0,-30,75,-30,74,out,in
12,0,9,0,0,19.295414215799696,0.0,29999616,1.0,1.0,1.0,-20,-78,-20,-77,out,in
12,0,9,0,0,20.295414215799696,0.0,29999616,1.0,1.0,1.0,-40,-69,-40,-70,in,out
12,0,9,0,0,21.295414215799696,0.0,29999616,1.0,1.0,1.0,-31,-74,-31,-73,out,in
12,0,9,0,0,22.295414215799696,0.0,29999616,1.0,1.0,1.0,-10,-79,-10,-80,in,out
10,0,9,0,0,23.295414215799696,0.0,29999616,1.0,1.0,1.0,19,-77,19,-78,in,out
12,0,9,0,0,25.00252099698624,0.0,29999616,1.0,1.0,1.0,-36,-72,-36,-71,out,in
10,0,9,0,0,26.123788809504408,0.0,29999616,1.0,1.0,1.0,56,-57,56,-58,in,out
10,0,9,0,0,27.123788809504408,0.0,29999616,1.0,1.0,1.0,-6,-79,-6,-80,in,out
10,0,9,0,0,28.123788809504408,0.0,29999616,1.0,1.0,1.0,-75,28,-74,28,out,in
12,0,9,0,0,29.123788809504408,0.0,29999616,1.0,1.0,1.0,-24,-76,-24,-77,in,out
8,1,9,0,0,30.123788809504408,0.0,29999616,1.0,1.0,1.0,5,-80,5,-79,out,in
12,0,9,0,0,31.123788809504408,0.0,29999616,1.0,1.0,1.0,-19,-78,-19,-77,out,in
10,0,9,0,0,32.123788809504404,0.0,29999616,1.0,1.0,1.0,32,-74,32,-73,out,in
10,0,9,0,0,33.94001657552125,0.0,29999616,1.0,1.0,1.0,20,-78,20,-77,out,in
8,1,9,0,0,34.94001657552125,0.0,29999616,1.0,1.0,1.0,2,-79,2,-80,in,out
10,0,9,0,0,37.687563471227676,0.0,29999616,1.0,1.0,1.0,-80,10,-79,10,out,in
12,0,9,0,0,39.93658120380957,0.0,29999616,1.0,1.0,1.0,-13,-79,-13,-78,out,in
10,0,9,0,0,41.252808969826404,0.0,29999616,1.0,1.0,1.0,-66,45,-66,46,in,out
8,1,9,0,0,43.94437263031212,0.0,29999616,1.0,1.0,1.0,1,-80,1,-79,out,in
8,0,9,0,0,46.492642377163186,0.0,29999616,1.0,1.0,1.0,51,61,51,62,in,out
8,0,9,0,0,47.492642377163186,0.0,29999616,1.0,1.0,1.0,79,12,80,12,in,out
10,0,9,0,0,48.492642377163186,0.0,29999616,1.0,1.0,1.0,-1,-79,-1,-80,in,out
8,0,9,0,0,50.20237606481373,0.0,29999616,1.0,1.0,1.0,55,59,54,59,out,in
10,0,9,0,0,51.20237606481373,0.0,29999616,1.0,1.0,1.0,-60,53,-60,52,out,in
10,0,9,0,0,52.456230392764645,0.0,29999616,1.0,1.0,1.0,76,-26,75,-26,out,in
12,0,9,0,0,53.47165155123016,0.0,29999616,1.0,1.0,1.0,-77,-22,-76,-22,out,in
10,0,9,0,0,54.47165766881057,0.0,31652521,1.0,1.0,1.0,-78,18,-77,18,out,in
