run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,AutoBVA,NoSelection,0,1,55.913978494623656
30,AutoBVA,NoSelection,0,2,56.98924731182796
30,AutoBVA,NoSelection,0,3,55.913978494623656
30,AutoBVA,NoSelection,0,4,55.913978494623656
30,AutoBVA,NoSelection,0,5,56.98924731182796
30,AutoBVA,NoSelection,0,6,56.98924731182796
30,AutoBVA,NoSelection,0,7,56.98924731182796
30,AutoBVA,NoSelection,0,8,56.98924731182796
30,AutoBVA,NoSelection,0,9,55.913978494623656
30,AutoBVA,NoSelection,0,10,56.98924731182796
30,AutoBVA,NoSelection,0,11,56.98924731182796
30,AutoBVA,NoSelection,0,12,55.913978494623656
30,AutoBVA,NoSelection,0,13,56.98924731182796
30,AutoBVA,NoSelection,0,14,56.98924731182796
30,AutoBVA,NoSelection,0,15,55.913978494623656
30,AutoBVA,NoSelection,0,16,56.98924731182796
30,AutoBVA,NoSelection,0,17,56.98924731182796
30,AutoBVA,NoSelection,0,18,56.98924731182796
30,AutoBVA,NoSelection,0,19,56.98924731182796
30,AutoBVA,NoSelection,0,20,56.98924731182796
30,Bituniform,NoSelection,0,1,72.04301075268818
30,Bituniform,NoSelection,0,2,73.11827956989248
30,Bituniform,NoSelection,0,3,73.11827956989248
30,Bituniform,NoSelection,0,4,75.26881720430107
30,Bituniform,NoSelection,0,5,74.19354838709677
30,Bituniform,NoSelection,0,6,68.81720430107526
30,Bituniform,NoSelection,0,7,67.74193548387096
30,Bituniform,NoSelection,0,8,65.59139784946237
30,Bituniform,NoSelection,0,9,76.34408602150538
30,Bituniform,NoSelection,0,10,66.66666666666667
30,Bituniform,NoSelection,0,11,69.89247311827957
30,Bituniform,NoSelection,0,12,72.04301075268818
30,Bituniform,NoSelection,0,13,70.96774193548387
30,Bituniform,NoSelection,0,14,69.89247311827957
30,Bituniform,NoSelection,0,15,66.66666666666667
30,Bituniform,NoSelection,0,16,65.59139784946237
30,Bituniform,NoSelection,0,17,69.89247311827957
30,Bituniform,NoSelection,0,18,69.89247311827957
30,Bituniform,NoSelection,0,19,65.59139784946237
30,Bituniform,NoSelection,0,20,76.34408602150538
30,Bituniform,NoSelection,10,1,64.51612903225806
30,Bituniform,NoSelection,10,2,72.04301075268818
30,Bituniform,NoSelection,10,3,72.04301075268818
30,Bituniform,NoSelection,10,4,76.34408602150538
30,Bituniform,NoSelection,10,5,74.19354838709677
30,Bituniform,NoSelection,10,6,72.04301075268818
30,Bituniform,NoSelection,10,7,76.34408602150538
30,Bituniform,NoSelection,10,8,73.11827956989248
30,Bituniform,NoSelection,10,9,75.26881720430107
30,Bituniform,NoSelection,10,10,70.96774193548387
30,Bituniform,NoSelection,10,11,73.11827956989248
30,Bituniform,NoSelection,10,12,74.19354838709677
30,Bituniform,NoSelection,10,13,70.96774193548387
30,Bituniform,NoSelection,10,14,72.04301075268818
30,Bituniform,NoSelection,10,15,69.89247311827957
30,Bituniform,NoSelection,10,16,68.81720430107526
30,Bituniform,NoSelection,10,17,77.41935483870968
30,Bituniform,NoSelection,10,18,74.19354838709677
30,Bituniform,NoSelection,10,19,72.04301075268818
30,Bituniform,NoSelection,10,20,74.19354838709677
30,Mutation,Curiosity,0,1,95.6989247311828
30,Mutation,Curiosity,0,2,94.6236559139785
30,Mutation,Curiosity,0,3,93.54838709677419
30,Mutation,Curiosity,0,4,95.6989247311828
30,Mutation,Curiosity,0,5,96.7741935483871
30,Mutation,Curiosity,0,6,94.6236559139785
30,Mutation,Curiosity,0,7,94.6236559139785
30,Mutation,Curiosity,0,8,95.6989247311828
30,Mutation,Curiosity,0,9,95.6989247311828
30,Mutation,Curiosity,0,10,93.54838709677419
30,Mutation,Curiosity,0,11,95.6989247311828
30,Mutation,Curiosity,0,12,96.7741935483871
30,Mutation,Curiosity,0,13,93.54838709677419
30,Mutation,Curiosity,0,14,95.6989247311828
