run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,AutoBVA,NoSelection,0,1,1.0
30,AutoBVA,NoSelection,0,2,1.0
30,AutoBVA,NoSelection,0,3,1.0
30,AutoBVA,NoSelection,0,4,1.0
30,AutoBVA,NoSelection,0,5,1.0
30,AutoBVA,NoSelection,0,6,1.0
30,AutoBVA,NoSelection,0,7,1.0
30,AutoBVA,NoSelection,0,8,1.0
30,AutoBVA,NoSelection,0,9,1.0
30,AutoBVA,NoSelection,0,10,1.0
30,AutoBVA,NoSelection,0,11,1.0
30,AutoBVA,NoSelection,0,12,1.0
30,AutoBVA,NoSelection,0,13,1.0
30,AutoBVA,NoSelection,0,14,1.0
30,AutoBVA,NoSelection,0,15,1.0
30,AutoBVA,NoSelection,0,16,1.0
30,AutoBVA,NoSelection,0,17,1.0
30,AutoBVA,NoSelection,0,18,1.0
30,AutoBVA,NoSelection,0,19,1.0
30,AutoBVA,NoSelection,0,20,1.0
30,Bituniform,NoSelection,0,1,1.0
30,Bituniform,NoSelection,0,2,1.0
30,Bituniform,NoSelection,0,3,0.96
30,Bituniform,NoSelection,0,4,0.96
30,Bituniform,NoSelection,0,5,1.0
30,Bituniform,NoSelection,0,6,0.9761904761904763
30,Bituniform,NoSelection,0,7,0.942857142857143
30,Bituniform,NoSelection,0,8,0.96
30,Bituniform,NoSelection,0,9,0.96
30,Bituniform,NoSelection,0,10,0.96
30,Bituniform,NoSelection,0,11,1.0
30,Bituniform,NoSelection,0,12,1.0
30,Bituniform,NoSelection,0,13,1.0
30,Bituniform,NoSelection,0,14,1.0
30,Bituniform,NoSelection,0,15,0.96
30,Bituniform,NoSelection,0,16,1.0
30,Bituniform,NoSelection,0,17,1.0
30,Bituniform,NoSelection,0,18,0.96
30,Bituniform,NoSelection,0,19,1.0
30,Bituniform,NoSelection,0,20,0.96
30,Bituniform,NoSelection,10,1,0.9581529581529582
30,Bituniform,NoSelection,10,2,0.9777777777777779
30,Bituniform,NoSelection,10,3,0.961904761904762
30,Bituniform,NoSelection,10,4,0.9777777777777779
30,Bituniform,NoSelection,10,5,0.9422012331103242
30,Bituniform,NoSelection,10,6,0.9551066217732885
30,Bituniform,NoSelection,10,7,0.9551882460973371
