run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,AutoBVA,NoSelection,0,1,0.8945114513910771
30,AutoBVA,NoSelection,0,2,0.9319878375716091
30,AutoBVA,NoSelection,0,3,0.919751975229073
30,AutoBVA,NoSelection,0,4,0.9258549713217331
30,AutoBVA,NoSelection,0,5,0.9212749247085112
30,AutoBVA,NoSelection,0,6,0.9239963174264747
30,AutoBVA,NoSelection,0,7,0.8889307491603967
30,AutoBVA,NoSelection,0,8,0.9245951014675419
30,AutoBVA,NoSelection,0,9,0.9060714809205354
30,AutoBVA,NoSelection,0,10,0.9267337114669151
30,AutoBVA,NoSelection,0,11,0.901055031600856
30,AutoBVA,NoSelection,0,12,0.9142095866465357
30,AutoBVA,NoSelection,0,13,0.9007828196987708
30,AutoBVA,NoSelection,0,14,0.918492123879718
30,AutoBVA,NoSelection,0,15,0.8887465835149158
30,AutoBVA,NoSelection,0,16,0.8938840835916476
30,AutoBVA,NoSelection,0,17,0.8933835742767191
30,AutoBVA,NoSelection,0,18,0.9033616309882677
30,AutoBVA,NoSelection,0,19,0.9391493054928547
30,AutoBVA,NoSelection,0,20,0.9366938832684644
30,Bituniform,NoSelection,0,1,0.0840284289195128
30,Bituniform,NoSelection,0,2,0.08520907546526735
30,Bituniform,NoSelection,0,3,0.0891092686744283
30,Bituniform,NoSelection,0,4,0.09115899522750402
30,Bituniform,NoSelection,0,5,0.08894365941695635
30,Bituniform,NoSelection,0,6,0.0927545874095345
30,Bituniform,NoSelection,0,7,0.09452016330447408
30,Bituniform,NoSelection,0,8,0.08368567166790579
30,Bituniform,NoSelection,0,9,0.08173333398919254
30,Bituniform,NoSelection,0,10,0.08914573507196734
30,Bituniform,NoSelection,0,11,0.09328208556757316
30,Bituniform,NoSelection,0,12,0.09163414895417228
30,Bituniform,NoSelection,0,13,0.09287320141121881
30,Bituniform,NoSelection,0,14,0.0903198097620865
30,Bituniform,NoSelection,0,15,0.08364822286068545
30,Bituniform,NoSelection,0,16,0.09258617107955315
30,Bituniform,NoSelection,0,17,0.09028360214666148
30,Bituniform,NoSelection,0,18,0.08632613200423911
30,Bituniform,NoSelection,0,19,0.0886058454060659
30,Bituniform,NoSelection,0,20,0.09104818632887873
30,Bituniform,NoSelection,10,1,0.11720331129161106
30,Bituniform,NoSelection,10,2,0.11002706925231132
30,Bituniform,NoSelection,10,3,0.1008574195405908
30,Bituniform,NoSelection,10,4,0.09875367313008457
30,Bituniform,NoSelection,10,5,0.1151583359115797
30,Bituniform,NoSelection,10,6,0.10763430254413774
30,Bituniform,NoSelection,10,7,0.10433404293670455
30,Bituniform,NoSelection,10,8,0.10456994476697426
30,Bituniform,NoSelection,10,9,0.0995927367090466
30,Bituniform,NoSelection,10,10,0.09834932643965444
30,Bituniform,NoSelection,10,11,0.10238088820037973
30,Bituniform,NoSelection,10,12,0.10326593533087744
30,Bituniform,NoSelection,10,13,0.11162042406202763
30,Bituniform,NoSelection,10,14,0.10146541288195292
30,Bituniform,NoSelection,10,15,0.12337665085424268
30,Bituniform,NoSelection,10,16,0.09580790244739919
30,Bituniform,NoSelection,10,17,0.11579544175458063
30,Bituniform,NoSelection,10,18,0.10662166408493205
30,Bituniform,NoSelection,10,19,0.11684936533555876
30,Bituniform,NoSelection,10,20,0.10996163227963551
30,Mutation,Curiosity,0,1,0.035065495664347544
30,Mutation,Curiosity,0,2,0.04321485510314987
30,Mutation,Curiosity,0,3,0.04120306554605615
30,Mutation,Curiosity,0,4,0.07950884880959369
30,Mutation,Curiosity,0,5,0.04192888142290694
30,Mutation,Curiosity,0,6,0.05653063341117391
30,Mutation,Curiosity,0,7,0.054518953110099806
30,Mutation,Curiosity,0,8,0.04600773094783114
30,Mutation,Curiosity,0,9,0.05318243629746078
30,Mutation,Curiosity,0,10,0.042613006006585824
30,Mutation,Curiosity,0,11,0.06372465559387688
30,Mutation,Curiosity,0,12,0.04424458384840546
30,Mutation,Curiosity,0,13,0.05549599044405656
30,Mutation,Curiosity,0,14,0.05035399683897096
30,Mutation,Curiosity,0,15,0.042256576926145296
30,Mutation,Curiosity,0,16,0.04967822729831836
30,Mutation,Curiosity,0,17,0.04367370571799731
30,Mutation,Curiosity,0,18,0.03994846648081758
30,Mutation,Curiosity,0,19,0.04169880459237812
30,Mutation,Curiosity,0,20,0.08243374863288064
30,Mutation,Curiosity,10,1,0.12227531953594212
30,Mutation,Curiosity,10,2,0.09610214043445989
30,Mutation,Curiosity,10,3,0.09203170446408138
30,Mutation,Curiosity,10,4,0.07573802492014554
30,Mutation,Curiosity,10,5,0.07755824207808831
30,Mutation,Curiosity,10,6,0.07659453286989501
30,Mutation,Curiosity,10,7,0.09160394229540045
30,Mutation,Curiosity,10,8,0.0891268663652549
30,Mutation,Curiosity,10,9,0.06199813858894752
30,Mutation,Curiosity,10,10,0.08561329416961329
