run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,AutoBVA,NoSelection,0,1,0.9381431748002871
30,AutoBVA,NoSelection,0,2,0.9390941506007077
30,AutoBVA,NoSelection,0,3,0.9393662861988845
30,AutoBVA,NoSelection,0,4,0.9336138674638236
30,AutoBVA,NoSelection,0,5,0.9317246170516374
30,AutoBVA,NoSelection,0,6,0.9330121441547479
30,AutoBVA,NoSelection,0,7,0.9379358390544981
30,AutoBVA,NoSelection,0,8,0.9394331509549061
30,AutoBVA,NoSelection,0,9,0.9319820069696536
30,AutoBVA,NoSelection,0,10,0.9361850052149145
30,AutoBVA,NoSelection,0,11,0.935968827157669
30,AutoBVA,NoSelection,0,12,0.9412038882301673
30,AutoBVA,NoSelection,0,13,0.9357246474819153
30,AutoBVA,NoSelection,0,14,0.9436626854552513
30,AutoBVA,NoSelection,0,15,0.9339887714719587
30,AutoBVA,NoSelection,0,16,0.9355787995714046
30,AutoBVA,NoSelection,0,17,0.9325450929152511
30,AutoBVA,NoSelection,0,18,0.9506394072437286
30,AutoBVA,NoSelection,0,19,0.9338808806694593
30,AutoBVA,NoSelection,0,20,0.941063089117252
30,Bituniform,NoSelection,0,1,0.7148194787060326
30,Bituniform,NoSelection,0,2,0.7013701116802754
30,Bituniform,NoSelection,0,3,0.6964308842520056
30,Bituniform,NoSelection,0,4,0.7108768598706225
30,Bituniform,NoSelection,0,5,0.6954434689635314
30,Bituniform,NoSelection,0,6,0.7186122955030683
30,Bituniform,NoSelection,0,7,0.7035736726901247
30,Bituniform,NoSelection,0,8,0.6935042386850258
30,Bituniform,NoSelection,0,9,0.6891251549395132
30,Bituniform,NoSelection,0,10,0.6997575823891582
30,Bituniform,NoSelection,0,11,0.7083951830366814
30,Bituniform,NoSelection,0,12,0.7193083581442103
30,Bituniform,NoSelection,0,13,0.6884838518934479
30,Bituniform,NoSelection,0,14,0.6717574852824725
30,Bituniform,NoSelection,0,15,0.6935984795674562
30,Bituniform,NoSelection,0,16,0.7031983790747649
30,Bituniform,NoSelection,0,17,0.68693646475719
30,Bituniform,NoSelection,0,18,0.6983325149395101
30,Bituniform,NoSelection,0,19,0.676358801484342
30,Bituniform,NoSelection,0,20,0.6943368100333173
30,Bituniform,NoSelection,10,1,0.7132176994935384
30,Bituniform,NoSelection,10,2,0.706172674221719
30,Bituniform,NoSelection,10,3,0.7108041983781472
30,Bituniform,NoSelection,10,4,0.7059032573485698
30,Bituniform,NoSelection,10,5,0.7078889254028745
