run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,Mutation,Uniform,10,1,0.2209596536141975
30,Mutation,Uniform,10,2,0.22201932260794313
30,Mutation,Uniform,10,3,0.22475916251410027
30,Mutation,Uniform,10,4,0.22732653110172032
30,Mutation,Uniform,10,5,0.21760885965855634
30,Mutation,Uniform,10,6,0.22040925890355545
30,Mutation,Uniform,10,7,0.22517185085403343
30,Mutation,Uniform,10,8,0.2261603784163308
30,Mutation,Uniform,10,9,0.22524528770214663
30,Mutation,Uniform,10,10,0.22103016671171466
30,Mutation,Uniform,10,11,0.2189985921041723
30,Mutation,Uniform,10,12,0.20599136202614957
30,Mutation,Uniform,10,13,0.2244291965366785
30,Mutation,Uniform,10,14,0.22355200805058606
30,Mutation,Uniform,10,15,0.2114255753042342
30,Mutation,Uniform,10,16,0.22395416617410566
30,Mutation,Uniform,10,17,0.22080434856396983
30,Mutation,Uniform,10,18,0.22689894036973024
30,Mutation,Uniform,10,19,0.22900563797557075
30,Mutation,Uniform,10,20,0.21875948598961792
