run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,Mutation,Uniform,0,1,0.20945285460898436
30,Mutation,Uniform,0,2,0.22191950854570403
30,Mutation,Uniform,0,3,0.2154500122584518
30,Mutation,Uniform,0,4,0.21590994704158734
30,Mutation,Uniform,0,5,0.21846412377514743
30,Mutation,Uniform,0,6,0.20875420039964704
30,Mutation,Uniform,0,7,0.21581727489526095
30,Mutation,Uniform,0,8,0.21956947002055727
30,Mutation,Uniform,0,9,0.22155358401506517
30,Mutation,Uniform,0,10,0.20733915908441997
30,Mutation,Uniform,0,11,0.21609801996428374
30,Mutation,Uniform,0,12,0.21229046578636213
30,Mutation,Uniform,0,13,0.21715862937477629
30,Mutation,Uniform,0,14,0.21237787699747038
30,Mutation,Uniform,0,15,0.2191599680886857
30,Mutation,Uniform,0,16,0.20915178484237373
30,Mutation,Uniform,0,17,0.22399274597954513
30,Mutation,Uniform,0,18,0.21554351171710692
30,Mutation,Uniform,0,19,0.2169020558904191
30,Mutation,Uniform,0,20,0.22304060246760188
