run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,Mutation,Uniform,10,1,31.89859421892276
30,Mutation,Uniform,10,2,31.98546833043753
30,Mutation,Uniform,10,3,32.34876006949929
30,Mutation,Uniform,10,4,31.740641288895908
30,Mutation,Uniform,10,5,32.340862422997944
30,Mutation,Uniform,10,6,33.335965882167116
30,Mutation,Uniform,10,7,33.50181645869531
30,Mutation,Uniform,10,8,33.012162375612064
30,Mutation,Uniform,10,9,33.12272942663086
30,Mutation,Uniform,10,10,32.56199652503554
30,Mutation,Uniform,10,11,33.209603538145636
30,Mutation,Uniform,10,12,32.14342126046438
30,Mutation,Uniform,10,13,32.72784710156373
30,Mutation,Uniform,10,14,33.08324119412415
30,Mutation,Uniform,10,15,33.48602116569263
30,Mutation,Uniform,10,16,33.25698941715369
30,Mutation,Uniform,10,17,32.71205180856105
30,Mutation,Uniform,10,18,32.48302006002211
30,Mutation,Uniform,10,19,32.30927183699258
30,Mutation,Uniform,10,20,32.26188595798452
