run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
600,Mutation,Uniform,10,1,0.3720834345048678
600,Mutation,Uniform,10,2,0.3805209449787927
600,Mutation,Uniform,10,3,0.3832331307724514
600,Mutation,Uniform,10,4,0.3780561564797882
600,Mutation,Uniform,10,5,0.38506159030694237
600,Mutation,Uniform,10,6,0.37734371553688195
600,Mutation,Uniform,10,7,0.3798759304615572
600,Mutation,Uniform,10,8,0.37934430246759027
600,Mutation,Uniform,10,9,0.3759089189600586
600,Mutation,Uniform,10,10,0.38132502515964445
600,Mutation,Uniform,10,11,0.3791141011361042
600,Mutation,Uniform,10,12,0.3800107817996046
600,Mutation,Uniform,10,13,0.38128452989501327
600,Mutation,Uniform,10,14,0.38157669977461856
600,Mutation,Uniform,10,15,0.3729547104586806
600,Mutation,Uniform,10,16,0.37068100271837773
600,Mutation,Uniform,10,17,0.36900227501849775
600,Mutation,Uniform,10,18,0.37459999934094323
600,Mutation,Uniform,10,19,0.3742934466754409
600,Mutation,Uniform,10,20,0.3763825721605748
