run_duration,emitter,parent_selection,tracer_budget,run_number,rac
30,Mutation,Uniform,10,1,37.57225433526011
30,Mutation,Uniform,10,2,37.84922928709056
30,Mutation,Uniform,10,3,38.896917148362235
30,Mutation,Uniform,10,4,39.10163776493256
30,Mutation,Uniform,10,5,37.80105973025048
30,Mutation,Uniform,10,6,37.8733140655106
30,Mutation,Uniform,10,7,38.33092485549133
30,Mutation,Uniform,10,8,39.25818882466281
30,Mutation,Uniform,10,9,38.53564547206166
30,Mutation,Uniform,10,10,39.57129094412331
30,Mutation,Uniform,10,11,37.33140655105973
30,Mutation,Uniform,10,12,35.45279383429673
30,Mutation,Uniform,10,13,36.25963391136801
30,Mutation,Uniform,10,14,37.632466281310215
30,Mutation,Uniform,10,15,38.23458574181117
30,Mutation,Uniform,10,16,36.95809248554913
30,Mutation,Uniform,10,17,37.8131021194605
30,Mutation,Uniform,10,18,35.75385356454721
30,Mutation,Uniform,10,19,35.8140655105973
30,Mutation,Uniform,10,20,38.4995183044316
