run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
600,Mutation,Uniform,0,1,0.43281633302714817
600,Mutation,Uniform,0,2,0.4392589302495799
600,Mutation,Uniform,0,3,0.4404180254262927
600,Mutation,Uniform,0,4,0.4422159010067679
600,Mutation,Uniform,0,5,0.4419206367293509
600,Mutation,Uniform,0,6,0.44253517644370755
600,Mutation,Uniform,0,7,0.43859588458760035
600,Mutation,Uniform,0,8,0.443316781844027
600,Mutation,Uniform,0,9,0.44155128818566436
600,Mutation,Uniform,0,10,0.44060770910012387
600,Mutation,Uniform,0,11,0.4398813672053587
600,Mutation,Uniform,0,12,0.4354534924800876
600,Mutation,Uniform,0,13,0.4394451480618747
600,Mutation,Uniform,0,14,0.43550405807522347
600,Mutation,Uniform,0,15,0.4384763379452702
600,Mutation,Uniform,0,16,0.4403752679263184
600,Mutation,Uniform,0,17,0.4452384924688522
600,Mutation,Uniform,0,18,0.42430920394188937
600,Mutation,Uniform,0,19,0.42725710361854946
600,Mutation,Uniform,0,20,0.4306040187399585
