run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,Mutation,Uniform,10,1,0.19374236075094184
30,Mutation,Uniform,10,2,0.1961356934446066
30,Mutation,Uniform,10,3,0.1933743901552575
30,Mutation,Uniform,10,4,0.1880379144642036
30,Mutation,Uniform,10,5,0.1853582241126371
30,Mutation,Uniform,10,6,0.18594765144150907
30,Mutation,Uniform,10,7,0.18345653852315266
30,Mutation,Uniform,10,8,0.19749442558257033
30,Mutation,Uniform,10,9,0.19202732107487636
30,Mutation,Uniform,10,10,0.1874261086572801
30,Mutation,Uniform,10,11,0.2007805696451986
30,Mutation,Uniform,10,12,0.1891196619428758
30,Mutation,Uniform,10,13,0.1827952554420705
30,Mutation,Uniform,10,14,0.1830398228169125
30,Mutation,Uniform,10,15,0.19322773255320772
30,Mutation,Uniform,10,16,0.1834278603259831
30,Mutation,Uniform,10,17,0.19278126158056869
30,Mutation,Uniform,10,18,0.18302809987565175
30,Mutation,Uniform,10,19,0.18971537885841497
30,Mutation,Uniform,10,20,0.1926434318645137
