run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
30,Mutation,Uniform,0,1,0.2370198168052821
30,Mutation,Uniform,0,2,0.2535113619121512
30,Mutation,Uniform,0,3,0.24321353599007423
30,Mutation,Uniform,0,4,0.23562192283632616
30,Mutation,Uniform,0,5,0.2506144808787124
30,Mutation,Uniform,0,6,0.2436214539806778
30,Mutation,Uniform,0,7,0.24748142210072652
30,Mutation,Uniform,0,8,0.23601219812264926
30,Mutation,Uniform,0,9,0.24709297466722685
30,Mutation,Uniform,0,10,0.2504358623192161
30,Mutation,Uniform,0,11,0.2469098696426637
30,Mutation,Uniform,0,12,0.2516835976473543
30,Mutation,Uniform,0,13,0.2329251482645179
30,Mutation,Uniform,0,14,0.24871709432200628
30,Mutation,Uniform,0,15,0.24876978350421516
30,Mutation,Uniform,0,16,0.24221234992941415
30,Mutation,Uniform,0,17,0.24626316954757488
30,Mutation,Uniform,0,18,0.24581215387712885
30,Mutation,Uniform,0,19,0.24743672253432913
30,Mutation,Uniform,0,20,0.2494711915886136
