run_duration,emitter,parent_selection,tracer_budget,run_number,cnpd
600,Mutation,Uniform,0,1,0.4173349093040439
600,Mutation,Uniform,0,2,0.430088112720018
600,Mutation,Uniform,0,3,0.4235257293903888
600,Mutation,Uniform,0,4,0.4196206162040319
600,Mutation,Uniform,0,5,0.4271719690379899
600,Mutation,Uniform,0,6,0.42314172278639944
600,Mutation,Uniform,0,7,0.4253797769587826
600,Mutation,Uniform,0,8,0.4283055502736316
600,Mutation,Uniform,0,9,0.42712876656480026
600,Mutation,Uniform,0,10,0.428086391428682
600,Mutation,Uniform,0,11,0.4300685299870891
600,Mutation,Uniform,0,12,0.4272795420899327
600,Mutation,Uniform,0,13,0.4240336515564467
600,Mutation,Uniform,0,14,0.42630902933587556
600,Mutation,Uniform,0,15,0.42355208411124806
600,Mutation,Uniform,0,16,0.4241435637233324
600,Mutation,Uniform,0,17,0.41902363136488396
600,Mutation,Uniform,0,18,0.4123857844275446
600,Mutation,Uniform,0,19,0.4128616045609099
600,Mutation,Uniform,0,20,0.41733018822085777
