h,w,output,outputtype,datatype,metric,n_h,n_w,n_output,n_outputtype,n_datatype,count
23,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,23,0,Underweight,valid,String,2
15,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,15,0,Underweight,valid,String,2
14,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,14,0,Underweight,valid,String,3
13,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,13,0,Underweight,valid,String,2
12,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12,0,Underweight,valid,String,2
10,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,10,0,Underweight,valid,String,2
7,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7,0,Underweight,valid,String,5
5,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,5,0,Underweight,valid,String,3
4,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,4,0,Underweight,valid,String,3
3,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3,0,Underweight,valid,String,3
2,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2,0,Underweight,valid,String,5
1,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,1,0,Underweight,valid,String,34
0,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,10
-1,9,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,9,Severely obese,valid,String,3
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,1,Severely obese,valid,String,11
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,41.0,0,0,Severely obese,valid,String,25
36853600452088616,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,36853600452088616,0,Underweight,valid,String,1
8098573883631842,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,8098573883631842,0,Underweight,valid,String,1
26351887421460,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,26351887421460,0,Underweight,valid,String,1
192078107305,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,192078107305,0,Underweight,valid,String,1
129278636,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,129278636,0,Underweight,valid,String,1
62318435,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,62318435,0,Underweight,valid,String,1
41416855,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,41416855,0,Underweight,valid,String,1
7666079,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,7666079,0,Underweight,valid,String,1
3916701,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3916701,0,Underweight,valid,String,1
3427767,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3427767,0,Underweight,valid,String,1
3091839,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,3091839,0,Underweight,valid,String,1
2931154,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2931154,0,Underweight,valid,String,1
2471853,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,2471853,0,Underweight,valid,String,1
319596,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,319596,0,Underweight,valid,String,1
235039,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,235039,0,Underweight,valid,String,1
104792,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,104792,0,Underweight,valid,String,1
70018,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,70018,0,Underweight,valid,String,1
37075,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,37075,0,Underweight,valid,String,1
32601,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,32601,0,Underweight,valid,String,1
19728,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,19728,0,Underweight,valid,String,1
19458,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,19458,0,Underweight,valid,String,1
12021,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12021,0,Underweight,valid,String,1
12010,-1,"DomainError(""Height or Weight cannot be negative."", """")",error,DomainError,44.0,12010,0,Underweight,valid,String,1
