bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,466
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,1705
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,273
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,520
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,668
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,1651
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,1756
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,1838
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,1945
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,1838
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,1846
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,1896
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,1822
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,1878
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,3458
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,4413
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,4515
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,5940
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,4724
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,9864
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,8561
99,99B,valid,String,1.0,100,100B,valid,String,18887
9,9B,valid,String,1.0,10,10B,valid,String,38554
false,falseB,valid,String,1.0,true,trueB,valid,String,40340
-1,-1B,valid,String,1.0,0,0B,valid,String,34103
-10,-10B,valid,String,1.0,-9,-9B,valid,String,15994
-100,-100B,valid,String,1.0,-99,-99B,valid,String,9790
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,5035
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,7114
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,3589
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,5012
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,3643
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,3539
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,2613
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,1472
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,1485
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,1608
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,1620
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,1555
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,1593
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,1554
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,1575
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,1422
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,525
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,559
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,369
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,791
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,532
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,510
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,527
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,544
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,528
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,529
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,512
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,355
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,126
-100000000000000000000000000000000,-100000000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,valid,String,26
-10000000000000000000000000000000000,-10000000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999999,-9999999999999999999999999999999999B,valid,String,1
