a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
65532,false,DivideError(),error,DivideError,8.0,65532,true,65532,valid,UInt16,2
64521,false,DivideError(),error,DivideError,8.0,64521,true,64521,valid,UInt16,2
64493,false,DivideError(),error,DivideError,8.0,64493,true,64493,valid,UInt16,2
64362,false,DivideError(),error,DivideError,8.0,64362,true,64362,valid,UInt16,2
63412,false,DivideError(),error,DivideError,8.0,63412,true,63412,valid,UInt16,2
63389,false,DivideError(),error,DivideError,8.0,63389,true,63389,valid,UInt16,2
61592,false,DivideError(),error,DivideError,8.0,61592,true,61592,valid,UInt16,2
61129,false,DivideError(),error,DivideError,8.0,61129,true,61129,valid,UInt16,2
60583,false,DivideError(),error,DivideError,8.0,60583,true,60583,valid,UInt16,2
60205,false,DivideError(),error,DivideError,8.0,60205,true,60205,valid,UInt16,2
59424,false,DivideError(),error,DivideError,8.0,59424,true,59424,valid,UInt16,2
59135,false,DivideError(),error,DivideError,8.0,59135,true,59135,valid,UInt16,2
58882,false,DivideError(),error,DivideError,8.0,58882,true,58882,valid,UInt16,2
57866,false,DivideError(),error,DivideError,8.0,57866,true,57866,valid,UInt16,3
55929,false,DivideError(),error,DivideError,8.0,55929,true,55929,valid,UInt16,2
55498,false,DivideError(),error,DivideError,8.0,55498,true,55498,valid,UInt16,2
55107,false,DivideError(),error,DivideError,8.0,55107,true,55107,valid,UInt16,2
54982,false,DivideError(),error,DivideError,8.0,54982,true,54982,valid,UInt16,2
54683,false,DivideError(),error,DivideError,8.0,54683,true,54683,valid,UInt16,2
53982,false,DivideError(),error,DivideError,8.0,53982,true,53982,valid,UInt16,2
53929,false,DivideError(),error,DivideError,8.0,53929,true,53929,valid,UInt16,2
53597,false,DivideError(),error,DivideError,8.0,53597,true,53597,valid,UInt16,2
53491,false,DivideError(),error,DivideError,8.0,53491,true,53491,valid,UInt16,2
52890,false,DivideError(),error,DivideError,8.0,52890,true,52890,valid,UInt16,2
52222,false,DivideError(),error,DivideError,8.0,52222,true,52222,valid,UInt16,2
51450,false,DivideError(),error,DivideError,8.0,51450,true,51450,valid,UInt16,2
51063,false,DivideError(),error,DivideError,8.0,51063,true,51063,valid,UInt16,2
50781,false,DivideError(),error,DivideError,8.0,50781,true,50781,valid,UInt16,2
49746,false,DivideError(),error,DivideError,8.0,49746,true,49746,valid,UInt16,3
49297,false,DivideError(),error,DivideError,8.0,49297,true,49297,valid,UInt16,2
48943,false,DivideError(),error,DivideError,8.0,48943,true,48943,valid,UInt16,3
48928,false,DivideError(),error,DivideError,8.0,48928,true,48928,valid,UInt16,2
48697,false,DivideError(),error,DivideError,8.0,48697,true,48697,valid,UInt16,2
48160,false,DivideError(),error,DivideError,8.0,48160,true,48160,valid,UInt16,2
47726,false,DivideError(),error,DivideError,8.0,47726,true,47726,valid,UInt16,2
46897,false,DivideError(),error,DivideError,8.0,46897,true,46897,valid,UInt16,2
46798,false,DivideError(),error,DivideError,8.0,46798,true,46798,valid,UInt16,2
46630,false,DivideError(),error,DivideError,8.0,46630,true,46630,valid,UInt16,2
45886,false,DivideError(),error,DivideError,8.0,45886,true,45886,valid,UInt16,3
43813,false,DivideError(),error,DivideError,8.0,43813,true,43813,valid,UInt16,2
43671,false,DivideError(),error,DivideError,8.0,43671,true,43671,valid,UInt16,2
43558,false,DivideError(),error,DivideError,8.0,43558,true,43558,valid,UInt16,2
43509,false,DivideError(),error,DivideError,8.0,43509,true,43509,valid,UInt16,3
42500,false,DivideError(),error,DivideError,8.0,42500,true,42500,valid,UInt16,2
42060,false,DivideError(),error,DivideError,8.0,42060,true,42060,valid,UInt16,2
41287,false,DivideError(),error,DivideError,8.0,41287,true,41287,valid,UInt16,2
41225,false,DivideError(),error,DivideError,8.0,41225,true,41225,valid,UInt16,2
41180,false,DivideError(),error,DivideError,8.0,41180,true,41180,valid,UInt16,3
40403,false,DivideError(),error,DivideError,8.0,40403,true,40403,valid,UInt16,2
39804,false,DivideError(),error,DivideError,8.0,39804,true,39804,valid,UInt16,2
39612,false,DivideError(),error,DivideError,8.0,39612,true,39612,valid,UInt16,2
39457,false,DivideError(),error,DivideError,8.0,39457,true,39457,valid,UInt16,2
38931,false,DivideError(),error,DivideError,8.0,38931,true,38931,valid,UInt16,2
38751,false,DivideError(),error,DivideError,8.0,38751,true,38751,valid,UInt16,2
37918,false,DivideError(),error,DivideError,8.0,37918,true,37918,valid,UInt16,2
37790,false,DivideError(),error,DivideError,8.0,37790,true,37790,valid,UInt16,3
37455,false,DivideError(),error,DivideError,8.0,37455,true,37455,valid,UInt16,2
36342,false,DivideError(),error,DivideError,8.0,36342,true,36342,valid,UInt16,2
36200,false,DivideError(),error,DivideError,8.0,36200,true,36200,valid,UInt16,2
36180,false,DivideError(),error,DivideError,8.0,36180,true,36180,valid,UInt16,2
34191,false,DivideError(),error,DivideError,8.0,34191,true,34191,valid,UInt16,2
33649,false,DivideError(),error,DivideError,8.0,33649,true,33649,valid,UInt16,2
33412,false,DivideError(),error,DivideError,8.0,33412,true,33412,valid,UInt16,2
33190,false,DivideError(),error,DivideError,8.0,33190,true,33190,valid,UInt16,2
32556,false,DivideError(),error,DivideError,8.0,32556,true,32556,valid,Int64,2
32547,false,DivideError(),error,DivideError,8.0,32547,true,32547,valid,Int64,2
31646,false,DivideError(),error,DivideError,8.0,31646,true,31646,valid,Int64,2
31519,false,DivideError(),error,DivideError,8.0,31519,true,31519,valid,UInt16,2
31465,false,DivideError(),error,DivideError,8.0,31465,true,31465,valid,UInt16,2
31321,false,DivideError(),error,DivideError,8.0,31321,true,31321,valid,UInt16,2
30965,false,DivideError(),error,DivideError,8.0,30965,true,30965,valid,Int64,2
30884,false,DivideError(),error,DivideError,8.0,30884,true,30884,valid,Int64,2
30740,false,DivideError(),error,DivideError,8.0,30740,true,30740,valid,UInt16,2
30496,false,DivideError(),error,DivideError,8.0,30496,true,30496,valid,UInt16,2
30252,false,DivideError(),error,DivideError,8.0,30252,true,30252,valid,Int64,2
29399,false,DivideError(),error,DivideError,8.0,29399,true,29399,valid,UInt16,2
29333,false,DivideError(),error,DivideError,8.0,29333,true,29333,valid,UInt16,2
28796,false,DivideError(),error,DivideError,8.0,28796,true,28796,valid,UInt16,2
28484,false,DivideError(),error,DivideError,8.0,28484,true,28484,valid,UInt16,2
27788,false,DivideError(),error,DivideError,8.0,27788,true,27788,valid,Int64,3
27294,false,DivideError(),error,DivideError,8.0,27294,true,27294,valid,UInt16,2
27080,false,DivideError(),error,DivideError,8.0,27080,true,27080,valid,UInt16,2
26981,false,DivideError(),error,DivideError,8.0,26981,true,26981,valid,UInt16,2
26827,false,DivideError(),error,DivideError,8.0,26827,true,26827,valid,Int64,2
26605,false,DivideError(),error,DivideError,8.0,26605,true,26605,valid,UInt16,2
26525,false,DivideError(),error,DivideError,8.0,26525,true,26525,valid,UInt16,2
25785,false,DivideError(),error,DivideError,8.0,25785,true,25785,valid,UInt16,2
25783,false,DivideError(),error,DivideError,8.0,25783,true,25783,valid,UInt16,2
25772,false,DivideError(),error,DivideError,8.0,25772,true,25772,valid,UInt16,2
25315,false,DivideError(),error,DivideError,8.0,25315,true,25315,valid,Int64,2
25008,false,DivideError(),error,DivideError,8.0,25008,true,25008,valid,UInt16,2
24979,false,DivideError(),error,DivideError,8.0,24979,true,24979,valid,UInt16,2
24504,false,DivideError(),error,DivideError,8.0,24504,true,24504,valid,Int64,2
23715,false,DivideError(),error,DivideError,8.0,23715,true,23715,valid,UInt16,3
23507,false,DivideError(),error,DivideError,8.0,23507,true,23507,valid,Int64,3
23057,false,DivideError(),error,DivideError,8.0,23057,true,23057,valid,Int64,2
22131,false,DivideError(),error,DivideError,8.0,22131,true,22131,valid,Int64,2
21952,false,DivideError(),error,DivideError,8.0,21952,true,21952,valid,Int64,2
21278,false,DivideError(),error,DivideError,8.0,21278,true,21278,valid,UInt16,2
21151,false,DivideError(),error,DivideError,8.0,21151,true,21151,valid,UInt16,2
20899,false,DivideError(),error,DivideError,8.0,20899,true,20899,valid,UInt16,2
20823,false,DivideError(),error,DivideError,8.0,20823,true,20823,valid,UInt16,2
20680,false,DivideError(),error,DivideError,8.0,20680,true,20680,valid,Int64,2
20543,false,DivideError(),error,DivideError,8.0,20543,true,20543,valid,UInt16,2
20486,false,DivideError(),error,DivideError,8.0,20486,true,20486,valid,UInt16,2
19237,false,DivideError(),error,DivideError,8.0,19237,true,19237,valid,Int64,2
19220,false,DivideError(),error,DivideError,8.0,19220,true,19220,valid,Int64,2
18836,false,DivideError(),error,DivideError,8.0,18836,true,18836,valid,Int64,2
18743,false,DivideError(),error,DivideError,8.0,18743,true,18743,valid,Int64,2
18539,false,DivideError(),error,DivideError,8.0,18539,true,18539,valid,Int64,2
18325,false,DivideError(),error,DivideError,8.0,18325,true,18325,valid,UInt16,2
18029,false,DivideError(),error,DivideError,8.0,18029,true,18029,valid,Int64,2
17993,false,DivideError(),error,DivideError,8.0,17993,true,17993,valid,UInt16,2
17710,false,DivideError(),error,DivideError,8.0,17710,true,17710,valid,UInt16,2
17326,false,DivideError(),error,DivideError,8.0,17326,true,17326,valid,Int64,2
17155,false,DivideError(),error,DivideError,8.0,17155,true,17155,valid,UInt16,2
16476,false,DivideError(),error,DivideError,8.0,16476,true,16476,valid,UInt16,2
16403,false,DivideError(),error,DivideError,8.0,16403,true,16403,valid,Int64,2
16251,false,DivideError(),error,DivideError,8.0,16251,true,16251,valid,Int64,2
15933,false,DivideError(),error,DivideError,8.0,15933,true,15933,valid,UInt16,2
15852,false,DivideError(),error,DivideError,8.0,15852,true,15852,valid,UInt16,2
15816,false,DivideError(),error,DivideError,8.0,15816,true,15816,valid,UInt16,2
15689,false,DivideError(),error,DivideError,8.0,15689,true,15689,valid,Int64,2
15504,false,DivideError(),error,DivideError,8.0,15504,true,15504,valid,Int64,2
15252,false,DivideError(),error,DivideError,8.0,15252,true,15252,valid,UInt16,2
14838,false,DivideError(),error,DivideError,8.0,14838,true,14838,valid,Int64,2
14595,false,DivideError(),error,DivideError,8.0,14595,true,14595,valid,Int64,2
14574,false,DivideError(),error,DivideError,8.0,14574,true,14574,valid,UInt16,2
14507,false,DivideError(),error,DivideError,8.0,14507,true,14507,valid,UInt16,2
14397,false,DivideError(),error,DivideError,8.0,14397,true,14397,valid,Int64,2
13994,false,DivideError(),error,DivideError,8.0,13994,true,13994,valid,Int64,2
13356,false,DivideError(),error,DivideError,8.0,13356,true,13356,valid,UInt16,2
13101,false,DivideError(),error,DivideError,8.0,13101,true,13101,valid,UInt16,2
12980,false,DivideError(),error,DivideError,8.0,12980,true,12980,valid,UInt16,2
12528,false,DivideError(),error,DivideError,8.0,12528,true,12528,valid,Int64,2
12197,false,DivideError(),error,DivideError,8.0,12197,true,12197,valid,Int64,2
11742,false,DivideError(),error,DivideError,8.0,11742,true,11742,valid,UInt16,2
11496,false,DivideError(),error,DivideError,8.0,11496,true,11496,valid,Int64,2
