a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
16555,false,DivideError(),error,DivideError,8.0,16555,true,16555,valid,UInt16,2
16234,false,DivideError(),error,DivideError,8.0,16234,true,16234,valid,Int64,2
15011,false,DivideError(),error,DivideError,8.0,15011,true,15011,valid,Int64,2
8249,false,DivideError(),error,DivideError,9.0,8249,true,8249,valid,UInt16,2
5039,false,DivideError(),error,DivideError,9.0,5039,true,5039,valid,UInt16,2
255,false,DivideError(),error,DivideError,10.0,255,true,255,valid,UInt8,2
254,false,DivideError(),error,DivideError,10.0,254,true,254,valid,UInt8,4
253,false,DivideError(),error,DivideError,10.0,253,true,253,valid,UInt8,4
252,false,DivideError(),error,DivideError,10.0,252,true,252,valid,UInt8,2
251,0,DivideError(),error,DivideError,10.0,251,1,251,valid,UInt64,2
250,false,DivideError(),error,DivideError,10.0,250,true,250,valid,UInt8,4
249,false,DivideError(),error,DivideError,10.0,249,true,249,valid,UInt8,5
247,false,DivideError(),error,DivideError,10.0,247,true,247,valid,UInt8,5
246,false,DivideError(),error,DivideError,10.0,246,true,246,valid,UInt8,4
245,false,DivideError(),error,DivideError,10.0,245,true,245,valid,UInt8,5
244,0,DivideError(),error,DivideError,10.0,244,1,244,valid,UInt8,7
242,false,DivideError(),error,DivideError,10.0,242,true,242,valid,UInt8,2
240,false,DivideError(),error,DivideError,10.0,240,true,240,valid,UInt8,2
239,false,DivideError(),error,DivideError,10.0,239,true,239,valid,UInt8,3
238,false,DivideError(),error,DivideError,10.0,238,true,238,valid,UInt8,3
237,false,DivideError(),error,DivideError,10.0,237,true,237,valid,UInt8,3
236,false,DivideError(),error,DivideError,10.0,236,true,236,valid,UInt8,3
235,false,DivideError(),error,DivideError,10.0,235,true,235,valid,UInt8,3
233,0,DivideError(),error,DivideError,10.0,233,1,233,valid,UInt8,2
231,false,DivideError(),error,DivideError,10.0,231,true,231,valid,UInt8,2
230,0,DivideError(),error,DivideError,10.0,230,1,230,valid,UInt64,2
229,false,DivideError(),error,DivideError,10.0,229,true,229,valid,UInt8,7
228,false,DivideError(),error,DivideError,10.0,228,true,228,valid,UInt8,3
227,false,DivideError(),error,DivideError,10.0,227,true,227,valid,UInt8,6
226,false,DivideError(),error,DivideError,10.0,226,true,226,valid,UInt8,2
225,false,DivideError(),error,DivideError,10.0,225,true,225,valid,UInt8,2
224,false,DivideError(),error,DivideError,10.0,224,true,224,valid,UInt8,5
222,false,DivideError(),error,DivideError,10.0,222,true,222,valid,UInt8,2
221,false,DivideError(),error,DivideError,10.0,221,true,221,valid,UInt8,3
220,false,DivideError(),error,DivideError,10.0,220,true,220,valid,UInt8,3
219,false,DivideError(),error,DivideError,10.0,219,true,219,valid,UInt8,5
218,false,DivideError(),error,DivideError,10.0,218,true,218,valid,UInt8,3
217,0,DivideError(),error,DivideError,10.0,217,1,217,valid,UInt64,3
217,false,DivideError(),error,DivideError,10.0,217,true,217,valid,UInt8,4
216,false,DivideError(),error,DivideError,10.0,216,true,216,valid,UInt8,4
215,false,DivideError(),error,DivideError,10.0,215,true,215,valid,UInt8,3
214,false,DivideError(),error,DivideError,10.0,214,true,214,valid,UInt8,2
210,0,DivideError(),error,DivideError,10.0,210,1,210,valid,UInt64,2
210,false,DivideError(),error,DivideError,10.0,210,true,210,valid,UInt8,2
209,false,DivideError(),error,DivideError,10.0,209,true,209,valid,UInt8,2
208,false,DivideError(),error,DivideError,10.0,208,true,208,valid,UInt8,4
206,0,DivideError(),error,DivideError,10.0,206,1,206,valid,UInt64,2
205,false,DivideError(),error,DivideError,10.0,205,true,205,valid,UInt8,5
204,false,DivideError(),error,DivideError,10.0,204,true,204,valid,UInt8,4
201,false,DivideError(),error,DivideError,10.0,201,true,201,valid,UInt8,5
200,0,DivideError(),error,DivideError,10.0,200,1,200,valid,UInt64,2
199,false,DivideError(),error,DivideError,10.0,199,true,199,valid,UInt8,2
197,false,DivideError(),error,DivideError,10.0,197,true,197,valid,UInt8,2
196,false,DivideError(),error,DivideError,10.0,196,true,196,valid,UInt8,2
195,0,DivideError(),error,DivideError,10.0,195,1,195,valid,UInt64,2
195,false,DivideError(),error,DivideError,10.0,195,true,195,valid,UInt8,5
194,0,DivideError(),error,DivideError,10.0,194,1,194,valid,UInt64,2
194,false,DivideError(),error,DivideError,10.0,194,true,194,valid,UInt8,2
192,false,DivideError(),error,DivideError,10.0,192,true,192,valid,UInt8,2
190,false,DivideError(),error,DivideError,10.0,190,true,190,valid,UInt8,3
189,false,DivideError(),error,DivideError,10.0,189,true,189,valid,UInt8,4
188,false,DivideError(),error,DivideError,10.0,188,true,188,valid,UInt8,2
186,false,DivideError(),error,DivideError,10.0,186,true,186,valid,UInt8,2
185,false,DivideError(),error,DivideError,10.0,185,true,185,valid,UInt8,3
184,false,DivideError(),error,DivideError,10.0,184,true,184,valid,UInt8,2
182,false,DivideError(),error,DivideError,10.0,182,true,182,valid,UInt8,4
181,false,DivideError(),error,DivideError,10.0,181,true,181,valid,UInt8,2
180,false,DivideError(),error,DivideError,10.0,180,true,180,valid,UInt8,3
178,0,DivideError(),error,DivideError,10.0,178,1,178,valid,UInt64,2
177,false,DivideError(),error,DivideError,10.0,177,true,177,valid,UInt8,2
176,false,DivideError(),error,DivideError,10.0,176,true,176,valid,UInt8,3
175,0,DivideError(),error,DivideError,10.0,175,1,175,valid,UInt8,3
175,0,DivideError(),error,DivideError,10.0,175,1,175,valid,UInt64,3
174,false,DivideError(),error,DivideError,10.0,174,true,174,valid,UInt8,3
171,0,DivideError(),error,DivideError,10.0,171,1,171,valid,UInt64,2
170,0,DivideError(),error,DivideError,10.0,170,1,170,valid,UInt8,3
169,0,DivideError(),error,DivideError,10.0,169,1,169,valid,UInt64,3
169,false,DivideError(),error,DivideError,10.0,169,true,169,valid,UInt8,6
168,false,DivideError(),error,DivideError,10.0,168,true,168,valid,UInt8,4
166,0,DivideError(),error,DivideError,10.0,166,1,166,valid,UInt64,2
166,false,DivideError(),error,DivideError,10.0,166,true,166,valid,UInt8,4
164,false,DivideError(),error,DivideError,10.0,164,true,164,valid,UInt8,3
163,false,DivideError(),error,DivideError,10.0,163,true,163,valid,UInt8,3
161,false,DivideError(),error,DivideError,10.0,161,true,161,valid,UInt8,8
159,false,DivideError(),error,DivideError,10.0,159,true,159,valid,UInt8,3
158,false,DivideError(),error,DivideError,10.0,158,true,158,valid,UInt8,3
158,0,DivideError(),error,DivideError,10.0,158,1,158,valid,UInt64,2
156,false,DivideError(),error,DivideError,10.0,156,true,156,valid,UInt8,3
153,false,DivideError(),error,DivideError,10.0,153,true,153,valid,UInt8,2
152,false,DivideError(),error,DivideError,10.0,152,true,152,valid,UInt8,2
150,false,DivideError(),error,DivideError,10.0,150,true,150,valid,UInt8,4
149,false,DivideError(),error,DivideError,10.0,149,true,149,valid,UInt8,2
148,false,DivideError(),error,DivideError,10.0,148,true,148,valid,UInt8,6
147,false,DivideError(),error,DivideError,10.0,147,true,147,valid,UInt8,3
146,false,DivideError(),error,DivideError,10.0,146,true,146,valid,UInt8,2
146,0,DivideError(),error,DivideError,10.0,146,1,146,valid,UInt64,2
145,false,DivideError(),error,DivideError,10.0,145,true,145,valid,UInt8,2
144,false,DivideError(),error,DivideError,10.0,144,true,144,valid,UInt8,2
142,false,DivideError(),error,DivideError,10.0,142,true,142,valid,UInt8,4
141,0,DivideError(),error,DivideError,10.0,141,1,141,valid,UInt64,3
141,false,DivideError(),error,DivideError,10.0,141,true,141,valid,UInt8,4
140,false,DivideError(),error,DivideError,10.0,140,true,140,valid,UInt8,2
138,false,DivideError(),error,DivideError,10.0,138,true,138,valid,UInt8,4
135,false,DivideError(),error,DivideError,10.0,135,true,135,valid,UInt8,3
134,false,DivideError(),error,DivideError,10.0,134,true,134,valid,UInt8,3
133,0,DivideError(),error,DivideError,10.0,133,1,133,valid,UInt64,3
133,false,DivideError(),error,DivideError,10.0,133,true,133,valid,UInt8,5
132,false,DivideError(),error,DivideError,10.0,132,true,132,valid,UInt8,4
131,false,DivideError(),error,DivideError,10.0,131,true,131,valid,UInt8,2
130,false,DivideError(),error,DivideError,10.0,130,true,130,valid,UInt8,4
129,false,DivideError(),error,DivideError,10.0,129,true,129,valid,UInt8,4
128,false,DivideError(),error,DivideError,10.0,128,true,128,valid,UInt8,4
127,false,DivideError(),error,DivideError,10.0,127,true,127,valid,Int64,3
126,false,DivideError(),error,DivideError,10.0,126,true,126,valid,Int64,5
126,0,DivideError(),error,DivideError,10.0,126,1,126,valid,UInt64,2
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,Int64,7
125,0,DivideError(),error,DivideError,10.0,125,1,125,valid,UInt64,3
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,UInt8,5
124,false,DivideError(),error,DivideError,10.0,124,true,124,valid,UInt8,9
124,false,DivideError(),error,DivideError,10.0,124,true,124,valid,Int64,4
123,false,DivideError(),error,DivideError,10.0,123,true,123,valid,UInt8,2
