x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
58286,false,DivideError(),error,DivideError,3.0,58286,true,"(0xe3ae, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
57247,0,DivideError(),error,DivideError,3.0,57247,1,"(57247, 1)",valid,"Tuple{Int64, Int64}",2
55175,false,DivideError(),error,DivideError,3.0,55175,true,"(0xd787, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
47649,false,DivideError(),error,DivideError,3.0,47649,true,"(0xba21, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
28745,0,DivideError(),error,DivideError,3.0,28745,1,"(28745, 1)",valid,"Tuple{Int64, Int64}",2
26195,false,DivideError(),error,DivideError,3.0,26195,true,"(26195, 1)",valid,"Tuple{Int64, Int64}",2
25717,0,DivideError(),error,DivideError,3.0,25717,1,"(25717, 1)",valid,"Tuple{Int64, Int64}",2
24902,false,DivideError(),error,DivideError,3.0,24902,true,"(0x6146, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
19772,false,DivideError(),error,DivideError,3.0,19772,true,"(19772, 1)",valid,"Tuple{Int64, Int64}",2
11819,false,DivideError(),error,DivideError,3.0,11819,true,"(0x2e2b, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
10668,false,DivideError(),error,DivideError,3.0,10668,true,"(0x29ac, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
8281,false,DivideError(),error,DivideError,3.0,8281,true,"(0x2059, 0x0001)",valid,"Tuple{UInt16, UInt16}",2
1098,false,DivideError(),error,DivideError,4.0,1098,true,"(1098, 1)",valid,"Tuple{Int64, Int64}",2
255,false,DivideError(),error,DivideError,1.0,255,true,"(0xff, 0x01)",valid,"Tuple{UInt8, UInt8}",4
254,false,DivideError(),error,DivideError,1.0,254,true,"(0xfe, 0x01)",valid,"Tuple{UInt8, UInt8}",10
252,false,DivideError(),error,DivideError,1.0,252,true,"(0xfc, 0x01)",valid,"Tuple{UInt8, UInt8}",4
251,false,DivideError(),error,DivideError,1.0,251,true,"(0xfb, 0x01)",valid,"Tuple{UInt8, UInt8}",15
250,false,DivideError(),error,DivideError,1.0,250,true,"(0xfa, 0x01)",valid,"Tuple{UInt8, UInt8}",6
249,false,DivideError(),error,DivideError,1.0,249,true,"(0xf9, 0x01)",valid,"Tuple{UInt8, UInt8}",10
248,0,DivideError(),error,DivideError,5.0,248,1,"(248, 1)",valid,"Tuple{Int64, Int64}",4
248,false,DivideError(),error,DivideError,1.0,248,true,"(0xf8, 0x01)",valid,"Tuple{UInt8, UInt8}",4
247,false,DivideError(),error,DivideError,1.0,247,true,"(0xf7, 0x01)",valid,"Tuple{UInt8, UInt8}",3
246,false,DivideError(),error,DivideError,1.0,246,true,"(0xf6, 0x01)",valid,"Tuple{UInt8, UInt8}",2
245,false,DivideError(),error,DivideError,1.0,245,true,"(0xf5, 0x01)",valid,"Tuple{UInt8, UInt8}",10
244,false,DivideError(),error,DivideError,1.0,244,true,"(0xf4, 0x01)",valid,"Tuple{UInt8, UInt8}",3
243,false,DivideError(),error,DivideError,1.0,243,true,"(0xf3, 0x01)",valid,"Tuple{UInt8, UInt8}",6
243,0,DivideError(),error,DivideError,5.0,243,1,"(243, 1)",valid,"Tuple{Int64, Int64}",3
242,false,DivideError(),error,DivideError,1.0,242,true,"(0xf2, 0x01)",valid,"Tuple{UInt8, UInt8}",15
241,false,DivideError(),error,DivideError,1.0,241,true,"(0xf1, 0x01)",valid,"Tuple{UInt8, UInt8}",14
