x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-1000000000,8246393782684296677,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,8246393782684296677,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-1000,997526123967183150,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,997526123967183150,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
18397673186980959431955535291609381043,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,18397673186980959431955535291609381043,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-100,17695615262461758141,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,17695615262461758141,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-10,6065420485714914433,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,6065420485714914433,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
2916985021480819710,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,2916985021480819710,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
17520125355232271408,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,17520125355232271408,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-1000000000,17879823071057297948,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,17879823071057297948,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10000,270369982159194503974475004903409262559,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,270369982159194503974475004903409262559,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
384594062358870635,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,384594062358870635,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
13802595729051328782,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,13802595729051328782,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
-1000,128240877721120811315125828504558305487,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,128240877721120811315125828504558305487,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
339013055822606019239087916317278555871,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,339013055822606019239087916317278555871,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10000,2507379110252202074,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,2507379110252202074,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
248526206357985543253517651347899093505,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,248526206357985543253517651347899093505,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10000,17458767918647187573,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,17458767918647187573,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
17055651638540626915,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,17055651638540626915,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
16720303732715383645,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,16720303732715383645,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
4920832423417158259,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,4920832423417158259,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
297279759458836989834766894408340779062,-1000,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,297279759458836989834766894408340779062,-999,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
15977425377210777849,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,15977425377210777849,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
