x_,p,output,outputtype,datatype,metric,n_x_,n_p,n_output,n_outputtype,n_datatype,count
248,0,1,valid,UInt8,2.0,248,1,248,valid,UInt8,2
227,0,1,valid,UInt8,2.0,227,1,227,valid,UInt8,2
220,0,1,valid,UInt8,2.0,220,1,220,valid,UInt8,2
208,0,1,valid,UInt8,2.0,208,1,208,valid,UInt8,2
182,0,1,valid,UInt8,2.0,182,1,182,valid,UInt8,2
177,0,1,valid,UInt8,2.0,177,1,177,valid,UInt8,2
149,0,1,valid,UInt8,2.0,149,1,149,valid,UInt8,2
140,0,1,valid,UInt8,2.0,140,1,140,valid,UInt8,2
129,0,1,valid,UInt8,2.0,129,1,129,valid,UInt8,2
120,0,1,valid,UInt8,2.0,120,1,120,valid,UInt8,2
115,0,1,valid,UInt8,2.0,115,1,115,valid,UInt8,2
107,0,1,valid,UInt8,2.0,107,1,107,valid,UInt8,2
104,0,1,valid,Int64,2.0,104,1,104,valid,Int64,2
100,0,1,valid,UInt8,2.0,100,1,100,valid,UInt8,2
94,0,1,valid,Int64,1.0,94,1,94,valid,Int64,2
94,0,1,valid,UInt8,1.0,94,1,94,valid,UInt8,3
91,0,1,valid,UInt8,1.0,91,1,91,valid,UInt8,2
90,0,1,valid,UInt8,1.0,90,1,90,valid,UInt8,2
88,36,0,valid,Int64,18.0,89,36,9016706489401468385,valid,Int64,2
85,0,1,valid,Int64,1.0,85,1,85,valid,Int64,2
72,0,1,valid,Int64,1.0,72,1,72,valid,Int64,2
64,0,1,valid,UInt8,1.0,64,1,64,valid,UInt8,2
41,0,1,valid,UInt8,1.0,41,1,41,valid,UInt8,3
41,0,1,valid,Int64,1.0,41,1,41,valid,Int64,3
35,0,1,valid,UInt8,1.0,35,1,35,valid,UInt8,3
29,0,1,valid,UInt8,1.0,29,1,29,valid,UInt8,2
16,0,1,valid,UInt8,1.0,16,1,16,valid,UInt8,3
12,0,1,valid,UInt8,1.0,12,1,12,valid,UInt8,2
11,0,1,valid,Int64,1.0,11,1,11,valid,Int64,2
9,1,9,valid,UInt8,1.0,10,1,10,valid,UInt8,2
9,1,9,valid,Int64,1.0,10,1,10,valid,Int64,2
false,255,false,valid,Bool,1.0,true,255,true,valid,Bool,3
false,216,false,valid,Bool,1.0,true,216,true,valid,Bool,2
false,214,false,valid,Bool,1.0,true,214,true,valid,Bool,2
false,200,false,valid,Bool,1.0,true,200,true,valid,Bool,2
false,187,false,valid,Bool,1.0,true,187,true,valid,Bool,2
false,164,false,valid,Bool,1.0,true,164,true,valid,Bool,2
false,123,false,valid,Bool,1.0,true,123,true,valid,Bool,2
false,110,false,valid,Bool,1.0,true,110,true,valid,Bool,3
false,104,false,valid,Bool,1.0,true,104,true,valid,Bool,3
false,103,false,valid,Bool,1.0,true,103,true,valid,Bool,2
false,99,false,valid,Bool,1.0,true,99,true,valid,Bool,2
false,96,false,valid,Bool,1.0,true,96,true,valid,Bool,4
false,88,false,valid,Bool,1.0,true,88,true,valid,Bool,2
false,83,false,valid,Bool,1.0,true,83,true,valid,Bool,2
false,81,false,valid,Bool,1.0,true,81,true,valid,Bool,3
false,79,false,valid,Bool,1.0,true,79,true,valid,Bool,2
false,74,false,valid,Bool,1.0,true,74,true,valid,Bool,2
false,72,false,valid,Bool,1.0,true,72,true,valid,Bool,2
false,69,false,valid,Bool,1.0,true,69,true,valid,Bool,3
false,53,false,valid,Bool,1.0,true,53,true,valid,Bool,3
false,42,false,valid,Bool,1.0,true,42,true,valid,Bool,2
false,21,false,valid,Bool,1.0,true,21,true,valid,Bool,3
false,8,false,valid,Bool,1.0,true,8,true,valid,Bool,2
false,5,false,valid,Bool,1.0,true,5,true,valid,Bool,3
false,1,false,valid,Bool,1.0,true,1,true,valid,Bool,45
false,0,true,valid,Bool,1.0,false,1,false,valid,Bool,23
-8,0,1,valid,Int64,1.0,-8,1,-8,valid,Int64,2
-36,0,1,valid,Int64,2.0,-36,1,-36,valid,Int64,2
-39,0,1,valid,Int64,2.0,-39,1,-39,valid,Int64,2
-40,0,1,valid,Int64,2.0,-40,1,-40,valid,Int64,3
-42,0,1,valid,Int64,2.0,-42,1,-42,valid,Int64,2
-47,0,1,valid,Int64,2.0,-47,1,-47,valid,Int64,2
-50,0,1,valid,Int64,2.0,-50,1,-50,valid,Int64,2
-70,0,1,valid,Int64,2.0,-70,1,-70,valid,Int64,2
-81,0,1,valid,Int64,2.0,-81,1,-81,valid,Int64,3
-86,0,1,valid,Int64,2.0,-86,1,-86,valid,Int64,2
-92,0,1,valid,Int64,2.0,-92,1,-92,valid,Int64,2
-101,0,1,valid,Int64,3.0,-101,1,-101,valid,Int64,2
