A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
221,1,"TypeError(:<:, """", Type, 0xdd)",error,TypeError,27.0,221,2,221,valid,UInt8,3
87,1,"TypeError(:<:, """", Type, 87)",error,TypeError,26.0,87,2,87,valid,Int64,2
3,1,"TypeError(:<:, """", Type, 0x03)",error,TypeError,29.0,3,2,3,valid,UInt8,2
-44,1,"TypeError(:<:, """", Type, -44)",error,TypeError,26.0,-44,2,-44,valid,Int64,2
-73,1,"TypeError(:<:, """", Type, -73)",error,TypeError,26.0,-73,2,-73,valid,Int64,2
337813303360502960038262301285939482744,1,"TypeError(:<:, """", Type, 0xfe2479c48dfe99ceb504f102a3651078)",error,TypeError,21.0,337813303360502960038262301285939482744,2,337813303360502960038262301285939482744,valid,UInt128,1
333651719679880862992152695218700183456,1,"TypeError(:<:, """", Type, 0xfb02fbd9d7eeee5bce56c576d7c667a0)",error,TypeError,21.0,333651719679880862992152695218700183456,2,333651719679880862992152695218700183456,valid,UInt128,1
330199132313733805238750302168610185737,1,"TypeError(:<:, """", Type, 0xf86a0a26b928903baba3f1202b4f2209)",error,TypeError,21.0,330199132313733805238750302168610185737,2,330199132313733805238750302168610185737,valid,UInt128,1
322426433830011615895411504078789269787,1,"TypeError(:<:, """", Type, 0xf2911287554d40e03c5db6dfebd7d91b)",error,TypeError,21.0,322426433830011615895411504078789269787,2,322426433830011615895411504078789269787,valid,UInt128,1
313299087257243528580424318174011776432,1,"TypeError(:<:, """", Type, 0xebb3359942372b4eaf9cbed27546ddb0)",error,TypeError,21.0,313299087257243528580424318174011776432,2,313299087257243528580424318174011776432,valid,UInt128,1
312340547260550404405444156541333280062,1,"TypeError(:<:, """", Type, 0xeafa99ed9641f93d5bcee132d28a153e)",error,TypeError,21.0,312340547260550404405444156541333280062,2,312340547260550404405444156541333280062,valid,UInt128,1
311870416090527201555264176207230570204,1,"TypeError(:<:, """", Type, 0xeaa00eabfb31e8b7f33142600e828edc)",error,TypeError,21.0,311870416090527201555264176207230570204,2,311870416090527201555264176207230570204,valid,UInt128,1
311358395979898411400672994278116809762,1,"TypeError(:<:, """", Type, 0xea3d72219d248475aeb25173a425dc22)",error,TypeError,21.0,311358395979898411400672994278116809762,2,311358395979898411400672994278116809762,valid,UInt128,1
301229878829817489950068939538203599432,1,"TypeError(:<:, """", Type, 0xe29ec3ae4afabc13be2b908e1352e248)",error,TypeError,21.0,301229878829817489950068939538203599432,2,301229878829817489950068939538203599432,valid,UInt128,1
